0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
2.2927e-05,1.9359e-05,2.7199e-05,2.3103e-05,2.3935e-05
2.6926e-05,2.3455e-05,3.1487e-05,2.6767e-05,2.7264e-05
2.3674e-05,1.7919e-05,2.7263e-05,2.3871e-05,2.5247e-05
2.2782e-05,1.9775e-05,3.1455e-05,2.2783e-05,2.4608e-05
2.3193e-05,1.8368e-05,2.6816e-05,2.3135e-05,2.3103e-05
2.425e-05,1.9263e-05,2.9631e-05,2.4367e-05,2.0639e-05
2.3244e-05,2.048e-05,2.5343e-05,2.3119e-05,2.2176e-05
2.2646e-05,1.9551e-05,2.5503e-05,2.2543e-05,2.3167e-05
2.6641e-05,2.1408e-05,2.9151e-05,2.6735e-05,2.3264e-05
2.2731e-05,2.0127e-05,2.5631e-05,2.272e-05,2.1663e-05
2.8394e-05,2.5151e-05,3.1135e-05,2.8671e-05,2.5407e-05
2.2784e-05,1.856e-05,2.5503e-05,2.2847e-05,2.2303e-05
3.2488e-05,1.6415e-05,3.7503e-05,3.2879e-05,3.379e-05
2.318e-05,2.0703e-05,2.6399e-05,2.2912e-05,2.3647e-05
2.3651e-05,2.0735e-05,2.6879e-05,2.3615e-05,2.3904e-05
2.6755e-05,2.3231e-05,2.9599e-05,2.6863e-05,2.6527e-05
2.2774e-05,2.0959e-05,2.4799e-05,2.2928e-05,2.1184e-05
2.2762e-05,2.0767e-05,2.4832e-05,2.2879e-05,2.3903e-05
2.2731e-05,2.0479e-05,2.4799e-05,2.2847e-05,2.1407e-05
2.6437e-05,1.8592e-05,3.4687e-05,2.3791e-05,3.1327e-05
2.2876e-05,1.9871e-05,2.5631e-05,2.2863e-05,2.3872e-05
2.2921e-05,2.0127e-05,2.5599e-05,2.2863e-05,2.3327e-05
2.6858e-05,2.416e-05,2.9983e-05,2.6944e-05,2.7839e-05
2.301e-05,2.1503e-05,2.4991e-05,2.2927e-05,2.3231e-05
2.2485e-05,2.0959e-05,2.4447e-05,2.2463e-05,2.2143e-05
2.2677e-05,2.0896e-05,2.5311e-05,2.2672e-05,2.1216e-05
2.2286e-05,1.9072e-05,2.5535e-05,2.2256e-05,2.1535e-05
2.2968e-05,1.9807e-05,2.6143e-05,2.2959e-05,2.2176e-05
2.8477e-05,1.4975e-05,3.2319e-05,2.8591e-05,2.4863e-05
2.7169e-05,2.2304e-05,3.1038e-05,2.7119e-05,2.9568e-05
2.296e-05,2e-05,2.5119e-05,2.3071e-05,2.0159e-05
2.2872e-05,2.0127e-05,2.6079e-05,2.2864e-05,2.2048e-05
2.3288e-05,1.9232e-05,2.7775e-05,2.3119e-05,2.1279e-05
2.3332e-05,1.8879e-05,3.6223e-05,2.3392e-05,2.2624e-05
2.4001e-05,1.9135e-05,2.7903e-05,2.4112e-05,2.2943e-05
2.2755e-05,1.984e-05,2.5823e-05,2.2879e-05,2.2016e-05
2.6636e-05,2.2975e-05,3.0783e-05,2.6672e-05,2.4863e-05
2.2907e-05,2.1152e-05,2.4479e-05,2.2928e-05,2.2208e-05
2.2898e-05,2.0864e-05,2.4447e-05,2.2895e-05,2.3839e-05
