# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: slimfly100.cscs.ch
# Release : 3.10.0-1160.15.2.el7.x86_64
# Version : #1 SMP Wed Feb 3 15:06:38 UTC 2021
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 10.934632 
# Number of iterations (recorded+unrecorded): 3864123130 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
266970986.23	1959.12
267970863.60	1950.01
268970768.31	3597.49
269970647.50	1966.41
270970543.09	1960.94
271970445.98	2432.96
272970328.81	1962.77
273970222.58	1944.54
274970109.07	1955.48
275970006.48	1986.46
276969898.43	1966.41
277969783.09	1950.01
278969675.04	1966.41
279969559.70	1971.88
280969462.58	1951.83
281969343.59	1960.94
282969246.48	2323.61
283969142.07	1951.83
284969023.08	1960.94
285968913.21	1971.88
286968816.09	1950.01
287968697.11	1960.94
288968599.99	1953.65
289968484.65	1959.12
290968372.95	1957.30
291968261.26	1971.88
292968162.32	1964.59
293968056.09	2305.39
294967935.28	1973.70
295967838.16	1959.12
296967728.29	1944.54
297967616.59	1970.06
298967515.83	1966.41
299967400.49	1948.19
300967292.44	1951.83
301967175.27	1960.94
302967079.98	1966.41
303966964.64	1944.54
304966852.94	2310.85
305966750.36	1966.41
306966645.95	1948.19
307966536.08	1960.94
308966428.03	1968.23
309966312.68	1948.19
310966202.81	1968.23
311966098.40	1968.23
312965984.89	1959.12
313965885.95	1957.30
314965772.43	1973.70
315965664.38	2294.45
316965556.32	1957.30
317965442.81	1973.70
318965334.75	3610.25
319965226.70	1948.19
320965129.59	1975.52
321965010.60	1975.52
322964904.37	1950.01
323964796.32	1957.30
324964682.80	1968.23
325467047.15	98.41
325476538.41	147.62
325964540.12	4827.64
325996726.21	184.07
326964479.45	4526.94
326971195.14	145.80
327964367.76	3468.10
327969585.40	147.62
328964259.71	2970.58
328969579.41	94.77
328979105.29	147.62
329964148.01	3726.89
329971949.87	147.62
330964041.78	2770.11
331963930.08	2708.14
331977776.97	147.62
332963840.26	3154.64
333963706.69	2024.73
334963600.46	1984.64
335963503.35	1953.65
336963386.18	2394.68
337963279.95	1990.10
338963162.79	1960.94
339963065.67	2635.25
340962953.98	1988.28
341962847.75	1955.48
342962734.23	1959.12
343962624.35	1971.88
344962514.48	1950.01
345962419.19	1940.90
346962302.02	1960.94
347962192.15	2318.14
348962084.10	1977.35
349961979.69	1975.52
350961873.46	1968.23
351961758.12	1946.36
352961659.18	1964.59
353961542.02	1959.12
354961432.14	1960.94
355961335.03	1959.12
356961212.40	1960.94
357961115.28	1953.65
358960998.12	2321.79
359960893.71	1977.35
360960776.54	1951.83
361960670.32	1962.77
362960564.09	1975.52
363960457.86	1968.23
364960344.34	1950.01
365960247.22	1964.59
366960130.06	1959.12
367960031.12	1955.48
368959917.60	4497.78
369959811.37	1959.12
370959701.50	1951.83
371959582.51	1959.12
372959483.57	1971.88
373959371.88	1951.83
374959265.65	1951.83
375959146.66	1975.52
376959053.19	1962.77
377958934.20	1948.19
378958826.15	1966.41
379958723.57	2309.03
380958604.58	1951.83
381958511.11	1962.77
382958404.88	3287.68
383958280.43	2083.05
384958183.31	1950.01
385958062.50	1960.94
386957965.38	1960.94
387957855.51	1960.94
388957745.64	1959.12
389957635.76	1968.23
390957535.00	2312.67
391957421.48	1950.01
392957315.25	1962.77
393957207.20	1946.36
394957095.50	1973.70
395956987.45	1968.23
396956872.11	1951.83
397956764.06	1962.77
398956656.01	1973.70
399956560.71	1944.54
400956436.26	1950.01
401956340.97	2323.61
402956238.38	1970.06
403956113.93	1959.12
404956014.99	1986.46
405955896.00	1968.23
406955795.24	1950.01
407955676.26	1966.41
408955571.85	1962.77
409955476.56	2145.01
410955355.75	1970.06
411955256.81	1968.23
412955141.47	2298.10
413955038.88	1957.30
414954927.19	1977.35
415954810.02	1944.54
416954709.26	1955.48
417954595.74	1966.41
418954491.33	3623.01
419954372.35	1953.65
420954267.94	1964.59
421954163.54	1975.52
422954057.31	1946.36
423953945.61	2423.84
424953832.09	1964.59
425953727.68	1940.90
426953623.28	1971.88
427953511.58	1970.06
428953412.64	1944.54
429953286.37	1948.19
430953187.43	1959.12
431953090.31	1962.77
432952971.32	1946.36
433952859.63	1962.77
434952764.33	2316.32
435952641.70	1948.19
436952544.59	1966.41
437952429.24	1962.77
438952321.19	1935.43
439952224.08	1966.41
440952108.73	1968.23
441951993.39	1955.48
442951888.99	1957.30
443951775.47	1973.70
444951680.17	1946.36
445951555.72	2301.74
446951453.14	1968.23
447951339.62	1966.41
448951235.21	1951.83
449951128.98	1971.88
450790797.58	147.62
450950940.74	3145.53
450972602.25	147.62
451950938.39	4598.01
451957541.09	145.80
452950823.05	3367.87
452955927.70	147.62
453950700.42	3016.14
453962901.65	145.80
454950599.66	3991.14
454957964.13	145.80
455950484.32	2671.70
456950372.62	3176.51
456963656.38	145.80
457950271.86	3017.96
458950149.23	2032.02
459950046.64	1991.93
460949931.30	1988.28
461949825.07	1953.65
462949720.67	1973.70
463949612.62	1980.99
464949499.10	1953.65
465949394.69	1966.41
466949290.28	1971.88
467949180.41	2349.12
468949065.07	3838.06
469948951.55	1980.99
470948850.79	1955.48
471948737.27	1955.48
472948634.69	1960.94
473948524.81	1975.52
474948418.58	1953.65
475948314.18	1970.06
476948200.66	1970.06
477948088.96	1957.30
478947990.02	2454.82
479947871.04	1973.70
480947762.98	1951.83
481947669.51	1960.94
482947548.70	1971.88
483947438.83	1946.36
484947327.13	1966.41
485947224.55	1971.88
486947125.61	1959.12
487947002.98	1951.83
488946898.57	1964.59
489946794.17	2314.50
490946682.47	1962.77
491946574.42	1977.35
492946468.19	1984.64
492948463.76	4938.81
493946363.78	2305.39
494946242.97	1970.06
495946142.21	2026.55
496946025.05	2950.53
497945920.64	2965.11
498945819.88	2963.29
499945704.54	1950.01
500945598.31	2319.96
501945490.26	1968.23
502945374.92	1959.12
503945275.98	2199.68
504945160.64	1966.41
505945058.05	1960.94
506944937.24	1942.72
507944841.95	1957.30
508944728.43	1960.94
509944618.56	2214.26
510944517.79	5573.02
511944404.28	2073.94
512944298.05	1946.36
513944186.35	1970.06
514944074.65	1964.59
515943968.42	1946.36
516943856.73	1953.65
517943752.32	1970.06
518943651.56	3613.90
519943536.22	1939.07
520943429.99	1962.77
521943321.94	2453.00
522943212.06	1957.30
523943111.30	1960.94
524942990.49	1962.77
525942884.27	1950.01
526942776.21	1962.77
527942668.16	1970.06
528942567.40	3883.62
529942448.41	1946.36
530942336.72	1962.77
531942228.67	1962.77
532942133.37	2407.44
533942014.39	1968.23
534941911.80	1975.52
535941803.75	1946.36
536941692.05	1970.06
537941591.29	1966.41
538941475.95	1957.30
539941362.43	1970.06
540941250.74	1968.23
541941148.15	1946.36
542941049.21	1971.88
543940926.58	2323.61
544940822.17	1944.54
545940721.41	1948.19
546940600.60	1948.19
547940501.67	1970.06
548940389.97	1944.54
549940289.21	1962.77
550940168.40	1955.48
551940065.81	1957.30
552939965.05	1962.77
553939846.07	1977.35
554939741.66	2294.45
555939633.61	1964.59
556939516.44	1964.59
557939422.97	1948.19
558939302.16	1946.36
559939203.22	1973.70
560939082.42	1970.06
561938981.65	1951.83
562938875.43	1970.06
563938763.73	1970.06
564938650.21	1951.83
565938542.16	2312.67
566938439.57	1959.12
567938329.70	1950.01
568938221.65	3610.25
569938113.60	1973.70
570938005.55	2075.76
571937899.32	1959.12
572937787.62	1962.77
573937681.39	1966.41
574937578.81	1950.01
575937459.82	1964.59
576937353.59	2314.50
577937254.65	1953.65
578937139.31	1971.88
579937029.44	1968.23
580936914.10	1950.01
581936806.05	1971.88
582936708.93	1959.12
583936597.23	1951.83
584936492.83	1982.81
585936368.37	1964.59
586936273.08	1955.48
587936157.74	2303.56
588936046.04	1975.52
589935950.75	1964.59
590935833.58	1950.01
591935725.53	1980.99
592935622.95	1970.06
593935511.25	1948.19
594935390.44	1966.41
595935287.86	1966.41
596935183.45	1951.83
597935077.22	1964.59
598934972.82	2338.19
599934859.30	1959.12
600934749.42	1950.01
601934643.19	1966.41
602934538.79	1962.77
603934419.80	1948.19
604934309.93	1962.77
605051233.95	94.77
605052172.51	92.94
605056934.54	147.62
605934203.70	3404.32
605945072.72	96.59
605954512.96	145.80
606934117.52	3743.29
606939752.50	147.62
607933996.71	3346.00
607939095.89	182.24
608933897.77	2966.93
608946377.83	147.62
609933793.36	4071.33
609940215.64	147.62
610933670.73	2742.77
611933555.39	2697.21
611937422.60	107.52
611947562.65	147.62
612933465.56	3023.43
613933348.40	2006.51
614933236.70	1999.22
615933115.89	1975.52
616933020.60	1953.65
617932905.26	1991.93
618932802.67	4217.12
619932687.33	1957.30
620932573.81	2462.11
621932473.05	1968.23
622932357.71	1957.30
623932256.95	1973.70
624932136.14	1973.70
625932039.02	1960.94
626931930.97	1971.88
627931819.28	3801.61
628931718.51	2053.89
629931603.17	1951.83
630931496.94	1966.41
631931394.36	2349.12
632931280.84	1957.30
633931169.14	2609.73
634931057.45	1990.10
635930953.04	1948.19
636930844.99	1979.17
637930729.65	1968.23
638930627.06	4053.10
639930519.01	2066.65
640930416.43	1970.06
641930304.73	1977.35
642930187.57	2347.30
643930084.98	1964.59
644929967.82	1953.65
645929874.35	1946.36
646929762.65	1957.30
647929650.96	1962.77
648929542.90	1940.90
649929425.74	1960.94
650929330.45	1964.59
651929211.46	1953.65
652929107.05	1968.23
653929004.47	2312.67
654928890.95	1951.83
655928784.72	1964.59
656928680.32	1968.23
657928564.97	1960.94
658928455.10	1970.06
659928352.52	1968.23
660928239.00	1962.77
661928143.70	1950.01
662928022.89	1968.23
663927920.31	1984.64
664927810.44	2303.56
665927698.74	2072.11
666927601.62	1982.81
667927478.99	1953.65
668927374.59	3961.98
669927261.07	1975.52
670927154.84	1953.65
671927039.50	1951.83
672926946.02	1955.48
673926830.68	1962.77
674926722.63	1950.01
675926616.40	2454.82
676926508.35	1966.41
677926393.01	1955.48
678926290.43	1970.06
679926178.73	1975.52
680926070.68	1953.65
681925955.34	1962.77
682925861.86	1962.77
683925755.64	1951.83
684925636.65	1973.70
685925528.60	1968.23
686925415.08	2294.45
687925319.78	1962.77
688925211.73	1966.41
689925096.39	1962.77
690924988.34	1944.54
691924876.64	1966.41
692924774.06	1959.12
693924662.36	1951.83
694924556.13	1984.64
695924446.26	1955.48
696924332.74	1953.65
697924228.34	2329.08
698924118.46	1971.88
699924008.59	3249.41
700923907.83	1993.75
701923796.13	1973.70
702923688.08	1957.30
703923574.56	1948.19
704923464.69	1986.46
705923369.39	1960.94
706923248.58	1959.12
707923149.64	1960.94
708923028.83	2329.08
709922929.89	1939.07
710922823.67	1973.70
711922702.86	1950.01
712922607.56	1944.54
713922483.11	1959.12
714922384.17	1959.12
715922285.23	1948.19
716922162.60	1933.61
717922061.84	1960.94
718921941.03	4144.23
719921838.45	1950.01
720921743.15	1953.65
721921625.99	1955.48
722921523.40	1946.36
723921400.77	1959.12
724921301.83	1959.12
725921190.14	1944.54
726921076.62	1955.48
727920975.86	1977.35
728920858.69	1948.19
729920761.58	2303.56
730920649.88	2061.18
731920543.65	1957.30
732920431.95	1950.01
733920323.90	1971.88
734920214.03	1968.23
735920111.44	1951.83
736919992.46	1959.12
736921962.51	3455.34
737919897.16	2265.29
738919785.47	1953.65
739919670.13	1955.48
740919554.78	2332.72
741919461.31	1940.90
742919345.97	1940.90
743919241.57	2956.00
744919131.69	1970.06
745919032.75	1940.90
746918917.41	1942.72
747918803.89	1957.30
748918690.37	1940.90
749918585.97	1984.64
750918476.09	1966.41
751918371.69	2316.32
752918261.81	1962.77
753918153.76	1959.12
754918042.06	1960.94
755917934.01	1960.94
756917824.14	1953.65
757917721.55	1942.72
758917606.21	1948.19
759917509.10	1977.35
760917391.93	1966.41
761917287.53	1946.36
762917175.83	2336.37
763917073.25	1959.12
764916961.55	1957.30
765916849.85	1962.77
766916743.62	3763.34
767916628.28	2028.37
768916538.46	3610.25
769916419.47	1953.65
770916304.13	1968.23
771916201.54	1942.72
772916086.20	1966.41
773915981.80	2436.60
774915881.03	1951.83
775915762.05	1960.94
776915664.93	1960.94
777915544.12	1940.90
778915439.72	1962.77
779915333.49	1970.06
780915219.97	1962.77
781915113.74	1968.23
782915011.16	1984.64
783914901.28	1951.83
784914795.05	2330.90
785914676.07	1960.94
786914578.95	1946.36
787284705.32	91.12
787290797.74	147.62
787914447.21	3380.62
787936347.45	182.24
