size,"('cn-eth', 'cn-ib')","('cn-eth', 'haicgu2')","('cn-ib', 'cn-eth')","('cn-ib', 'haicgu2')","('haicgu2', 'cn-eth')","('haicgu2', 'cn-ib')",cn-eth,cn-ib,haicgu2
128MiB,0.9885014810983809,0.9999399881722784,1.0116322728103984,1.0115715629087247,1.0000600154293573,0.9885608064391892,0.9790776127856822,0.9904665106801588,0.9791363725489876
16MiB,0.986515581535046,1.0001760459769422,1.013668733385814,1.013847185688279,0.9998239850097888,0.9863419400046188,0.9732288384590478,0.9865316439753302,0.9730575355945732
1B,0.515854538063628,1.019513408437025,1.938530973777447,1.97635832043659,0.980860076703709,0.5059811217730465,2.271254491754751e-05,4.402897181597738e-05,2.2277828549962086e-05
1GiB,0.9887962052046478,0.9999724533295087,1.011330742104773,1.0113028833100626,1.0000275474293312,0.9888234439982337,0.9802044320349842,0.9913108756643281,0.9802314341473058
256KiB,0.8870910208205158,0.9988492868669753,1.127280038383264,1.1259828624384998,1.0011520387992008,0.8881129840949237,0.6756729641730373,0.7616726449875153,0.6764513656433357
2MiB,0.9701670131195365,1.0004842508247838,1.0307503620273963,1.0312495037403544,0.9995159835605762,0.9696974363362,0.9258974788284735,0.9543691615027027,0.9254493292274995
32KiB,0.8558657027079306,1.028016991881472,1.1684076097874154,1.2011428763050798,0.9727465673206476,0.8325404243966134,0.1867629646945311,0.21821526917554857,0.18167303280923242
4B,0.5045407315427118,0.9875914824480848,1.9820005353033525,1.9574068468731356,1.0125644234204576,0.5108799949266819,8.890843474941864e-05,0.00017621656526633093,9.002551796926047e-05
4KiB,0.6890209921435598,0.9916718869369296,1.4513345912567592,1.4392477126884278,1.008398052997947,0.6948074269522794,0.05023529101480661,0.07290821555163869,0.050657169651116246
512B,0.5908002063030765,1.0278617004753814,1.6926195849820111,1.7397788448775444,0.9728935318219412,0.5747856993113316,0.009190770946231816,0.015556478904675623,0.008941641606045957
64B,0.5624145262515533,0.990424322746444,1.7780479580869257,1.761021944698941,1.009668257365694,0.5678520946375583,0.001300398312583633,0.002312170564389012,0.0013129708981476059
8B,0.5094597048904264,1.01134507139658,1.962863775880132,1.9851326055592524,0.9887821953975477,0.5037446854681426,0.0001805725075355986,0.0003544392339614687,0.00017854688042948943
