size,"('cn-eth', 'cn-ib')","('cn-ib', 'cn-eth')",cn-eth,cn-ib
128MiB,1.0032799231258538,0.9967307996001408,0.9797303614956826,0.9765274266061267
16MiB,1.0028255285294099,0.9971824325876972,0.9752841463476054,0.9725362175191209
1B,0.8120040123007402,1.2315210083341708,0.0007171568536438242,0.0008831937315332037
256KiB,0.9592327029698106,1.0424999032080253,0.7670179896341823,0.7996161799524492
2MiB,0.9966836101483082,1.0033274248898287,0.9466348126665732,0.9497846689038183
32KiB,1.0032840375553114,0.9967267120452614,0.3526758168918116,0.35152140738845206
4B,0.8333095616173893,1.2000342322474706,0.0029316392339851466,0.003518067437381928
4KiB,0.8648492584151649,1.156270864858575,0.31427739257889437,0.3633897925226961
512B,1.039254077004096,0.9622286042723494,0.15655264467108537,0.15063943277700353
64B,1.0026525961744817,0.9973544214769878,0.034680498843689955,0.03458874886078174
8B,0.8589055187974113,1.1642724119413517,0.005889018344293579,0.006856421591677551
