0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1.294e-05,1.2665e-05,1.3215e-05,1.294e-05,1.2665e-05
1.2991e-05,1.2724e-05,1.3259e-05,1.2991e-05,1.3259e-05
1.3189e-05,1.289e-05,1.3487e-05,1.3189e-05,1.3487e-05
1.2879e-05,1.2735e-05,1.3024e-05,1.2879e-05,1.3024e-05
1.2838e-05,1.2563e-05,1.3114e-05,1.2838e-05,1.3114e-05
1.3751e-05,1.3518e-05,1.3984e-05,1.3751e-05,1.3984e-05
1.2905e-05,1.2874e-05,1.2937e-05,1.2905e-05,1.2937e-05
1.346e-05,1.3129e-05,1.3791e-05,1.346e-05,1.3791e-05
1.2785e-05,1.2685e-05,1.2885e-05,1.2785e-05,1.2885e-05
1.2842e-05,1.282e-05,1.2864e-05,1.2842e-05,1.2864e-05
1.2685e-05,1.2662e-05,1.2707e-05,1.2685e-05,1.2662e-05
1.2692e-05,1.2584e-05,1.28e-05,1.2692e-05,1.28e-05
1.2981e-05,1.2769e-05,1.3193e-05,1.2981e-05,1.3193e-05
1.3295e-05,1.3133e-05,1.3456e-05,1.3295e-05,1.3133e-05
1.3235e-05,1.3079e-05,1.3391e-05,1.3235e-05,1.3391e-05
1.3101e-05,1.3057e-05,1.3145e-05,1.3101e-05,1.3057e-05
1.2939e-05,1.2831e-05,1.3047e-05,1.2939e-05,1.3047e-05
1.2724e-05,1.2714e-05,1.2733e-05,1.2724e-05,1.2733e-05
1.2852e-05,1.2652e-05,1.3053e-05,1.2852e-05,1.3053e-05
1.273e-05,1.2623e-05,1.2838e-05,1.273e-05,1.2838e-05
1.3089e-05,1.2878e-05,1.33e-05,1.3089e-05,1.33e-05
1.2869e-05,1.2741e-05,1.2996e-05,1.2869e-05,1.2996e-05
1.3118e-05,1.2847e-05,1.339e-05,1.3118e-05,1.339e-05
1.3099e-05,1.2849e-05,1.335e-05,1.3099e-05,1.335e-05
1.3078e-05,1.3003e-05,1.3153e-05,1.3078e-05,1.3003e-05
1.2958e-05,1.2796e-05,1.312e-05,1.2958e-05,1.312e-05
1.3379e-05,1.3122e-05,1.3635e-05,1.3379e-05,1.3635e-05
1.2995e-05,1.2881e-05,1.3108e-05,1.2995e-05,1.3108e-05
1.2846e-05,1.2837e-05,1.2856e-05,1.2846e-05,1.2856e-05
1.2892e-05,1.2726e-05,1.3058e-05,1.2892e-05,1.3058e-05
1.2889e-05,1.2576e-05,1.3203e-05,1.2889e-05,1.3203e-05
1.3098e-05,1.2792e-05,1.3405e-05,1.3098e-05,1.3405e-05
1.3019e-05,1.2834e-05,1.3204e-05,1.3019e-05,1.3204e-05
1.3263e-05,1.2918e-05,1.3608e-05,1.3263e-05,1.3608e-05
1.3088e-05,1.2869e-05,1.3307e-05,1.3088e-05,1.3307e-05
1.2882e-05,1.2878e-05,1.2885e-05,1.2882e-05,1.2878e-05
1.2807e-05,1.2554e-05,1.3059e-05,1.2807e-05,1.3059e-05
1.3064e-05,1.2563e-05,1.3566e-05,1.3064e-05,1.3566e-05
1.2726e-05,1.2638e-05,1.2814e-05,1.2726e-05,1.2638e-05
1.3626e-05,1.3353e-05,1.3899e-05,1.3626e-05,1.3353e-05
1.3232e-05,1.2918e-05,1.3546e-05,1.3232e-05,1.3546e-05
1.3033e-05,1.2951e-05,1.3115e-05,1.3033e-05,1.2951e-05
1.2998e-05,1.2962e-05,1.3033e-05,1.2998e-05,1.2962e-05
1.3013e-05,1.2815e-05,1.3212e-05,1.3013e-05,1.3212e-05
1.2792e-05,1.2698e-05,1.2887e-05,1.2792e-05,1.2887e-05
1.7862e-05,1.6859e-05,1.8866e-05,1.7862e-05,1.6859e-05
1.3253e-05,1.2804e-05,1.3703e-05,1.3253e-05,1.3703e-05
1.2853e-05,1.2786e-05,1.292e-05,1.2853e-05,1.292e-05
1.2867e-05,1.274e-05,1.2994e-05,1.2867e-05,1.2994e-05
1.2923e-05,1.2877e-05,1.297e-05,1.2923e-05,1.297e-05
1.3002e-05,1.2794e-05,1.3209e-05,1.3002e-05,1.3209e-05
1.3045e-05,1.2914e-05,1.3176e-05,1.3045e-05,1.3176e-05
1.3055e-05,1.2902e-05,1.3207e-05,1.3055e-05,1.3207e-05
1.3042e-05,1.3022e-05,1.3063e-05,1.3042e-05,1.3022e-05
