0_MainRank-Duration_s,0_MainRank-Bandwidth_Gb/s
3.171e-06,0.002522863
3.222e-06,0.002483315
3.492e-06,0.002290951
3.341e-06,0.002394134
3.356e-06,0.002383435
3.322e-06,0.00240855
3.216e-06,0.002487562
3.226e-06,0.002479467
3.341e-06,0.002394134
3.512e-06,0.002277904
3.372e-06,0.002372831
3.191e-06,0.002507051
3.491e-06,0.002291279
3.347e-06,0.002390557
3.341e-06,0.002394134
3.517e-06,0.002274666
3.492e-06,0.002290951
3.02e-06,0.002648568
3.306e-06,0.002419843
3.321e-06,0.002408913
3.171e-06,0.002522863
3.136e-06,0.00255102
3.527e-06,0.002268217
3.547e-06,0.002255427
3.196e-06,0.002503129
3.457e-06,0.002314145
3.381e-06,0.002365814
3.497e-06,0.002287675
3.307e-06,0.002419477
3.477e-06,0.002301165
3.046e-06,0.002626395
3.897e-06,0.002052598
3.296e-06,0.002426816
3.507e-06,0.002281152
2.87e-06,0.002786971
2.911e-06,0.002748196
3.296e-06,0.002427184
3.497e-06,0.002288002
3.131e-06,0.002555094
3.486e-06,0.002294565
3.667e-06,0.00218162
3.477e-06,0.002300834
2.996e-06,0.002670227
3.171e-06,0.002522863
3.372e-06,0.002372831
3.311e-06,0.002415824
3.522e-06,0.002271437
3.026e-06,0.002643754
3.692e-06,0.002166847
3.136e-06,0.00255102
3.231e-06,0.002476014
3.316e-06,0.002412182
3.256e-06,0.002456625
3.191e-06,0.002507051
3.462e-06,0.002310803
3.332e-06,0.002401321
3.327e-06,0.00240493
3.186e-06,0.002510986
3.372e-06,0.002372479
3.336e-06,0.002397722
3.437e-06,0.00232795
3.217e-06,0.002487175
3.632e-06,0.002202643
3.316e-06,0.002412182
3.186e-06,0.002510986
3.522e-06,0.002271437
3.356e-06,0.002383435
3.341e-06,0.002394134
3.166e-06,0.002526449
3.352e-06,0.002386991
3.392e-06,0.002358838
3.372e-06,0.002372831
3.502e-06,0.002284409
3.166e-06,0.002526848
3.502e-06,0.002284409
3.036e-06,0.002635046
3.296e-06,0.002426816
3.341e-06,0.002394134
3.276e-06,0.00244163
3.301e-06,0.002423508
3.682e-06,0.002172732
3.347e-06,0.002390557
3.356e-06,0.002383435
3.462e-06,0.002310803
3.462e-06,0.002311137
3.302e-06,0.002423141
3.532e-06,0.002265006
3.352e-06,0.002386991
3.316e-06,0.002412182
2.991e-06,0.002674691
3.302e-06,0.002423141
3.206e-06,0.002495321
3.361e-06,0.00237989
3.487e-06,0.002294236
3.732e-06,0.002143623
3.04e-06,0.002631146
3.356e-06,0.002383435
3.491e-06,0.002291279
3.336e-06,0.002397722
3.457e-06,0.002314145
3.186e-06,0.002510986
3.327e-06,0.00240493
3.316e-06,0.002412182
3.026e-06,0.002643754
3.417e-06,0.002341578
3.307e-06,0.002419477
3.141e-06,0.002546554
3.482e-06,0.00229786
3.532e-06,0.002265006
2.851e-06,0.002806525
3.372e-06,0.002372831
3.182e-06,0.002514537
3.491e-06,0.002291279
3.276e-06,0.00244163
3.361e-06,0.00237989
3.452e-06,0.002317497
3.206e-06,0.002495321
3.197e-06,0.002502737
3.332e-06,0.002401321
3.307e-06,0.002419477
3.181e-06,0.002514932
3.532e-06,0.002265006
3.191e-06,0.002506658
3.692e-06,0.002166847
3.271e-06,0.002445362
3.627e-06,0.00220568
3.672e-06,0.002178649
3.197e-06,0.002502737
3.372e-06,0.002372831
3.542e-06,0.002258611
3.527e-06,0.002268217
3.186e-06,0.002510986
3.182e-06,0.002514537
3.322e-06,0.00240855
3.306e-06,0.002419843
3.286e-06,0.002434571
3.537e-06,0.002261804
2.845e-06,0.002811457
3.612e-06,0.002214839
3.462e-06,0.002311137
3.211e-06,0.002491048
3.497e-06,0.002288002
3.682e-06,0.002172437
3.316e-06,0.002412182
3.181e-06,0.002514932
3.211e-06,0.002491048
3.542e-06,0.00225893
3.457e-06,0.00231448
3.367e-06,0.002376355
3.166e-06,0.002526848
3.216e-06,0.002487562
3.156e-06,0.002534854
3.542e-06,0.00225893
2.996e-06,0.002670227
3.196e-06,0.002503129
3.537e-06,0.002262123
3.296e-06,0.002426816
3.472e-06,0.002304147
3.341e-06,0.002394134
3.457e-06,0.00231448
3.172e-06,0.002522466
3.336e-06,0.002397722
3.356e-06,0.002383435
3.311e-06,0.002415824
3.327e-06,0.00240493
3.452e-06,0.002317833
3.506e-06,0.002281477
3.502e-06,0.002284409
3.302e-06,0.002423141
3.361e-06,0.00237989
2.856e-06,0.002801611
3.211e-06,0.002491048
3.201e-06,0.002499219
3.462e-06,0.002310803
3.241e-06,0.002468374
2.991e-06,0.002674691
3.176e-06,0.002518892
3.146e-06,0.002542912
3.176e-06,0.002518892
3.311e-06,0.002415824
3.537e-06,0.002261804
3.036e-06,0.002635046
3.412e-06,0.002345009
3.161e-06,0.002530444
3.141e-06,0.00254696
3.151e-06,0.002538876
3.477e-06,0.002300834
3.156e-06,0.002534854
3.006e-06,0.002661344
3.492e-06,0.002290951
3.336e-06,0.002397722
3.372e-06,0.002372831
3.141e-06,0.00254696
3.307e-06,0.002419477
3.171e-06,0.002522863
3.642e-06,0.002196595
3.121e-06,0.002563281
3.336e-06,0.002397722
3.217e-06,0.002487175
3.432e-06,0.002331342
3.502e-06,0.002284409
3.361e-06,0.00237989
3.381e-06,0.002365814
3.457e-06,0.002314145
3.306e-06,0.002419843
3.531e-06,0.002265326
3.302e-06,0.002423141
3.507e-06,0.002281152
3.076e-06,0.00260078
3.196e-06,0.002503129
3.381e-06,0.002365814
3.352e-06,0.002386991
3.151e-06,0.002538876
3.352e-06,0.002386991
3.392e-06,0.002358491
3.352e-06,0.002386991
3.076e-06,0.00260078
7.76e-06,0.001030928
3.341e-06,0.002394134
3.166e-06,0.002526848
3.316e-06,0.002412182
3.332e-06,0.002401321
3.352e-06,0.002386991
3.301e-06,0.002423508
3.347e-06,0.002390557
3.326e-06,0.002405292
3.452e-06,0.002317833
3.001e-06,0.002665778
3.332e-06,0.002401321
3.502e-06,0.002284735
3.407e-06,0.002348107
3.271e-06,0.002445735
3.531e-06,0.002265326
3.502e-06,0.002284409
3.381e-06,0.002365814
3.397e-06,0.002355366
3.486e-06,0.002294565
3.472e-06,0.002304147
3.522e-06,0.002271759
3.331e-06,0.002401681
3.191e-06,0.002507051
7.214e-06,0.001108955
3.322e-06,0.00240855
3.327e-06,0.00240493
3.642e-06,0.002196595
3.682e-06,0.002172437
3.562e-06,0.002245929
3.491e-06,0.002291279
3.311e-06,0.002415824
3.376e-06,0.002369317
3.306e-06,0.002419843
3.492e-06,0.002290951
3.322e-06,0.00240855
3.056e-06,0.002617801
3.692e-06,0.002166847
3.296e-06,0.002426816
3.217e-06,0.002487175
3.206e-06,0.002495321
3.531e-06,0.002265326
3.372e-06,0.002372831
3.327e-06,0.00240493
2.986e-06,0.002679618
3.311e-06,0.002415824
3.662e-06,0.002184599
3.537e-06,0.002261804
3.311e-06,0.002415824
3.316e-06,0.002412182
3.477e-06,0.002300834
3.146e-06,0.002542912
3.446e-06,0.002321196
3.352e-06,0.002386991
3.471e-06,0.002304479
3.376e-06,0.002369317
3.307e-06,0.002419477
3.387e-06,0.002361972
3.477e-06,0.002301165
3.237e-06,0.002471806
3.201e-06,0.002499219
3.387e-06,0.002361972
3.186e-06,0.002510986
3.217e-06,0.002487175
3.322e-06,0.00240855
3.506e-06,0.002281477
3.316e-06,0.002412182
3.367e-06,0.002376355
2.99e-06,0.002675138
3.677e-06,0.002175391
3.376e-06,0.002369317
3.462e-06,0.002311137
3.402e-06,0.002351558
3.352e-06,0.002386991
3.206e-06,0.002495321
3.322e-06,0.00240855
3.547e-06,0.002255427
3.197e-06,0.002502737
3.031e-06,0.002639828
3.021e-06,0.002648568
3.251e-06,0.002460403
3.222e-06,0.002483315
3.302e-06,0.002423141
3.361e-06,0.00237989
3.432e-06,0.002331342
3.577e-06,0.002236511
3.322e-06,0.00240855
3.572e-06,0.002239642
3.222e-06,0.002483315
3.327e-06,0.00240493
3.506e-06,0.002281477
3.576e-06,0.002236824
3.341e-06,0.002394134
3.361e-06,0.00237989
3.332e-06,0.002401321
3.015e-06,0.00265296
3.462e-06,0.002311137
3.171e-06,0.002522863
3.321e-06,0.002408913
3.211e-06,0.002491436
3.426e-06,0.002334744
3.497e-06,0.002287675
2.961e-06,0.00270179
3.547e-06,0.002255745
3.201e-06,0.002499219
3.387e-06,0.002362321
3.477e-06,0.002300834
3.507e-06,0.002281152
3.196e-06,0.002503129
3.347e-06,0.002390557
3.367e-06,0.002376355
3.382e-06,0.002365464
3.482e-06,0.00229786
3.557e-06,0.002249086
3.021e-06,0.00264813
3.242e-06,0.002467993
3.497e-06,0.002288002
3.322e-06,0.00240855
3.507e-06,0.002281152
3.291e-06,0.002430503
3.372e-06,0.002372831
3.372e-06,0.002372831
3.031e-06,0.002639393
3.081e-06,0.00259656
3.652e-06,0.002190581
