0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
23.43,0.02,0.02,22.55,0.02,0.02
22.53,0.02,0.02,22.41,0.02,0.02
32.45,0.02,0.02,28.69,0.02,0.02
22.65,0.02,0.02,22.69,0.02,0.02
22.71,0.02,0.02,22.76,0.02,0.02
24.55,0.02,0.02,24.56,0.02,0.02
22.52,0.02,0.02,22.74,0.02,0.02
22.45,0.02,0.02,22.48,0.02,0.02
22.72,0.02,0.02,22.68,0.02,0.02
22.6,0.02,0.02,22.46,0.02,0.02
22.73,0.02,0.02,22.64,0.02,0.02
22.7,0.02,0.02,22.75,0.02,0.02
26.3,0.02,0.02,27.48,0.02,0.02
22.38,0.02,0.02,22.33,0.02,0.02
22.5,0.02,0.02,22.53,0.02,0.02
22.74,0.02,0.02,22.71,0.02,0.02
22.37,0.02,0.02,22.38,0.02,0.02
22.56,0.02,0.02,22.59,0.02,0.02
24.66,0.02,0.02,23.42,0.02,0.02
24.02,0.02,0.02,26.04,0.02,0.02
22.55,0.02,0.02,22.63,0.02,0.02
22.67,0.02,0.02,22.79,0.02,0.02
22.49,0.02,0.02,25.05,0.02,0.02
22.35,0.02,0.02,25.9,0.02,0.02
22.5,0.02,0.02,22.45,0.02,0.02
22.71,0.02,0.02,54.99,0.01,0.01
23.56,0.02,0.02,23.4,0.02,0.02
22.55,0.02,0.02,22.3,0.02,0.02
22.47,0.02,0.02,22.53,0.02,0.02
