0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
1722.3,9.74,9.74,1867.9,8.98,8.98
1722.6,9.74,9.74,1974.8,8.5,8.5
1633.7,10.27,10.27,1896.3,8.85,8.85
1684.8,9.96,9.96,2297.0,7.3,7.3
1648.1,10.18,10.18,3120.3,5.38,5.38
2441.2,6.87,6.87,2470.5,6.79,6.79
3292.8,5.1,5.1,2127.7,7.89,7.89
2622.5,6.4,6.4,3287.9,5.1,5.1
2185.3,7.68,7.68,2209.1,7.59,7.59
2625.2,6.39,6.39,1767.2,9.49,9.49
2592.3,6.47,6.47,1609.9,10.42,10.42
2450.0,6.85,6.85,1741.6,9.63,9.63
1716.9,9.77,9.77,1800.5,9.32,9.32
1639.9,10.23,10.23,2059.5,8.15,8.15
1651.5,10.16,10.16,1611.2,10.41,10.41
1719.9,9.75,9.75,1700.8,9.86,9.86
1824.2,9.2,9.2,1605.4,10.45,10.45
1821.6,9.21,9.21,1658.9,10.11,10.11
1611.3,10.41,10.41,1603.2,10.46,10.46
1707.2,9.83,9.83,1631.4,10.28,10.28
1629.0,10.3,10.3,1643.0,10.21,10.21
1654.7,10.14,10.14,1609.5,10.42,10.42
1990.1,8.43,8.43,1727.9,9.71,9.71
