0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
20.93,0.0,0.01,20.48,0.0,0.01
20.7,0.0,0.01,20.38,0.0,0.01
20.66,0.0,0.01,23.49,0.0,0.0
20.38,0.0,0.01,20.18,0.0,0.01
20.48,0.0,0.01,20.19,0.0,0.01
20.48,0.0,0.01,20.3,0.0,0.01
20.54,0.0,0.01,20.17,0.0,0.01
20.43,0.0,0.01,20.25,0.0,0.01
22.34,0.0,0.01,23.94,0.0,0.0
20.59,0.0,0.01,20.42,0.0,0.01
20.41,0.0,0.01,20.31,0.0,0.01
20.53,0.0,0.01,20.82,0.0,0.01
20.36,0.0,0.01,20.08,0.0,0.01
20.69,0.0,0.01,20.46,0.0,0.01
142.9,0.0,0.0,41.26,0.0,0.0
20.38,0.0,0.01,20.21,0.0,0.01
20.38,0.0,0.01,20.18,0.0,0.01
22.8,0.0,0.0,22.85,0.0,0.0
20.49,0.0,0.01,20.2,0.0,0.01
20.64,0.0,0.01,20.41,0.0,0.01
