0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
832.1,20.16,35.28,762.6,22.0,38.5
771.7,21.74,38.05,829.3,20.23,35.4
819.0,20.49,35.85,767.5,21.86,38.25
767.6,21.86,38.25,947.6,17.71,30.98
772.1,21.73,38.02,799.0,21.0,36.75
1135.7,14.77,25.85,780.4,21.5,37.62
770.3,21.78,38.11,795.6,21.09,36.9
765.9,21.91,38.33,762.1,22.01,38.52
1204.3,13.93,24.38,1100.2,15.25,26.69
841.8,19.93,34.88,762.7,22.0,38.5
1022.3,16.41,28.72,1042.1,16.1,28.18
769.1,21.82,38.18,765.1,21.93,38.38
1183.3,14.18,24.81,1172.0,14.31,25.05
888.2,18.89,33.06,764.0,21.96,38.43
1021.1,16.43,28.75,1358.8,12.35,21.61
1495.2,11.22,19.64,1323.0,12.68,22.19
779.3,21.53,37.68,841.8,19.93,34.88
803.1,20.89,36.56,906.1,18.52,32.4
767.5,21.86,38.25,775.0,21.65,37.88
