0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
58.5,4.48,4.48,58.78,4.46,4.46
58.22,4.5,4.5,59.15,4.43,4.43
261.1,1.0,1.0,128.3,2.04,2.04
59.26,4.42,4.42,57.78,4.54,4.54
58.09,4.51,4.51,57.58,4.55,4.55
58.12,4.51,4.51,57.55,4.55,4.55
58.27,4.5,4.5,57.45,4.56,4.56
58.09,4.51,4.51,57.58,4.55,4.55
58.33,4.49,4.49,60.8,4.31,4.31
70.54,3.72,3.72,102.3,2.56,2.56
57.92,4.53,4.53,57.4,4.57,4.57
58.08,4.51,4.51,57.3,4.58,4.58
96.16,2.73,2.73,99.42,2.64,2.64
57.79,4.54,4.54,57.51,4.56,4.56
58.02,4.52,4.52,57.57,4.55,4.55
58.56,4.48,4.48,58.02,4.52,4.52
58.18,4.51,4.51,57.33,4.57,4.57
58.1,4.51,4.51,57.96,4.52,4.52
111.6,2.35,2.35,64.62,4.06,4.06
85.9,3.05,3.05,57.38,4.57,4.57
57.92,4.53,4.53,57.61,4.55,4.55
58.07,4.51,4.51,71.1,3.69,3.69
58.32,4.5,4.5,57.79,4.54,4.54
57.77,4.54,4.54,57.89,4.53,4.53
58.03,4.52,4.52,78.84,3.33,3.33
58.36,4.49,4.49,57.99,4.52,4.52
99.04,2.65,2.65,82.92,3.16,3.16
58.13,4.51,4.51,66.23,3.96,3.96
