size,"('nanjin', 'nanjin2')","('nanjin2', 'nanjin')",nanjin,nanjin2
128MiB,1.012325718072332,0.9878243554892565,0.18721203240906018,0.18493260525431368
16MiB,1.0111767409200747,0.988946797856619,0.1939828899683655,0.1918387578731879
1GiB,0.997275365188637,1.002732078728173,0.19261906777441026,0.19314531823211728
256KiB,1.1856820419905312,0.8433964288783468,0.13675930791055835,0.11534231190763915
2MiB,1.0302015141445138,0.9706838771542737,0.16977474848424104,0.16479761110157476
32KiB,1.249631039810995,0.8002362042409322,0.07469716115024867,0.05977537270644823
4B,1.461025519031098,0.6844507416018071,5.647550879331136e-05,3.8654703875921334e-05
4KiB,1.2150284188871956,0.8230260168859812,0.028675080982230306,0.023600337684687958
512B,1.48159950951012,0.6749462277634276,0.006809104584385685,0.004595779453677779
64B,1.4973052180514277,0.6678665030643426,0.0008850946612600104,0.0005911250762966419
8B,1.535007718864775,0.651462522116538,0.00012236119252479255,7.971373109138863e-05
