size,"('nanjin', 'nanjin2')","('nanjin2', 'nanjin')",nanjin,nanjin2
128MiB,1.0379149432151868,0.963470086385175,0.09158205653194694,0.08823657191816689
16MiB,1.055621711803464,0.9473090490830869,0.10286281017966754,0.09744287089731493
1GiB,1.0337751337207326,0.9673283554430545,0.09076805660321713,0.08780251492075211
256KiB,1.188978946500482,0.8410577857104172,0.07773518682361781,0.0653797841016576
2MiB,1.0314070291875905,0.9695493357144085,0.10133782361316912,0.09825201956689203
32KiB,1.310826043328361,0.7628777327774687,0.05289419721644721,0.04035180524956755
4B,1.9643516421232365,0.5090738229124373,3.7406324973655835e-05,1.9042580855443952e-05
4KiB,1.5670781266384175,0.6381302776174457,0.017798066270334843,0.011357484970142469
512B,1.8032832609395777,0.5545440484369398,0.0035280542875652855,0.001956461507731757
64B,1.8616270247528062,0.5371645268916225,0.0005034446934998335,0.00027043263059993596
8B,2.0537523941732907,0.48691361375261405,7.531367534616567e-05,3.667125382779268e-05
