0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
29.86,0.0,0.0,31.2,0.0,0.0
29.78,0.0,0.0,33.64,0.0,0.0
39.19,0.0,0.0,32.63,0.0,0.0
29.82,0.0,0.0,29.89,0.0,0.0
29.9,0.0,0.0,29.38,0.0,0.0
29.74,0.0,0.0,29.51,0.0,0.0
30.25,0.0,0.0,36.54,0.0,0.0
41.23,0.0,0.0,29.37,0.0,0.0
29.65,0.0,0.0,29.35,0.0,0.0
29.56,0.0,0.0,29.08,0.0,0.0
29.78,0.0,0.0,29.79,0.0,0.0
31.98,0.0,0.0,29.56,0.0,0.0
29.9,0.0,0.0,29.57,0.0,0.0
29.76,0.0,0.0,29.51,0.0,0.0
30.58,0.0,0.0,32.79,0.0,0.0
30.35,0.0,0.0,29.58,0.0,0.0
