0_Transfer Time_s,0_Bandwidth_GB/s
3.1359e-05,0.022808627
3.9391e-05,0.018157847
3.8911e-05,0.018381839
4.0671e-05,0.017586382
3.8783e-05,0.018442507
4.0991e-05,0.017449092
3.8814e-05,0.018427777
3.2575e-05,0.021957198
4.0031e-05,0.017867546
3.9807e-05,0.017968089
3.8175e-05,0.018736234
4.2942e-05,0.016656321
5.0239e-05,0.014237062
3.8015e-05,0.018815092
3.8974e-05,0.018352125
3.3087e-05,0.021617425
3.8207e-05,0.018720542
3.6991e-05,0.019335939
3.9167e-05,0.018261693
4.5086e-05,0.015864254
3.5871e-05,0.019939665
2.9983e-05,0.023855376
3.2031e-05,0.022330109
3.6319e-05,0.019693707
3.2255e-05,0.022175035
2.8927e-05,0.024726233
2.5951e-05,0.027561779
2.9152e-05,0.024535392
2.5696e-05,0.027835295
2.96e-05,0.024164045
2.8287e-05,0.02528567
2.7167e-05,0.026328109
2.9695e-05,0.02408674
2.9023e-05,0.024644445
2.9983e-05,0.023855376
2.7391e-05,0.026112801
2.9823e-05,0.02398336
2.9951e-05,0.023880863
2.6367e-05,0.027126929
3.2351e-05,0.022109231
2.6656e-05,0.026832823
2.9504e-05,0.02424267
2.5504e-05,0.028044845
2.9823e-05,0.02398336
2.8959e-05,0.02469891
2.6847e-05,0.026641924
3.0399e-05,0.023528923
3.3791e-05,0.021167048
2.4991e-05,0.028620533
2.6047e-05,0.027460196
2.6847e-05,0.026641924
2.6464e-05,0.027027499
3.0368e-05,0.023552942
2.9056e-05,0.024616456
2.7135e-05,0.026359157
3.0783e-05,0.023235414
2.5471e-05,0.02808118
2.9375e-05,0.024349131
2.6655e-05,0.02683383
2.7039e-05,0.026452744
2.6719e-05,0.026769555
2.9087e-05,0.02459022
2.6592e-05,0.026897403
2.736e-05,0.026142388
3.4464e-05,0.020753706
2.6528e-05,0.026962294
2.9279e-05,0.024428967
2.8063e-05,0.025487501
2.7039e-05,0.026452744
3.0399e-05,0.023528923
2.6303e-05,0.027192934
