0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
43.98,0.09,0.09,40.22,0.1,0.1
23.78,0.17,0.17,23.86,0.17,0.17
29.73,0.14,0.14,40.3,0.1,0.1
28.76,0.14,0.14,29.97,0.14,0.14
23.69,0.17,0.17,23.73,0.17,0.17
99.13,0.04,0.04,92.73,0.04,0.04
30.2,0.14,0.14,25.58,0.16,0.16
23.76,0.17,0.17,28.82,0.14,0.14
27.73,0.15,0.15,45.51,0.09,0.09
23.68,0.17,0.17,23.7,0.17,0.17
28.65,0.14,0.14,24.35,0.17,0.17
40.79,0.1,0.1,28.2,0.15,0.15
35.3,0.12,0.12,48.82,0.08,0.08
23.3,0.18,0.18,23.34,0.18,0.18
24.05,0.17,0.17,23.9,0.17,0.17
28.31,0.14,0.14,23.91,0.17,0.17
23.53,0.17,0.17,23.44,0.17,0.17
59.71,0.07,0.07,58.47,0.07,0.07
23.72,0.17,0.17,23.82,0.17,0.17
23.61,0.17,0.17,23.61,0.17,0.17
44.93,0.09,0.09,68.57,0.06,0.06
23.66,0.17,0.17,27.73,0.15,0.15
23.72,0.17,0.17,23.77,0.17,0.17
26.28,0.16,0.16,24.83,0.16,0.16
23.66,0.17,0.17,23.52,0.17,0.17
23.68,0.17,0.17,23.48,0.17,0.17
23.51,0.17,0.17,23.34,0.18,0.18
120.0,0.03,0.03,28.99,0.14,0.14
25.37,0.16,0.16,25.53,0.16,0.16
