0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
30.72,0.13,0.13,42.9,0.1,0.1
89.54,0.05,0.05,86.17,0.05,0.05
23.81,0.17,0.17,23.92,0.17,0.17
31.83,0.13,0.13,26.54,0.15,0.15
23.85,0.17,0.17,24.13,0.17,0.17
58.4,0.07,0.07,50.61,0.08,0.08
43.23,0.09,0.09,70.99,0.06,0.06
53.17,0.08,0.08,24.62,0.17,0.17
23.67,0.17,0.17,24.58,0.17,0.17
49.16,0.08,0.08,30.72,0.13,0.13
23.49,0.17,0.17,30.43,0.13,0.13
32.62,0.13,0.13,46.02,0.09,0.09
24.56,0.17,0.17,30.61,0.13,0.13
49.18,0.08,0.08,64.07,0.06,0.06
23.77,0.17,0.17,23.69,0.17,0.17
91.83,0.04,0.04,35.26,0.12,0.12
24.83,0.16,0.16,30.98,0.13,0.13
57.86,0.07,0.07,27.2,0.15,0.15
23.64,0.17,0.17,23.71,0.17,0.17
23.75,0.17,0.17,24.39,0.17,0.17
40.43,0.1,0.1,33.13,0.12,0.12
24.06,0.17,0.17,56.51,0.07,0.07
76.1,0.05,0.05,61.53,0.07,0.07
38.09,0.11,0.11,31.07,0.13,0.13
23.75,0.17,0.17,23.69,0.17,0.17
51.94,0.08,0.08,75.37,0.05,0.05
23.56,0.17,0.17,27.66,0.15,0.15
23.92,0.17,0.17,23.76,0.17,0.17
