# ststem: haicgu, experiment: inc_b, nnodes: 10, process-per-node: 128
# msg_size, extra, datafile
1B, cn-eth, ./data/haicgu/2024-07-30_17:17:51/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_17:27:53/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_17:37:54/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_17:47:55/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_17:57:56/data.csv
1B, cn-ib, ./data/haicgu/2024-07-31_02:15:14/data.csv
4B, cn-ib, ./data/haicgu/2024-07-31_02:25:15/data.csv
8B, cn-ib, ./data/haicgu/2024-07-31_02:35:16/data.csv
64B, cn-ib, ./data/haicgu/2024-07-31_02:45:17/data.csv
512B, cn-ib, ./data/haicgu/2024-07-31_02:55:18/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_17:17:51/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_17:27:53/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_17:37:54/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_17:47:55/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_17:57:56/data.csv
1B, cn-ib, ./data/haicgu/2024-07-31_02:15:14/data.csv
4B, cn-ib, ./data/haicgu/2024-07-31_02:25:15/data.csv
8B, cn-ib, ./data/haicgu/2024-07-31_02:35:16/data.csv
64B, cn-ib, ./data/haicgu/2024-07-31_02:45:17/data.csv
512B, cn-ib, ./data/haicgu/2024-07-31_02:55:18/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_17:17:51/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_17:27:53/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_17:37:54/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_17:47:55/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_17:57:56/data.csv
1B, cn-ib, ./data/haicgu/2024-07-31_02:15:14/data.csv
4B, cn-ib, ./data/haicgu/2024-07-31_02:25:15/data.csv
8B, cn-ib, ./data/haicgu/2024-07-31_02:35:16/data.csv
64B, cn-ib, ./data/haicgu/2024-07-31_02:45:17/data.csv
512B, cn-ib, ./data/haicgu/2024-07-31_02:55:18/data.csv
