0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
29.36,0.02,0.02,29.25,0.02,0.02
41.43,0.01,0.01,29.45,0.02,0.02
32.88,0.02,0.01,29.25,0.02,0.02
31.77,0.02,0.01,32.74,0.02,0.01
29.74,0.02,0.02,29.44,0.02,0.02
29.64,0.02,0.02,29.41,0.02,0.02
33.26,0.02,0.01,32.19,0.02,0.01
37.11,0.01,0.01,30.83,0.02,0.01
39.23,0.01,0.01,34.65,0.01,0.01
50.31,0.01,0.01,53.18,0.01,0.01
53.77,0.01,0.01,53.61,0.01,0.01
29.84,0.02,0.02,29.45,0.02,0.02
62.45,0.01,0.01,51.58,0.01,0.01
29.57,0.02,0.02,29.5,0.02,0.02
29.71,0.02,0.02,29.34,0.02,0.02
29.49,0.02,0.02,29.41,0.02,0.02
