0_Transfer Time_s,0_Bandwidth_GB/s
0.015967205,4.08e-07
0.016014993,4.07e-07
0.015927384,4.09e-07
0.015931953,4.09e-07
0.015972005,4.08e-07
0.016006993,4.07e-07
0.015984634,4.08e-07
0.015946513,4.09e-07
0.016014405,4.07e-07
0.015952433,4.09e-07
0.016009038,4.07e-07
0.015966352,4.08e-07
0.016014405,4.07e-07
0.015968112,4.08e-07
0.015989892,4.08e-07
0.02832187,2.3e-07
0.015637286,4.17e-07
0.015927151,4.09e-07
0.015943056,4.09e-07
0.015919952,4.1e-07
0.016055044,4.06e-07
0.015962033,4.08e-07
0.016032616,4.07e-07
0.015882991,4.1e-07
0.016030245,4.07e-07
0.016007474,4.07e-07
0.015907783,4.1e-07
0.015986832,4.08e-07
0.015944166,4.09e-07
0.015998513,4.07e-07
0.015892437,4.1e-07
0.016039632,4.06e-07
0.015956165,4.09e-07
0.028339209,2.3e-07
0.015661251,4.16e-07
0.015936593,4.09e-07
0.015978085,4.08e-07
0.015897231,4.1e-07
0.01603278,4.07e-07
0.015864592,4.11e-07
0.016036486,4.07e-07
0.015997551,4.08e-07
0.015910646,4.1e-07
0.015983632,4.08e-07
0.015868805,4.11e-07
0.015995152,4.08e-07
0.015871132,4.11e-07
0.016057713,4.06e-07
0.015990404,4.08e-07
0.015925553,4.09e-07
0.01599039,4.08e-07
0.015988592,4.08e-07
0.015962565,4.08e-07
0.02837969,2.3e-07
0.015559492,4.19e-07
0.016044753,4.06e-07
0.015906565,4.1e-07
0.016027471,4.07e-07
0.015876587,4.11e-07
0.015953071,4.09e-07
0.016005445,4.07e-07
0.015934352,4.09e-07
0.016018676,4.07e-07
0.015850032,4.11e-07
0.016044166,4.06e-07
0.015904753,4.1e-07
0.016024329,4.07e-07
0.015962351,4.08e-07
0.015978884,4.08e-07
0.015920751,4.09e-07
0.015966015,4.08e-07
0.016020272,4.07e-07
0.016020484,4.07e-07
0.015949072,4.09e-07
0.015977193,4.08e-07
0.028379528,2.3e-07
0.015554405,4.19e-07
0.016031474,4.07e-07
0.015956562,4.09e-07
0.015974032,4.08e-07
0.015963206,4.08e-07
0.015972752,4.08e-07
0.015959872,4.08e-07
0.016003311,4.07e-07
0.016016005,4.07e-07
0.01590251,4.1e-07
0.015978348,4.08e-07
0.015985552,4.08e-07
0.015937285,4.09e-07
0.015973391,4.08e-07
0.016031999,4.07e-07
0.015951632,4.09e-07
0.015999205,4.07e-07
0.016005872,4.07e-07
0.015840283,4.12e-07
0.028383149,2.3e-07
0.015512966,4.2e-07
0.016075792,4.06e-07
0.015887005,4.1e-07
0.015967952,4.08e-07
0.01582987,4.12e-07
0.016128719,4.04e-07
0.01587181,4.11e-07
0.016093839,4.05e-07
0.015849549,4.11e-07
0.01613624,4.04e-07
0.015784729,4.13e-07
0.0161268,4.04e-07
0.01587115,4.11e-07
0.01614712,4.04e-07
0.01581572,4.12e-07
0.016093679,4.05e-07
0.015868749,4.11e-07
0.01613944,4.04e-07
0.015766826,4.13e-07
0.016180562,4.03e-07
0.015757069,4.14e-07
0.016108401,4.05e-07
0.015924044,4.09e-07
0.01609672,4.05e-07
0.015849229,4.11e-07
0.0161364,4.04e-07
0.015831666,4.12e-07
0.016162639,4.03e-07
0.01573067,4.14e-07
0.016181041,4.03e-07
0.015040657,4.33e-07
0.014502312,4.5e-07
0.016176324,4.03e-07
0.016082773,4.05e-07
0.015967513,4.08e-07
0.015574318,4.19e-07
0.016015045,4.07e-07
0.016038161,4.06e-07
0.015981788,4.08e-07
0.015937999,4.09e-07
0.016003525,4.07e-07
0.0159404,4.09e-07
0.015930025,4.09e-07
0.016043598,4.06e-07
0.016001765,4.07e-07
0.015995119,4.08e-07
0.016025726,4.07e-07
0.015923278,4.09e-07
0.015898084,4.1e-07
0.015999759,4.07e-07
0.015999632,4.07e-07
0.015991759,4.08e-07
0.016028484,4.07e-07
0.01587656,4.11e-07
0.01598973,4.08e-07
0.01598376,4.08e-07
0.015951205,4.09e-07
0.016011762,4.07e-07
0.016007038,4.07e-07
0.015892079,4.1e-07
0.016054245,4.06e-07
0.015961999,4.08e-07
0.015981492,4.08e-07
0.015963439,4.08e-07
0.015892005,4.1e-07
0.01605144,4.06e-07
0.015949128,4.09e-07
0.01599912,4.07e-07
0.015922725,4.09e-07
0.015960239,4.08e-07
0.015972622,4.08e-07
0.015944079,4.09e-07
0.016058726,4.06e-07
0.015955919,4.09e-07
0.015957443,4.09e-07
0.016017679,4.07e-07
0.016030245,4.07e-07
0.015936719,4.09e-07
0.016007308,4.07e-07
0.015905838,4.1e-07
0.016007524,4.07e-07
0.015928879,4.09e-07
0.016023783,4.07e-07
0.016005678,4.07e-07
0.015940964,4.09e-07
0.015932558,4.09e-07
0.015905971,4.1e-07
0.016049361,4.06e-07
0.015957765,4.09e-07
0.015979599,4.08e-07
0.016036654,4.07e-07
0.015927119,4.09e-07
0.015947364,4.09e-07
0.016011762,4.07e-07
0.015969677,4.08e-07
0.015966158,4.08e-07
0.016034566,4.07e-07
0.015919439,4.1e-07
0.015935173,4.09e-07
0.015992399,4.08e-07
0.015963206,4.08e-07
0.015932238,4.09e-07
0.016021097,4.07e-07
0.015998159,4.08e-07
