0_Transfer Time_s,0_Bandwidth_GB/s
2.78e-05,0.000234506
2.5804e-05,0.000252645
2.6737e-05,0.000243829
2.5158e-05,0.000259133
2.5346e-05,0.000257211
2.515e-05,0.000259215
2.8219e-05,0.000231024
2.5616e-05,0.000254499
2.5703e-05,0.000253638
2.5297e-05,0.000257709
2.5962e-05,0.000251108
2.9579e-05,0.000220402
2.5353e-05,0.00025714
2.5228e-05,0.000258414
2.5679e-05,0.000253875
2.5092e-05,0.000259814
2.4888e-05,0.000261944
2.5052e-05,0.000260229
2.5647e-05,0.000254192
2.5167e-05,0.00025904
2.541e-05,0.000256563
2.5187e-05,0.000258834
2.568e-05,0.000253865
2.5066e-05,0.000260084
2.4918e-05,0.000261628
2.4625e-05,0.000264741
2.5448e-05,0.00025618
2.515e-05,0.000259215
2.5578e-05,0.000254878
2.517e-05,0.000259009
2.547e-05,0.000255958
2.5137e-05,0.000259349
2.5471e-05,0.000255948
2.5096e-05,0.000259773
2.6355e-05,0.000247363
2.6719e-05,0.000243993
2.5633e-05,0.000254331
2.5315e-05,0.000257525
2.57e-05,0.000253668
2.5171e-05,0.000258999
2.5943e-05,0.000251292
2.5262e-05,0.000258066
2.5284e-05,0.000257841
2.5349e-05,0.00025718
2.5845e-05,0.000252244
2.5281e-05,0.000257872
2.528e-05,0.000257882
2.511e-05,0.000259628
2.5563e-05,0.000255027
2.5267e-05,0.000258015
2.5242e-05,0.00025827
2.4806e-05,0.00026281
2.5313e-05,0.000257546
2.521e-05,0.000258598
2.5811e-05,0.000252577
2.4818e-05,0.000262683
2.5345e-05,0.000257221
2.5133e-05,0.00025939
2.5959e-05,0.000251137
2.4874e-05,0.000262091
2.5297e-05,0.000257709
2.5162e-05,0.000259091
2.5708e-05,0.000253589
2.5361e-05,0.000257058
2.5161e-05,0.000259102
2.5159e-05,0.000259122
2.5728e-05,0.000253392
2.4862e-05,0.000262218
2.5169e-05,0.000259019
2.5048e-05,0.000260271
2.5472e-05,0.000255938
2.4913e-05,0.000261681
2.5267e-05,0.000258015
2.5004e-05,0.000260729
2.5411e-05,0.000256553
2.4848e-05,0.000262366
2.5159e-05,0.000259122
2.5346e-05,0.000257211
2.6119e-05,0.000249598
2.4983e-05,0.000260948
2.4911e-05,0.000261702
2.5258e-05,0.000258107
2.5929e-05,0.000251427
2.4752e-05,0.000263383
2.9084e-05,0.000224153
2.5752e-05,0.000253155
2.6082e-05,0.000249952
2.6362e-05,0.000247298
2.5267e-05,0.000258015
2.4882e-05,0.000262007
2.6289e-05,0.000247984
2.5306e-05,0.000257617
2.6455e-05,0.000246428
2.5362e-05,0.000257048
2.5584e-05,0.000254818
2.5969e-05,0.00025104
2.5825e-05,0.00025244
2.5209e-05,0.000258608
2.5291e-05,0.00025777
2.5064e-05,0.000260104
