0_Transfer Time_s,0_Bandwidth_GB/s
1.3984e-05,0.00159838
6.432e-05,0.000347508
1.3056e-05,0.00171199
1.2416e-05,0.001800237
1.1712e-05,0.001908448
1.2192e-05,0.001833312
1.1584e-05,0.001929536
1.2064e-05,0.001852764
1.2512e-05,0.001786424
1.2672e-05,0.001763869
1.2832e-05,0.001741875
1.152e-05,0.001940255
1.1872e-05,0.001882728
1.4048e-05,0.001591098
1.3888e-05,0.001609428
1.3024e-05,0.001716196
1.2384e-05,0.001804889
1.2096e-05,0.001847862
1.0592e-05,0.002110248
1.2096e-05,0.001847862
1.248e-05,0.001791005
1.2544e-05,0.001781867
1.1872e-05,0.001882728
1.2e-05,0.001862645
1.328e-05,0.001683113
1.1264e-05,0.001984352
1.3408e-05,0.001667045
1.2544e-05,0.001781867
1.2096e-05,0.001847862
1.36e-05,0.00164351
1.1776e-05,0.001898076
1.1808e-05,0.001892932
1.0272e-05,0.002175987
1.2896e-05,0.001733231
1.3184e-05,0.001695369
1.2736e-05,0.001755005
1.2512e-05,0.001786424
1.2416e-05,0.001800237
1.2608e-05,0.001772822
1.088e-05,0.002054388
1.2608e-05,0.001772822
1.3056e-05,0.00171199
1.2576e-05,0.001777333
1.2448e-05,0.001795609
1.232e-05,0.001814265
1.216e-05,0.001838137
1.0752e-05,0.002078845
1.28e-05,0.00174623
1.1584e-05,0.001929536
1.2832e-05,0.001741875
1.3472e-05,0.001659126
1.2064e-05,0.001852764
1.2192e-05,0.001833312
1.0336e-05,0.002162514
1.3216e-05,0.001691264
1.2736e-05,0.001755005
1.2448e-05,0.001795609
1.2032e-05,0.001857691
1.184e-05,0.001887816
1.1072e-05,0.002018763
1.056e-05,0.002116642
1.2928e-05,0.00172894
1.2416e-05,0.001800237
1.2256e-05,0.001823739
1.2096e-05,0.001847862
1.2608e-05,0.001772822
1.2096e-05,0.001847862
1.1904e-05,0.001877666
1.328e-05,0.001683113
1.2608e-05,0.001772822
1.2128e-05,0.001842987
1.2736e-05,0.001755005
1.1744e-05,0.001903248
1.2e-05,0.001862645
1.0048e-05,0.002224497
1.2288e-05,0.001818989
1.3408e-05,0.001667045
1.2e-05,0.001862645
1.2928e-05,0.00172894
1.2992e-05,0.001720423
1.12e-05,0.001995691
1.1552e-05,0.001934881
1.2576e-05,0.001777333
1.1872e-05,0.001882728
1.1648e-05,0.001918934
1.2288e-05,0.001818989
1.1104e-05,0.002012945
1.1744e-05,0.001903248
9.984e-06,0.002238756
1.216e-05,0.001838137
1.3568e-05,0.001647387
1.1712e-05,0.001908448
1.1584e-05,0.001929536
1.2416e-05,0.001800237
1.1648e-05,0.001918934
1.024e-05,0.002182787
1.3184e-05,0.001695369
1.2e-05,0.001862645
1.2544e-05,0.001781867
1.184e-05,0.001887816
1.344e-05,0.001663076
6.3712e-05,0.000350825
1.4176e-05,0.001576731
1.296e-05,0.001724671
1.0944e-05,0.002042374
1.3408e-05,0.001667045
1.3312e-05,0.001679067
1.2448e-05,0.001795609
1.2352e-05,0.001809565
1.2384e-05,0.001804889
1.2064e-05,0.001852764
1.3248e-05,0.001687179
1.3408e-05,0.001667045
1.2864e-05,0.001737542
1.28e-05,0.00174623
1.3408e-05,0.001667045
1.3056e-05,0.00171199
1.2192e-05,0.001833312
1.0816e-05,0.002066544
1.2352e-05,0.001809565
1.328e-05,0.001683113
1.2544e-05,0.001781867
1.264e-05,0.001768334
1.3824e-05,0.001616879
1.3088e-05,0.001707804
1.1168e-05,0.00200141
1.2544e-05,0.001781867
1.4016e-05,0.00159473
1.2672e-05,0.001763869
1.2448e-05,0.001795609
1.2992e-05,0.001720423
1.2352e-05,0.001809565
1.2224e-05,0.001828513
1.408e-05,0.001587482
1.2288e-05,0.001818989
1.28e-05,0.00174623
1.264e-05,0.001768334
1.264e-05,0.001768334
1.2704e-05,0.001759425
1.1648e-05,0.001918934
1.3088e-05,0.001707804
1.2832e-05,0.001741875
1.2512e-05,0.001786424
1.2448e-05,0.001795609
1.3568e-05,0.001647387
1.2864e-05,0.001737542
1.0528e-05,0.002123076
1.2992e-05,0.001720423
1.2224e-05,0.001828513
1.296e-05,0.001724671
1.3056e-05,0.00171199
1.264e-05,0.001768334
1.2192e-05,0.001833312
1.1264e-05,0.001984352
1.264e-05,0.001768334
1.3056e-05,0.00171199
1.2288e-05,0.001818989
1.296e-05,0.001724671
1.3376e-05,0.001671033
1.1936e-05,0.001872633
1.072e-05,0.002085051
1.216e-05,0.001838137
1.3152e-05,0.001699494
1.2576e-05,0.001777333
1.248e-05,0.001791005
1.3312e-05,0.001679067
1.2576e-05,0.001777333
1.104e-05,0.002024614
1.3952e-05,0.001602046
1.2672e-05,0.001763869
1.3152e-05,0.001699494
1.2448e-05,0.001795609
1.3504e-05,0.001655194
1.2576e-05,0.001777333
1.12e-05,0.001995691
1.3248e-05,0.001687179
1.2864e-05,0.001737542
1.216e-05,0.001838137
1.2384e-05,0.001804889
1.3152e-05,0.001699494
1.1872e-05,0.001882728
1.1072e-05,0.002018763
1.3024e-05,0.001716196
1.2384e-05,0.001804889
1.2608e-05,0.001772822
1.296e-05,0.001724671
1.3184e-05,0.001695369
1.2832e-05,0.001741875
1.0656e-05,0.002097573
1.2704e-05,0.001759425
1.264e-05,0.001768334
1.2288e-05,0.001818989
1.3696e-05,0.001631991
1.2768e-05,0.001750606
1.232e-05,0.001814265
1.1136e-05,0.002007161
1.2576e-05,0.001777333
1.2864e-05,0.001737542
1.2128e-05,0.001842987
1.3664e-05,0.001635812
1.4496e-05,0.001541925
6.0032e-05,0.00037233
1.2992e-05,0.001720423
1.2192e-05,0.001833312
1.1328e-05,0.001973141
1.28e-05,0.00174623
1.3248e-05,0.001687179
1.264e-05,0.001768334
1.232e-05,0.001814265
1.2352e-05,0.001809565
1.216e-05,0.001838137
1.1424e-05,0.00195656
1.3664e-05,0.001635812
1.2608e-05,0.001772822
1.3888e-05,0.001609428
1.248e-05,0.001791005
1.1424e-05,0.00195656
1.2544e-05,0.001781867
1.2992e-05,0.001720423
1.2224e-05,0.001828513
1.2096e-05,0.001847862
1.2e-05,0.001862645
1.1904e-05,0.001877666
1.2864e-05,0.001737542
1.2704e-05,0.001759425
1.1232e-05,0.001990006
1.248e-05,0.001791005
1.1616e-05,0.00192422
1.1584e-05,0.001929536
1.1616e-05,0.00192422
1.296e-05,0.001724671
1.2352e-05,0.001809565
1.328e-05,0.001683113
1.2512e-05,0.001786424
1.2704e-05,0.001759425
1.1808e-05,0.001892932
1.2704e-05,0.001759425
1.1744e-05,0.001903248
1.3248e-05,0.001687179
1.12e-05,0.001995691
1.216e-05,0.001838137
1.344e-05,0.001663076
1.296e-05,0.001724671
1.2544e-05,0.001781867
1.2672e-05,0.001763869
1.248e-05,0.001791005
1.1104e-05,0.002012945
1.2832e-05,0.001741875
1.2608e-05,0.001772822
1.2416e-05,0.001800237
1.3472e-05,0.001659126
1.2e-05,0.001862645
1.2192e-05,0.001833312
1.1552e-05,0.001934881
1.3344e-05,0.001675041
1.296e-05,0.001724671
1.1712e-05,0.001908448
1.2704e-05,0.001759425
1.1712e-05,0.001908448
1.2608e-05,0.001772822
1.1584e-05,0.001929536
1.2608e-05,0.001772822
1.2256e-05,0.001823739
1.2e-05,0.001862645
1.2096e-05,0.001847862
1.2256e-05,0.001823739
1.3056e-05,0.00171199
1.12e-05,0.001995691
1.232e-05,0.001814265
1.328e-05,0.001683113
1.264e-05,0.001768334
1.1904e-05,0.001877666
1.184e-05,0.001887816
1.264e-05,0.001768334
1.168e-05,0.001913676
1.232e-05,0.001814265
1.2576e-05,0.001777333
1.216e-05,0.001838137
1.2448e-05,0.001795609
1.2256e-05,0.001823739
1.184e-05,0.001887816
1.1232e-05,0.001990006
1.296e-05,0.001724671
1.2256e-05,0.001823739
1.2448e-05,0.001795609
1.2288e-05,0.001818989
1.184e-05,0.001887816
1.248e-05,0.001791005
1.0816e-05,0.002066544
1.312e-05,0.001703639
1.2896e-05,0.001733231
1.2768e-05,0.001750606
1.2064e-05,0.001852764
1.1424e-05,0.00195656
1.2416e-05,0.001800237
1.136e-05,0.001967583
1.1872e-05,0.001882728
1.2416e-05,0.001800237
1.248e-05,0.001791005
1.168e-05,0.001913676
1.2928e-05,0.00172894
6.5088e-05,0.000343408
1.2352e-05,0.001809565
1.2064e-05,0.001852764
1.0112e-05,0.002210418
1.2032e-05,0.001857691
1.2032e-05,0.001857691
1.2768e-05,0.001750606
1.2064e-05,0.001852764
1.2768e-05,0.001750606
1.2224e-05,0.001828513
1.1104e-05,0.002012945
1.264e-05,0.001768334
1.1296e-05,0.001978731
1.2672e-05,0.001763869
1.3184e-05,0.001695369
1.2384e-05,0.001804889
1.2064e-05,0.001852764
1.0624e-05,0.002103891
1.1328e-05,0.001973141
1.1776e-05,0.001898076
1.1968e-05,0.001867626
1.1584e-05,0.001929536
1.2768e-05,0.001750606
1.2448e-05,0.001795609
1.1616e-05,0.00192422
1.2928e-05,0.00172894
1.1296e-05,0.001978731
1.2384e-05,0.001804889
1.216e-05,0.001838137
1.1488e-05,0.00194566
1.2032e-05,0.001857691
1.04e-05,0.002149206
1.2224e-05,0.001828513
1.2288e-05,0.001818989
1.2256e-05,0.001823739
1.1776e-05,0.001898076
1.1776e-05,0.001898076
1.2864e-05,0.001737542
1.056e-05,0.002116642
1.1936e-05,0.001872633
1.1968e-05,0.001867626
1.408e-05,0.001587482
1.2384e-05,0.001804889
1.28e-05,0.00174623
1.2064e-05,0.001852764
1.0752e-05,0.002078845
1.4336e-05,0.001559134
1.3696e-05,0.001631991
1.2288e-05,0.001818989
1.2448e-05,0.001795609
1.2064e-05,0.001852764
1.168e-05,0.001913676
1.1296e-05,0.001978731
1.2288e-05,0.001818989
1.2672e-05,0.001763869
1.2256e-05,0.001823739
1.2672e-05,0.001763869
1.2736e-05,0.001755005
1.2256e-05,0.001823739
1.0816e-05,0.002066544
1.2704e-05,0.001759425
1.152e-05,0.001940255
1.3344e-05,0.001675041
1.2768e-05,0.001750606
1.3248e-05,0.001687179
1.2992e-05,0.001720423
1.0752e-05,0.002078845
1.2064e-05,0.001852764
1.1616e-05,0.00192422
1.2448e-05,0.001795609
1.152e-05,0.001940255
1.2352e-05,0.001809565
1.1872e-05,0.001882728
1.0688e-05,0.002091293
1.1776e-05,0.001898076
1.2352e-05,0.001809565
1.2032e-05,0.001857691
1.1552e-05,0.001934881
1.2256e-05,0.001823739
1.2384e-05,0.001804889
1.0976e-05,0.00203642
1.248e-05,0.001791005
1.1392e-05,0.001962056
1.2768e-05,0.001750606
1.4336e-05,0.001559134
1.2096e-05,0.001847862
1.2736e-05,0.001755005
1.12e-05,0.001995691
1.3376e-05,0.001671033
1.1552e-05,0.001934881
1.2064e-05,0.001852764
1.2224e-05,0.001828513
1.1872e-05,0.001882728
1.1808e-05,0.001892932
9.952e-06,0.002245955
1.2064e-05,0.001852764
1.2352e-05,0.001809565
1.2192e-05,0.001833312
1.1584e-05,0.001929536
1.3408e-05,0.001667045
6.3808e-05,0.000350297
1.2768e-05,0.001750606
1.2192e-05,0.001833312
1.1776e-05,0.001898076
1.296e-05,0.001724671
1.3088e-05,0.001707804
1.3184e-05,0.001695369
1.2704e-05,0.001759425
1.2704e-05,0.001759425
1.2448e-05,0.001795609
1.1168e-05,0.00200141
1.3216e-05,0.001691264
1.2288e-05,0.001818989
1.3024e-05,0.001716196
1.2768e-05,0.001750606
1.1744e-05,0.001903248
1.2288e-05,0.001818989
1.072e-05,0.002085051
1.248e-05,0.001791005
1.2416e-05,0.001800237
1.344e-05,0.001663076
1.2384e-05,0.001804889
1.2288e-05,0.001818989
1.28e-05,0.00174623
1.1488e-05,0.00194566
1.3056e-05,0.00171199
1.2288e-05,0.001818989
1.1808e-05,0.001892932
1.2416e-05,0.001800237
1.2064e-05,0.001852764
1.2224e-05,0.001828513
1.2832e-05,0.001741875
1.3408e-05,0.001667045
1.3888e-05,0.001609428
1.264e-05,0.001768334
1.248e-05,0.001791005
1.2864e-05,0.001737542
1.2736e-05,0.001755005
1.1456e-05,0.001951095
1.2736e-05,0.001755005
1.3056e-05,0.00171199
1.2864e-05,0.001737542
1.2928e-05,0.00172894
1.2512e-05,0.001786424
1.2e-05,0.001862645
1.0976e-05,0.00203642
1.2544e-05,0.001781867
1.2448e-05,0.001795609
1.2192e-05,0.001833312
1.2672e-05,0.001763869
1.1808e-05,0.001892932
1.2896e-05,0.001733231
1.1488e-05,0.00194566
1.2384e-05,0.001804889
1.2576e-05,0.001777333
1.312e-05,0.001703639
1.3088e-05,0.001707804
1.2736e-05,0.001755005
1.2096e-05,0.001847862
1.0656e-05,0.002097573
1.1744e-05,0.001903248
1.1968e-05,0.001867626
1.248e-05,0.001791005
1.2224e-05,0.001828513
1.1872e-05,0.001882728
1.312e-05,0.001703639
1.056e-05,0.002116642
1.2736e-05,0.001755005
1.232e-05,0.001814265
