0_Transfer Time_s,0_Bandwidth_GB/s
5.632e-05,7.586045561
6.144e-05,6.953875472
6.144e-05,6.953875472
6.0416e-05,7.071737356
5.9392e-05,7.19366387
5.9392e-05,7.19366387
5.8368e-05,7.319868507
5.7344e-05,7.450580453
5.9392e-05,7.19366387
6.0416e-05,7.071737356
6.4512e-05,6.622738134
6.2464e-05,6.839877102
5.8368e-05,7.319868507
5.8368e-05,7.319868507
6.2464e-05,6.839877102
6.0416e-05,7.071737356
5.9392e-05,7.19366387
5.9392e-05,7.19366387
6.144e-05,6.953875472
5.9392e-05,7.19366387
5.8368e-05,7.319868507
5.8368e-05,7.319868507
5.8368e-05,7.319868507
6.2464e-05,6.839877102
6.144e-05,6.953875472
6.0416e-05,7.071737356
6.0416e-05,7.071737356
6.3488e-05,6.729556883
6.144e-05,6.953875472
6.0416e-05,7.071737356
6.0416e-05,7.071737356
6.4512e-05,6.622738134
5.8368e-05,7.319868507
6.0416e-05,7.071737356
5.632e-05,7.586045561
5.632e-05,7.586045561
5.5296e-05,7.726527895
5.8368e-05,7.319868507
5.8368e-05,7.319868507
5.8368e-05,7.319868507
6.0416e-05,7.071737356
5.9392e-05,7.19366387
5.9392e-05,7.19366387
5.8368e-05,7.319868507
6.144e-05,6.953875472
5.8368e-05,7.319868507
6.0416e-05,7.071737356
6.0416e-05,7.071737356
5.8368e-05,7.319868507
5.9392e-05,7.19366387
6.0416e-05,7.071737356
5.7344e-05,7.450580453
5.8368e-05,7.319868507
5.9392e-05,7.19366387
5.9392e-05,7.19366387
5.7344e-05,7.450580453
6.656e-05,6.418961565
5.9392e-05,7.19366387
6.656e-05,6.418961565
6.144e-05,6.953875472
5.8368e-05,7.319868507
5.9392e-05,7.19366387
6.5536e-05,6.519258207
5.8368e-05,7.319868507
6.0416e-05,7.071737356
5.7344e-05,7.450580453
5.9392e-05,7.19366387
5.8368e-05,7.319868507
5.8368e-05,7.319868507
5.9392e-05,7.19366387
5.9392e-05,7.19366387
5.632e-05,7.586045561
5.9392e-05,7.19366387
5.8368e-05,7.319868507
5.8368e-05,7.319868507
6.2464e-05,6.839877102
5.8368e-05,7.319868507
5.8368e-05,7.319868507
6.0416e-05,7.071737356
6.0416e-05,7.071737356
6.0416e-05,7.071737356
6.0416e-05,7.071737356
5.9392e-05,7.19366387
5.7344e-05,7.450580453
5.8368e-05,7.319868507
5.8368e-05,7.319868507
5.8368e-05,7.319868507
5.7344e-05,7.450580453
5.7344e-05,7.450580453
5.8368e-05,7.319868507
5.7344e-05,7.450580453
5.8368e-05,7.319868507
6.144e-05,6.953875472
5.9392e-05,7.19366387
5.9392e-05,7.19366387
5.632e-05,7.586045561
5.7344e-05,7.450580453
5.9392e-05,7.19366387
6.3488e-05,6.729556883
5.8368e-05,7.319868507
