size,"('inter-switch', 'intra-switch')","('intra-switch', 'inter-switch')",inter-switch,intra-switch
128MiB,0.9860870775464422,1.014109222978741,0.9609580630811806,0.9745164346664119
16MiB,0.9826940318990881,1.017610738988073,0.9501611919962252,0.966894232745067
1B,0.4842047920491758,2.0652418489456834,1.3628380794287999e-05,2.8145902349731186e-05
256KiB,0.8535167107056674,1.1716232236076827,0.525436258074408,0.6156133224854962
2MiB,0.9669460744466791,1.0341838355073063,0.881767926208495,0.9119101359536249
32KiB,1.0516815820379948,0.9508581466855739,0.16063801217145862,0.1527439625406078
4B,0.4912599276277551,2.03558227276729,5.468794655706355e-05,0.00011132181454560349
4KiB,0.6823974663922177,1.465421618997096,0.03716942331118498,0.05446887648586509
512B,0.5476373059184702,1.8260260745437156,0.006185964104954888,0.011295731751839103
64B,0.5110649392255822,1.9566985000287873,0.0008414302082993093,0.0016464252264581686
8B,0.4910173588767724,2.0365878760122693,0.0001094715554192284,0.00022294844253500579
