size,"('inter-switch', 'intra-switch')","('intra-switch', 'inter-switch')",inter-switch,intra-switch
128MiB,0.9788009881830231,1.021658143047372,0.9531508451662754,0.97379432251661
16MiB,0.9683928398228533,1.0326387793025489,0.9300509262582023,0.9604066531804749
1B,0.4950431286708849,2.020026018106437,4.521253205328873e-06,9.133049109211449e-06
1GiB,0.9797938315196904,1.0206228778241737,0.9557056595214354,0.9754150605736173
256KiB,0.699108996919993,1.4303921196918046,0.3438341774549603,0.4918176979122888
2MiB,0.9115224826743299,1.0970656445753093,0.7933914816778406,0.87040253724746
32KiB,0.7282807506982482,1.3730968435472688,0.07597476305304231,0.10432070733738405
4B,0.4953941721146527,2.0185945985827276,1.8063166117254463e-05,3.646220955759239e-05
4KiB,0.5895984835217281,1.6960694912695575,0.014017269327152622,0.02377426285669212
512B,0.5391606131232384,1.8547348891218531,0.0021121712566825263,0.003917517721569431
64B,0.5055300651621115,1.978121716023603,0.000278093567071742,0.0005501029241110792
8B,0.4935660942486549,2.0260711010189603,3.611318215779977e-05,7.316787473575165e-05
