0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
29.9,0.14,0.12,29.65,0.14,0.12
29.99,0.14,0.12,29.46,0.14,0.12
29.85,0.14,0.12,83.07,0.05,0.04
31.03,0.13,0.12,29.43,0.14,0.12
30.58,0.13,0.12,29.58,0.14,0.12
29.87,0.14,0.12,36.71,0.11,0.1
30.38,0.13,0.12,29.58,0.14,0.12
29.73,0.14,0.12,29.58,0.14,0.12
42.12,0.1,0.09,125.0,0.03,0.03
41.29,0.1,0.09,30.2,0.14,0.12
55.4,0.07,0.06,41.24,0.1,0.09
39.2,0.1,0.09,40.42,0.1,0.09
40.53,0.1,0.09,29.63,0.14,0.12
32.92,0.12,0.11,29.27,0.14,0.12
32.55,0.13,0.11,29.08,0.14,0.12
29.73,0.14,0.12,29.54,0.14,0.12
