size,"('cn-eth', 'cn-ib')","('cn-eth', 'haicgu2')","('cn-ib', 'cn-eth')","('cn-ib', 'haicgu2')","('haicgu2', 'cn-eth')","('haicgu2', 'cn-ib')",cn-eth,cn-ib,haicgu2
128MiB,1.0197391846729285,1.0031845075763874,0.9806429085303222,0.9837657733022677,0.9968256013202587,1.0165021259514222,0.9947245930550516,0.9754696181201469,0.9915669406201514
16MiB,0.9944680614167495,1.019610975762907,1.0055627111597425,1.0252827771163795,0.9807662174799231,0.9753406790002973,1.1381247771026926,1.1444558365014612,1.1162343326591884
1GiB,1.0102401732853954,1.0255383490936858,0.9898636249515861,1.015143107760741,0.9750976166651836,0.9850827852300111,1.0563869289273486,1.0456789948194989,1.0300803766733104
256KiB,1.004593556794457,1.0641470321290352,0.9954274474852154,1.059281163941173,0.9397197659794282,0.9440364220953285,0.6471436280878571,0.6441845298638171,0.6081336587417991
2MiB,0.985861055602716,1.005892441824623,1.0143417211958332,1.0203186707782677,0.9941420756538002,0.9800859561231305,1.1904388501404797,1.2075117922298828,1.1834653494175797
32KiB,0.9228862802790707,1.0173963534619774,1.0835571200577507,1.1024070627145177,0.9829011049599486,0.9071059446386754,0.3638030813706895,0.39420141911815987,0.35758245066708483
4B,0.7539784948063224,1.017660995687519,1.326297774921119,1.3497215142043673,0.9826455020263526,0.7408935765460324,0.0002472551594845424,0.0003279339678621151,0.00024296417032029408
4KiB,0.8244666345145085,1.006769238915846,1.2129053598255741,1.2211158059885436,0.9932762755811494,0.8189231480714957,0.11012061132991366,0.13356587970932113,0.10938019068649597
512B,0.807022608298393,1.004293592940131,1.2391226586681379,1.244442946967352,0.9957247631864689,0.8035723955340438,0.023151842005408742,0.02868797201880675,0.02305286239816616
64B,0.8018449361711772,1.0449155453148242,1.2471239199626507,1.3031391709029343,0.9570151429785729,0.7673777462365039,0.0036927774315320184,0.00460535106596182,0.003534043921625662
8B,0.7518393839975205,1.032191677967862,1.3300713174707777,1.372888544997087,0.96881230622665,0.7283912475226617,0.0005024003397332348,0.00066822828176675,0.0004867316317860077
