size,"('cn-eth', 'cn-ib')","('cn-ib', 'cn-eth')",cn-eth,cn-ib
128MiB,1.01735864802895,0.9829375333245742,0.32689700346410283,0.32131933423620007
16MiB,0.9995367957171432,1.0004634189404948,0.37272571838408736,0.3728984465415961
1GiB,1.0064851210094796,0.9935566647990034,0.34416904667041054,0.34195145013690564
256KiB,1.0026934856955174,0.9973137496812905,0.21204822360617154,0.21147860899792767
2MiB,0.9938529665039505,1.0061850532254009,0.3780635672395687,0.38040191052553035
32KiB,0.9049555780023125,1.1050266160108078,0.11229378124653447,0.12408761708991589
4B,0.6537915205398352,1.5295395681704476,0.00010727689126776865,0.00016408424994437094
4KiB,0.8624136133128768,1.1595364272586082,0.04737411297466458,0.05493200970318824
512B,0.7711049249179627,1.2968403750065391,0.010411546878940081,0.013502114358882817
64B,0.7038514011893379,1.4207544352547186,0.0016002485828698059,0.002273560271622355
8B,0.6524052930696572,1.5327895261162914,0.00021376538716888168,0.0003276573464986557
