# ststem: haicgu, experiment: pingpong, nnodes: 2, process-per-node: 1
# msg_size, extra, datafile
8B, , ./data/haicgu/2024-07-24_19:22:46/data.csv
64B, , ./data/haicgu/2024-07-24_19:23:05/data.csv
512B, , ./data/haicgu/2024-07-24_19:23:22/data.csv
4KiB, , ./data/haicgu/2024-07-24_19:23:41/data.csv
32KiB, , ./data/haicgu/2024-07-24_19:23:59/data.csv
256KiB, , ./data/haicgu/2024-07-24_19:24:17/data.csv
2MiB, , ./data/haicgu/2024-07-24_19:24:36/data.csv
16MiB, , ./data/haicgu/2024-07-24_19:24:54/data.csv
128MiB, , ./data/haicgu/2024-07-24_19:25:15/data.csv
1B, haicgu2, ./data/haicgu/2024-08-06_14:25:55/data.csv
8B, haicgu2, ./data/haicgu/2024-08-06_14:26:14/data.csv
64B, haicgu2, ./data/haicgu/2024-08-06_14:26:33/data.csv
512B, haicgu2, ./data/haicgu/2024-08-06_14:26:52/data.csv
4KiB, haicgu2, ./data/haicgu/2024-08-06_14:27:12/data.csv
32KiB, haicgu2, ./data/haicgu/2024-08-06_14:27:31/data.csv
256KiB, haicgu2, ./data/haicgu/2024-08-06_14:27:50/data.csv
2MiB, haicgu2, ./data/haicgu/2024-08-06_14:28:10/data.csv
16MiB, haicgu2, ./data/haicgu/2024-08-06_14:28:29/data.csv
128MiB, haicgu2, ./data/haicgu/2024-08-06_14:28:52/data.csv
