0_groupStartEnd_s,0_initRank_s
7.112274,0.188304
7.202299,0.169102
7.1262,0.162085
7.18801,0.163097
7.079822,0.192044
7.085104,0.170833
7.054391,0.201854
7.089964,0.169105
7.104472,0.198939
7.119203,0.159988
7.111078,0.173032
7.099019,0.172755
7.243687,0.079118
7.114467,0.173687
7.143867,0.167767
7.124059,0.178433
7.108699,0.176898
7.118168,0.163941
7.14337,0.164084
7.13381,0.170521
7.122268,0.17022
7.136218,0.164086
7.136325,0.198938
7.154012,0.164138
7.135267,0.171077
7.12164,0.164653
7.148624,0.16918
7.104628,0.16952
7.065189,0.198915
7.171117,0.163163
7.150562,0.168655
7.18032,0.172153
7.161282,0.173458
7.148215,0.171903
7.106566,0.172636
7.157577,0.192796
7.145885,0.166472
7.208212,0.164746
7.188076,0.171698
7.127415,0.201652
7.159433,0.168431
7.188358,0.172142
7.142571,0.161105
7.110476,0.200777
7.141027,0.170974
7.14404,0.170039
7.125858,0.180997
7.16806,0.161928
7.167192,0.162238
7.10188,0.171021
7.00634,0.171945
7.115091,0.186315
7.147691,0.170279
7.112261,0.196318
7.15797,0.170262
7.16058,0.164523
7.146332,0.172443
7.200355,0.171459
7.039739,0.165915
7.021975,0.199354
7.027364,0.185596
7.060421,0.162413
7.024793,0.177458
7.068296,0.161344
7.093415,0.196061
7.12865,0.176367
7.127256,0.201776
7.022826,0.1902
7.179364,0.191423
7.104357,0.196055
7.031663,0.171025
7.072001,0.200493
7.18425,0.189853
6.981723,0.197619
7.156686,0.194588
7.134416,0.189292
7.144652,0.178404
7.152255,0.19777
7.140397,0.1947
7.142355,0.189919
7.029452,0.183686
7.013345,0.188817
7.106398,0.197131
6.980715,0.197361
7.125123,0.18791
7.130193,0.186905
7.112697,0.188685
7.013602,0.188795
7.074464,0.197819
7.131007,0.182335
7.086865,0.187582
7.127346,0.202245
7.053044,0.195642
7.016381,0.187122
7.0872,0.18478
7.167402,0.167441
7.150983,0.182872
7.161595,0.198518
7.137136,0.198755
7.025009,0.189125
7.117911,0.18298
7.029342,0.184591
7.162464,0.197853
7.09123,0.193069
7.108686,0.196282
7.125586,0.197097
7.124119,0.179159
7.134116,0.194878
7.169586,0.194004
7.114174,0.187213
7.135963,0.199354
7.124908,0.193363
7.159018,0.191812
7.023239,0.189631
7.074783,0.189196
7.130969,0.191988
7.104046,0.175046
7.080472,0.175248
6.980415,0.198656
7.106426,0.193789
7.133333,0.195148
7.158215,0.189599
7.15989,0.191782
7.06639,0.195683
7.079535,0.192798
7.15654,0.195578
7.122723,0.197667
7.152243,0.198725
7.200473,0.172418
7.12783,0.201552
7.162454,0.198293
7.058815,0.196879
7.104471,0.200109
7.082137,0.189817
6.988286,0.197659
7.107668,0.19373
7.125274,0.176291
7.135243,0.169566
7.0492,0.168109
7.113936,0.187366
7.093824,0.195801
7.065302,0.198338
7.072005,0.187985
7.174555,0.177846
7.143115,0.189543
7.105888,0.173993
7.155129,0.194603
7.189603,0.171419
7.139043,0.178489
7.11749,0.195632
7.123465,0.191077
7.01375,0.188727
7.105013,0.198959
7.071879,0.201083
7.098483,0.173408
7.085426,0.195452
7.083549,0.192768
6.996174,0.181823
7.182207,0.193141
7.104883,0.1965
7.040551,0.177144
7.127901,0.172697
7.135859,0.199436
7.102993,0.194991
7.124653,0.194375
7.158873,0.192024
7.086262,0.187997
7.022419,0.190692
7.087488,0.17702
7.079424,0.191907
7.160499,0.185213
7.165732,0.197869
7.135522,0.187303
7.12301,0.196933
7.088088,0.191841
7.152232,0.197393
7.184914,0.188239
7.162377,0.198018
7.117633,0.194379
7.123808,0.189443
7.059528,0.196496
7.085226,0.199564
7.082456,0.189714
7.07586,0.195715
7.135769,0.188038
7.113827,0.187666
7.126494,0.190313
7.113358,0.188535
7.033201,0.184949
7.122059,0.178713
7.138138,0.197202
7.091663,0.19491
7.135312,0.194437
7.165258,0.185778
