0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s
2.52e-06,4.93e-07,4.539e-06,2.78e-06
2.432e-06,5.1e-07,4.577e-06,2.575e-06
2.392e-06,6.23e-07,4.326e-06,2.567e-06
2.357e-06,5.2e-07,4.38e-06,2.548e-06
2.418e-06,4.46e-07,4.516e-06,2.54e-06
2.31e-06,7.81e-07,4.149e-06,2.499e-06
2.344e-06,6.61e-07,4.206e-06,2.63e-06
2.342e-06,6.53e-07,3.433e-06,2.465e-06
2.493e-06,1.715e-06,3.5e-06,2.27e-06
2.343e-06,1.538e-06,3.338e-06,2.402e-06
2.453e-06,1.188e-06,3.684e-06,2.553e-06
2.311e-06,1.401e-06,3.484e-06,2.443e-06
2.342e-06,1.162e-06,3.477e-06,2.53e-06
2.387e-06,1.407e-06,3.536e-06,2.328e-06
2.298e-06,1.195e-06,3.321e-06,2.518e-06
2.33e-06,7.77e-07,4.144e-06,2.504e-06
2.365e-06,5.83e-07,4.368e-06,2.623e-06
2.382e-06,4.5e-07,4.532e-06,2.518e-06
2.459e-06,4.59e-07,4.202e-06,2.844e-06
2.504e-06,4.52e-07,4.777e-06,2.559e-06
2.429e-06,4.31e-07,4.071e-06,2.909e-06
2.481e-06,5.05e-07,4.732e-06,2.52e-06
2.308e-06,4.13e-07,3.994e-06,2.52e-06
2.508e-06,5.19e-07,5.151e-06,2.564e-06
2.443e-06,8.74e-07,4.383e-06,2.522e-06
2.247e-06,4.92e-07,3.723e-06,2.553e-06
2.376e-06,4.34e-07,4.614e-06,2.543e-06
2.471e-06,4.48e-07,4.438e-06,2.78e-06
3.435e-06,5.33e-07,7.605e-06,2.596e-06
2.443e-06,5.22e-07,5.015e-06,2.574e-06
2.704e-06,5.32e-07,5.126e-06,2.756e-06
2.433e-06,5.04e-07,4.797e-06,2.576e-06
2.414e-06,4.58e-07,4.337e-06,2.577e-06
2.405e-06,4.52e-07,4.606e-06,2.623e-06
2.456e-06,5.54e-07,4.787e-06,2.475e-06
2.318e-06,4.3e-07,4.262e-06,2.558e-06
2.405e-06,5.34e-07,4.568e-06,2.524e-06
2.362e-06,6.67e-07,4.289e-06,2.502e-06
2.344e-06,9.53e-07,4.043e-06,2.516e-06
2.303e-06,6.78e-07,3.946e-06,2.569e-06
2.435e-06,5.5e-07,4.476e-06,2.502e-06
2.273e-06,4.31e-07,3.825e-06,2.509e-06
2.499e-06,1.128e-06,4.316e-06,2.509e-06
2.408e-06,8.26e-07,3.869e-06,2.658e-06
2.938e-06,4.84e-07,4.745e-06,3.337e-06
2.368e-06,9.16e-07,4.056e-06,2.495e-06
2.399e-06,7.6e-07,4.408e-06,2.468e-06
2.305e-06,5.74e-07,4.578e-06,2.22e-06
2.391e-06,9.91e-07,4.145e-06,2.466e-06
2.351e-06,1.152e-06,3.898e-06,2.207e-06
2.348e-06,1.899e-06,3.43e-06,2.086e-06
2.43e-06,1.565e-06,3.643e-06,2.5e-06
2.326e-06,1.184e-06,3.906e-06,2.133e-06
2.32e-06,1.727e-06,3.311e-06,2.024e-06
2.376e-06,1.803e-06,3.38e-06,1.942e-06
2.3e-06,1.829e-06,3.143e-06,1.938e-06
2.348e-06,1.793e-06,3.168e-06,2.106e-06
2.252e-06,1.432e-06,3.008e-06,2.201e-06
2.327e-06,1.443e-06,3.472e-06,2.392e-06
2.314e-06,1.225e-06,3.639e-06,2.529e-06
2.34e-06,1.168e-06,3.709e-06,2.584e-06
2.35e-06,9.92e-07,3.979e-06,2.515e-06
2.4e-06,1.013e-06,3.92e-06,2.713e-06
2.349e-06,8.46e-07,4.201e-06,2.537e-06
2.316e-06,7.1e-07,4.055e-06,2.575e-06
2.349e-06,6.58e-07,4.361e-06,2.5e-06
2.362e-06,5.77e-07,4.218e-06,2.583e-06
2.304e-06,4.41e-07,4.341e-06,2.547e-06
2.344e-06,4.15e-07,4.519e-06,2.527e-06
2.426e-06,1.664e-06,3.211e-06,2.393e-06
2.361e-06,1.76e-06,3.648e-06,2.079e-06
2.399e-06,1.554e-06,3.354e-06,2.237e-06
2.417e-06,1.711e-06,3.361e-06,2.308e-06
2.309e-06,1.345e-06,3.414e-06,2.417e-06
2.434e-06,1.328e-06,3.568e-06,2.579e-06
2.353e-06,7.23e-07,3.718e-06,2.757e-06
2.442e-06,4.59e-07,4.398e-06,2.795e-06
2.51e-06,4.68e-07,4.696e-06,2.808e-06
2.394e-06,5.17e-07,4.545e-06,2.585e-06
2.384e-06,4.91e-07,4.41e-06,2.513e-06
2.449e-06,4.28e-07,4.194e-06,2.829e-06
2.411e-06,4.55e-07,4.778e-06,2.504e-06
2.329e-06,4.46e-07,4.287e-06,2.564e-06
2.592e-06,1.296e-06,4.878e-06,2.333e-06
2.415e-06,1.198e-06,3.992e-06,2.364e-06
2.328e-06,9.95e-07,4.048e-06,2.391e-06
2.512e-06,1.533e-06,3.876e-06,2.512e-06
2.27e-06,1.677e-06,3.614e-06,2.036e-06
2.387e-06,1.773e-06,3.523e-06,2.143e-06
2.372e-06,1.73e-06,3.32e-06,2.153e-06
2.435e-06,1.681e-06,3.571e-06,2.231e-06
2.281e-06,1.554e-06,3.108e-06,2.159e-06
2.333e-06,1.484e-06,3.268e-06,2.153e-06
2.449e-06,1.595e-06,3.524e-06,2.311e-06
2.359e-06,1.57e-06,3.36e-06,2.208e-06
2.33e-06,1.77e-06,3.267e-06,1.967e-06
2.294e-06,1.46e-06,3.291e-06,2.292e-06
2.344e-06,1.262e-06,3.543e-06,2.604e-06
2.332e-06,6.44e-07,4.167e-06,2.504e-06
2.342e-06,5.38e-07,4.223e-06,2.524e-06
2.374e-06,4.76e-07,4.515e-06,2.562e-06
2.453e-06,5.31e-07,4.478e-06,2.559e-06
2.348e-06,4.7e-07,4.32e-06,2.581e-06
2.37e-06,4.8e-07,4.592e-06,2.542e-06
2.37e-06,4.33e-07,4.321e-06,2.635e-06
2.461e-06,4.55e-07,4.716e-06,2.621e-06
2.44e-06,4.92e-07,4.622e-06,2.558e-06
2.639e-06,5.06e-07,5.671e-06,2.563e-06
2.494e-06,5.35e-07,4.822e-06,2.689e-06
2.587e-06,5.81e-07,4.916e-06,2.636e-06
2.371e-06,4.82e-07,4.056e-06,2.582e-06
2.378e-06,5.91e-07,4.393e-06,2.563e-06
2.432e-06,4.52e-07,4.355e-06,2.632e-06
2.339e-06,5e-07,4.108e-06,2.489e-06
2.379e-06,4.47e-07,4.434e-06,2.618e-06
2.427e-06,6.03e-07,4.538e-06,2.522e-06
2.38e-06,5.4e-07,4.387e-06,2.53e-06
2.381e-06,5.68e-07,4.184e-06,2.617e-06
2.353e-06,5.26e-07,4.468e-06,2.518e-06
2.365e-06,4.66e-07,4.424e-06,2.556e-06
2.417e-06,4.22e-07,4.637e-06,2.569e-06
2.425e-06,5.05e-07,4.288e-06,2.491e-06
2.381e-06,4.68e-07,4.113e-06,2.58e-06
2.481e-06,8.49e-07,4.13e-06,2.81e-06
2.346e-06,4.22e-07,4.396e-06,2.525e-06
2.401e-06,5.31e-07,4.565e-06,2.531e-06
2.4e-06,4.71e-07,4.415e-06,2.603e-06
2.536e-06,6.15e-07,4.795e-06,2.668e-06
2.511e-06,4.86e-07,4.566e-06,2.713e-06
2.496e-06,5.24e-07,4.762e-06,2.592e-06
2.421e-06,5.87e-07,4.319e-06,2.599e-06
2.415e-06,4.8e-07,4.89e-06,2.641e-06
2.502e-06,4.53e-07,4.638e-06,2.659e-06
2.393e-06,4.23e-07,4.291e-06,2.662e-06
2.439e-06,5.24e-07,4.748e-06,2.551e-06
2.38e-06,4.53e-07,4.318e-06,2.557e-06
2.369e-06,6.32e-07,4.429e-06,2.533e-06
2.339e-06,4.9e-07,4.531e-06,2.522e-06
2.328e-06,5.14e-07,4.28e-06,2.507e-06
2.382e-06,5.22e-07,4.609e-06,2.495e-06
2.548e-06,5.42e-07,4.402e-06,2.651e-06
2.372e-06,5.04e-07,4.188e-06,2.528e-06
2.366e-06,5.19e-07,4.404e-06,2.52e-06
2.414e-06,4.32e-07,4.594e-06,2.561e-06
2.475e-06,4.98e-07,4.742e-06,2.597e-06
2.528e-06,4.59e-07,4.931e-06,2.707e-06
2.488e-06,6.09e-07,5.071e-06,2.505e-06
2.363e-06,4.13e-07,4.709e-06,2.554e-06
2.404e-06,5.36e-07,4.599e-06,2.498e-06
2.306e-06,4.61e-07,4.211e-06,2.545e-06
2.379e-06,5.58e-07,4.531e-06,2.553e-06
2.411e-06,4.39e-07,4.421e-06,2.638e-06
2.411e-06,5.14e-07,4.484e-06,2.669e-06
2.447e-06,4.22e-07,4.775e-06,2.544e-06
2.332e-06,4.75e-07,4.204e-06,2.563e-06
2.411e-06,4.04e-07,4.812e-06,2.49e-06
2.321e-06,4.63e-07,4.077e-06,2.52e-06
2.375e-06,4.14e-07,4.577e-06,2.545e-06
2.407e-06,4.77e-07,4.42e-06,2.604e-06
2.448e-06,5.08e-07,4.494e-06,2.52e-06
2.783e-06,4.69e-07,6.096e-06,2.624e-06
2.866e-06,4.58e-07,5.866e-06,3.107e-06
2.398e-06,4.45e-07,4.795e-06,2.493e-06
2.455e-06,4.51e-07,4.521e-06,2.639e-06
2.343e-06,4.69e-07,4.347e-06,2.549e-06
2.365e-06,4.79e-07,4.446e-06,2.607e-06
2.446e-06,4.47e-07,4.68e-06,2.704e-06
2.497e-06,4.48e-07,4.623e-06,2.648e-06
2.297e-06,4.73e-07,4.179e-06,2.488e-06
2.37e-06,4.35e-07,4.632e-06,2.501e-06
2.384e-06,4.88e-07,4.394e-06,2.583e-06
2.366e-06,4.25e-07,4.485e-06,2.599e-06
2.616e-06,5.7e-07,4.65e-06,2.81e-06
2.528e-06,5.28e-07,4.939e-06,2.651e-06
2.472e-06,5.31e-07,4.496e-06,2.643e-06
2.475e-06,4.84e-07,4.595e-06,2.778e-06
2.554e-06,4.78e-07,4.852e-06,2.815e-06
2.332e-06,4.7e-07,4.287e-06,2.557e-06
2.461e-06,5.26e-07,4.79e-06,2.541e-06
2.295e-06,4.81e-07,4.392e-06,2.52e-06
2.423e-06,4.63e-07,4.532e-06,2.59e-06
2.367e-06,4.62e-07,4.573e-06,2.487e-06
2.306e-06,4.46e-07,4.255e-06,2.52e-06
2.476e-06,4.52e-07,4.599e-06,2.724e-06
2.437e-06,5.9e-07,4.697e-06,2.554e-06
2.375e-06,4.72e-07,4.501e-06,2.508e-06
2.373e-06,5.29e-07,4.369e-06,2.538e-06
2.316e-06,4.37e-07,4.242e-06,2.551e-06
2.518e-06,6.71e-07,4.522e-06,2.618e-06
2.333e-06,5.45e-07,3.869e-06,2.51e-06
2.4e-06,5.62e-07,4.304e-06,2.53e-06
2.576e-06,5.13e-07,4.56e-06,2.895e-06
2.451e-06,4.81e-07,4.727e-06,2.611e-06
2.58e-06,6.59e-07,4.398e-06,2.63e-06
2.451e-06,5.32e-07,4.094e-06,2.855e-06
2.483e-06,5.29e-07,4.514e-06,2.791e-06
2.399e-06,4.58e-07,4.55e-06,2.54e-06
2.371e-06,5.28e-07,4.179e-06,2.659e-06
2.451e-06,4.22e-07,4.763e-06,2.539e-06
2.391e-06,4.79e-07,4.041e-06,2.551e-06
2.634e-06,6.71e-07,4.981e-06,2.574e-06
2.335e-06,5.78e-07,3.898e-06,2.553e-06
2.479e-06,6.44e-07,4.77e-06,2.52e-06
2.585e-06,5.4e-07,4.027e-06,3.043e-06
2.36e-06,3.99e-07,4.641e-06,2.514e-06
2.474e-06,4.63e-07,4.348e-06,2.57e-06
2.458e-06,5.53e-07,4.684e-06,2.553e-06
2.585e-06,5.45e-07,4.281e-06,2.988e-06
2.523e-06,4.21e-07,4.799e-06,2.599e-06
2.562e-06,6.9e-07,4.402e-06,2.637e-06
2.423e-06,7.94e-07,4.254e-06,2.632e-06
2.398e-06,5.49e-07,4.354e-06,2.562e-06
2.335e-06,4.27e-07,4.352e-06,2.569e-06
2.404e-06,8.62e-07,4.332e-06,2.556e-06
2.486e-06,5.88e-07,4.339e-06,2.572e-06
2.382e-06,4.97e-07,4.284e-06,2.582e-06
2.418e-06,4.22e-07,4.666e-06,2.557e-06
2.293e-06,4.23e-07,4.027e-06,2.512e-06
2.356e-06,4.97e-07,4.47e-06,2.515e-06
2.458e-06,4.79e-07,4.562e-06,2.67e-06
2.471e-06,4e-07,4.977e-06,2.66e-06
2.401e-06,4.33e-07,4.579e-06,2.564e-06
2.373e-06,5.2e-07,4.426e-06,2.54e-06
2.428e-06,4.8e-07,4.621e-06,2.638e-06
2.401e-06,4.97e-07,4.419e-06,2.59e-06
2.497e-06,4.17e-07,4.756e-06,2.703e-06
2.301e-06,5.41e-07,4.289e-06,2.522e-06
2.446e-06,5.12e-07,4.51e-06,2.761e-06
2.458e-06,5.16e-07,4.512e-06,2.494e-06
2.581e-06,5.75e-07,4.246e-06,2.912e-06
2.569e-06,4.4e-07,4.667e-06,2.88e-06
2.347e-06,5.1e-07,4.493e-06,2.556e-06
2.435e-06,4.22e-07,4.663e-06,2.638e-06
2.401e-06,4.63e-07,4.442e-06,2.623e-06
2.332e-06,5.13e-07,4.339e-06,2.565e-06
2.41e-06,4.58e-07,4.613e-06,2.614e-06
2.433e-06,5.04e-07,4.551e-06,2.541e-06
2.475e-06,4.81e-07,4.757e-06,2.518e-06
2.413e-06,5.02e-07,4.372e-06,2.516e-06
2.328e-06,4.38e-07,4.528e-06,2.53e-06
2.41e-06,6.06e-07,4.565e-06,2.532e-06
2.961e-06,6.76e-07,4.588e-06,3.207e-06
6.701e-06,5.07e-07,2.9047e-05,2.644e-06
9.285e-06,6.36e-07,4.3421e-05,2.713e-06
5.631e-06,4.78e-07,2.2633e-05,2.684e-06
2.395e-06,4.78e-07,4.622e-06,2.515e-06
3.607e-06,7.08e-07,9.961e-06,2.718e-06
2.372e-06,4.56e-07,4.612e-06,2.46e-06
2.319e-06,5.92e-07,4.52e-06,2.457e-06
4.44e-06,1.091e-06,1.4232e-05,2.546e-06
4.518e-06,5.7e-07,1.5266e-05,2.758e-06
2.629e-06,6.61e-07,5.033e-06,2.621e-06
2.418e-06,1.284e-06,3.758e-06,2.223e-06
2.409e-06,1.81e-06,3.38e-06,2.161e-06
2.458e-06,1.605e-06,3.837e-06,2.344e-06
2.297e-06,1.341e-06,3.778e-06,2.123e-06
2.329e-06,1.909e-06,3.194e-06,2.015e-06
2.445e-06,1.814e-06,3.238e-06,2.286e-06
2.449e-06,1.416e-06,3.055e-06,2.546e-06
2.323e-06,8.61e-07,3.526e-06,2.528e-06
2.674e-06,1.261e-06,3.617e-06,2.805e-06
2.416e-06,5.04e-07,4.58e-06,2.514e-06
2.317e-06,8.95e-07,4.023e-06,2.325e-06
2.375e-06,8.52e-07,4.144e-06,2.446e-06
3.175e-06,1.104e-06,7.561e-06,2.651e-06
