0_Transfer Time (s)_s,0_Bandwidth (GB/s)_GB/s
0.001477632,10.574350754
0.00152064,10.275278939
0.001513472,10.323944272
0.00150528,10.380128407
0.00157696,9.908304772
0.001504256,10.387194451
0.001524736,10.24767528
0.00156672,9.973064987
0.001483776,10.530565086
0.00148992,10.487139714
0.001452032,10.76078205
0.001478656,10.567027874
0.001542144,10.131998119
0.001554432,10.051902607
0.001501184,10.408451229
0.00151552,10.309993143
0.001462272,10.685426375
0.001502208,10.401356244
0.001512448,10.330934005
0.001591296,9.819040981
0.001878016,8.319950211
0.001490944,10.479937085
0.001478656,10.567027874
0.001499136,10.422670274
0.001455104,10.738064242
0.001580032,9.889040611
0.001552384,10.065164306
0.00149504,10.451225233
0.001518592,10.289136215
0.001499136,10.422670274
0.001478656,10.567027874
0.00149504,10.451225233
0.001478656,10.567027874
0.001468416,10.640717949
0.00150528,10.380128407
0.001501184,10.408451229
0.001462272,10.685426375
0.001478656,10.567027874
0.001502208,10.401356244
0.001494016,10.458388437
0.001533952,10.186107787
0.001475584,10.589027839
0.001475584,10.589027839
0.001472512,10.611118762
0.001485824,10.516050333
0.001490944,10.479937085
0.001552384,10.065164306
0.00147968,10.559715961
0.001468416,10.640717949
0.001516544,10.303030917
0.0014848,10.523302705
0.00155136,10.071807908
0.001485824,10.516050333
0.001498112,10.429794375
0.0015104,10.344941106
0.001514496,10.316963991
0.00147456,10.596381253
0.001490944,10.479937085
0.001516544,10.303030917
0.001475584,10.589027839
0.001509376,10.351959308
0.001482752,10.537838326
0.001486848,10.50880795
0.001502208,10.401356244
0.00148992,10.487139714
0.001524736,10.24767528
0.001491968,10.472744342
0.001504256,10.387194451
0.00150016,10.415555898
0.001548288,10.091791442
0.001503232,10.394270122
0.0015104,10.344941106
0.001540096,10.145471379
0.001528832,10.220220312
0.001508352,10.35898784
0.00147456,10.596381253
0.001473536,10.603744887
0.001460224,10.700412788
0.00156672,9.973064987
0.001466368,10.65557913
0.001529856,10.213379541
0.001506304,10.373071971
0.001527808,10.227071032
0.001512448,10.330934005
0.001477632,10.574350754
0.001577984,9.901875051
0.00153088,10.206547921
0.00148992,10.487139714
0.001476608,10.581684625
0.00154112,10.138730273
0.001543168,10.1252749
0.001560576,10.012329353
0.0014848,10.523302705
0.001481728,10.545120792
0.001512448,10.330934005
0.001517568,10.296078878
0.001481728,10.545120792
0.00147968,10.559715961
0.001486848,10.50880795
0.001508352,10.35898784
