size,"('cn-eth', 'cn-ib')","('cn-eth', 'haicgu2')","('cn-ib', 'cn-eth')","('cn-ib', 'haicgu2')","('haicgu2', 'cn-eth')","('haicgu2', 'cn-ib')",cn-eth,cn-ib,haicgu2
128MiB,0.6926308264323029,0.9933591643224036,1.4437705655564539,1.434182722474443,1.0066852311994587,0.697261223642875,0.5408157929111382,0.7808139231931761,0.5444312715230679
16MiB,0.969043277432541,1.0120537329268644,1.0319456553575999,1.0443844526823185,0.9880898290923694,0.957501806381429,0.8121647833604467,0.8381099196232593,0.8024917619854651
1B,0.9357022476427076,1.0441162093789385,1.0687160392307233,1.1158637397840558,0.9577477976276418,0.8961667669150375,0.00015540614697584105,0.00016608504186812852,0.0001488398950039094
256KiB,0.9869074113857982,1.0011225456557487,1.0132662785415882,1.0144037162006818,0.998878713040057,0.9858008049747402,0.8354258252330101,0.8465088169313875,0.8344890731491768
2MiB,0.8997413283519697,1.0130538540986838,1.1114305506357824,1.1259390028846017,0.987114353253907,0.8881475794319658,0.7806694686249476,0.8676598973783691,0.7706100376267864
32KiB,0.9502338573404119,1.001303744008296,1.0523725210116985,1.0537445453804628,0.9986979535269919,0.9489966086979289,0.5313720040958586,0.5592012955453974,0.5306801330520704
4B,0.9447745388799293,1.0674408754265636,1.0584535874406003,1.1298366239759812,0.9368200366136313,0.885083718105122,0.0006267602277934924,0.0006633966115731098,0.0005871615395494674
4KiB,0.9712700502887008,1.0392613319396022,1.0295797751642393,1.0700024484752635,0.9622218870913558,0.9345773006641097,0.17757842740345167,0.18283115736006497,0.1708698495228646
512B,0.9275064091058206,1.0289852582939871,1.078159665725726,1.1094104021189448,0.971831221039995,0.9013796860837308,0.052189411045199245,0.056268517966914525,0.050719299061414175
64B,0.8807531949598616,0.9774833464769169,1.13539185065979,1.1098266257455514,1.0230353321151082,0.9010416373172047,0.008233696974281703,0.009348472445401615,0.008423362918619443
8B,0.9366542761786637,1.0465116760644184,1.0676297812676119,1.117287031810657,0.9555555115836516,0.8950251560509178,0.0012399826060894474,0.00132384235851492,0.0011848722135166315
