# ststem: haicgu, experiment: a2a_b, nnodes: 4, process-per-node: 128
# msg_size, extra, datafile
1B, cn-eth, ./data/haicgu/2024-07-30_10:11:41/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_10:21:42/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_10:31:43/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_10:41:44/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_10:51:45/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_19:23:52/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_19:33:02/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_19:42:42/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_19:52:43/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_20:02:44/data.csv
1B, haicgu2, ./data/haicgu/2024-08-06_15:37:18/data.csv
4B, haicgu2, ./data/haicgu/2024-08-06_15:47:19/data.csv
8B, haicgu2, ./data/haicgu/2024-08-06_15:57:21/data.csv
64B, haicgu2, ./data/haicgu/2024-08-06_16:07:23/data.csv
512B, haicgu2, ./data/haicgu/2024-08-06_16:17:24/data.csv
4KiB, haicgu2, ./data/haicgu/2024-08-06_16:27:26/data.csv
1B, haicgu2, ./data/haicgu/2024-08-07_08:14:11/data.csv
4B, haicgu2, ./data/haicgu/2024-08-07_08:24:12/data.csv
8B, haicgu2, ./data/haicgu/2024-08-07_08:34:14/data.csv
64B, haicgu2, ./data/haicgu/2024-08-07_08:44:15/data.csv
512B, haicgu2, ./data/haicgu/2024-08-07_08:54:17/data.csv
4KiB, haicgu2, ./data/haicgu/2024-08-07_09:04:18/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_10:11:41/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_10:21:42/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_10:31:43/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_10:41:44/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_10:51:45/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_19:23:52/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_19:33:02/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_19:42:42/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_19:52:43/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_20:02:44/data.csv
1B, haicgu2, ./data/haicgu/2024-08-06_15:37:18/data.csv
4B, haicgu2, ./data/haicgu/2024-08-06_15:47:19/data.csv
8B, haicgu2, ./data/haicgu/2024-08-06_15:57:21/data.csv
64B, haicgu2, ./data/haicgu/2024-08-06_16:07:23/data.csv
512B, haicgu2, ./data/haicgu/2024-08-06_16:17:24/data.csv
4KiB, haicgu2, ./data/haicgu/2024-08-06_16:27:26/data.csv
1B, haicgu2, ./data/haicgu/2024-08-07_08:14:11/data.csv
4B, haicgu2, ./data/haicgu/2024-08-07_08:24:12/data.csv
8B, haicgu2, ./data/haicgu/2024-08-07_08:34:14/data.csv
64B, haicgu2, ./data/haicgu/2024-08-07_08:44:15/data.csv
512B, haicgu2, ./data/haicgu/2024-08-07_08:54:17/data.csv
4KiB, haicgu2, ./data/haicgu/2024-08-07_09:04:18/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_10:11:41/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_10:21:42/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_10:31:43/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_10:41:44/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_10:51:45/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_19:23:52/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_19:33:02/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_19:42:42/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_19:52:43/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_20:02:44/data.csv
1B, haicgu2, ./data/haicgu/2024-08-06_15:37:18/data.csv
4B, haicgu2, ./data/haicgu/2024-08-06_15:47:19/data.csv
8B, haicgu2, ./data/haicgu/2024-08-06_15:57:21/data.csv
64B, haicgu2, ./data/haicgu/2024-08-06_16:07:23/data.csv
512B, haicgu2, ./data/haicgu/2024-08-06_16:17:24/data.csv
4KiB, haicgu2, ./data/haicgu/2024-08-06_16:27:26/data.csv
1B, haicgu2, ./data/haicgu/2024-08-07_08:14:11/data.csv
4B, haicgu2, ./data/haicgu/2024-08-07_08:24:12/data.csv
8B, haicgu2, ./data/haicgu/2024-08-07_08:34:14/data.csv
64B, haicgu2, ./data/haicgu/2024-08-07_08:44:15/data.csv
512B, haicgu2, ./data/haicgu/2024-08-07_08:54:17/data.csv
4KiB, haicgu2, ./data/haicgu/2024-08-07_09:04:18/data.csv
