# ststem: haicgu, experiment: a2a_b, nnodes: 10, process-per-node: 128
# msg_size, extra, datafile
1B, cn-eth, ./data/haicgu/2024-07-30_12:15:10/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_12:25:11/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_12:35:12/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_12:45:13/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_21:26:15/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_21:36:16/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_21:46:17/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_21:56:18/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_22:06:19/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_12:15:10/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_12:25:11/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_12:35:12/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_12:45:13/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_21:26:15/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_21:36:16/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_21:46:17/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_21:56:18/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_22:06:19/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_12:15:10/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_12:25:11/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_12:35:12/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_12:45:13/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_21:26:15/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_21:36:16/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_21:46:17/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_21:56:18/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_22:06:19/data.csv
