size,"('cn-eth', 'cn-ib')","('cn-eth', 'haicgu2')","('cn-ib', 'cn-eth')","('cn-ib', 'haicgu2')","('haicgu2', 'cn-eth')","('haicgu2', 'cn-ib')",cn-eth,cn-ib,haicgu2
128MiB,0.8971391799347681,0.997977546375183,1.1146542502721941,1.1123999137433134,1.0020265522327259,0.8989572793429309,0.5522948197881707,0.6156177682802,0.5534140740883354
16MiB,0.8702455047084272,1.0084242146361992,1.149101023319904,1.158781296979027,0.9916461599057909,0.8629756129193887,0.6219187463637195,0.7146474678683817,0.6167233366050059
1B,0.6348917381529878,1.0383512020782844,1.5750716853068154,1.635477577797801,0.963065288505928,0.6114421949743374,6.082801986444448e-05,9.580849176176702e-05,5.858135449999555e-05
256KiB,0.9557628936458838,1.002365501437507,1.0462846032716,1.0487595910046805,0.9976400809543877,0.9535073705900795,0.7014879652336535,0.733956057404295,0.6998325104242308
2MiB,0.9713510941600438,1.0399650592820275,1.029493873031285,1.0706376566974645,0.9615707672817213,0.9340228169114129,0.7389270511355746,0.7607208717611491,0.7105306515256541
32KiB,0.8152941826905749,0.9861916166413431,1.2265511286979534,1.2096144405038989,1.0140017245387705,0.8267097072546703,0.3290301471210344,0.40357229832695846,0.33363713660597427
4B,0.6144699103471659,1.036312204132772,1.62741898856368,1.6865141590859536,0.9649601693505487,0.5929389887494178,0.00024328058249906395,0.0003959194395078096,0.0002347560720879969
4KiB,0.8090571199354882,1.0011539980438762,1.2360066741390732,1.2374330234232476,0.998847332132588,0.8081245457904377,0.10688101265965727,0.13210564498607916,0.10675781435072804
512B,0.7103300534553939,1.0240891270511148,1.4077962703893905,1.4417088536088862,0.976477509217894,0.6936213213207366,0.022620741924891222,0.031845396115302786,0.02208864573147857
64B,0.6655783157400507,1.0090361136417523,1.5024527938355516,1.5160291280220177,0.9910448065043582,0.6596179331360952,0.0035486427603240622,0.005331668229573191,0.003516863977758452
8B,0.6152179411985278,1.0340745497865345,1.6254402432605668,1.6808263877545855,0.9670482657236188,0.5949454430780916,0.000485602943969466,0.0007893185673737761,0.0004696014847959557
