size,"('cn-eth', 'cn-ib')","('cn-ib', 'cn-eth')",cn-eth,cn-ib
128MiB,0.7121032046043455,1.4042908296636776,0.5811859409726052,0.8161540872372849
16MiB,0.9716764339369615,1.0291491746365395,0.8395745068711403,0.8640474107923138
1B,0.7729258347937055,1.293785192555895,9.558670288740516e-05,0.0001236686608009646
256KiB,0.9849842403422151,1.0152446699579356,0.8531649542730665,0.8661711724206366
2MiB,0.9726165309426286,1.0281544351614427,0.8659429776673387,0.8903231130855803
32KiB,0.950934671906655,1.0515969493413961,0.5661662542581614,0.5953787057979278
4B,0.7677623600294952,1.3024863578380985,0.00037543993362363254,0.0004890053917324226
4KiB,0.9382396727861388,1.0658257468802843,0.17297337511858893,0.18435947672617364
512B,0.8274415133481785,1.208544632905324,0.039280902517543834,0.04747272391325483
64B,0.7960876850610583,1.2561430339464452,0.005935007993817569,0.007455218947850407
8B,0.7914772952177873,1.2634601220302024,0.000795407693031004,0.001004965900900714
