0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
123.1,2.13,2.13,65.31,4.01,4.01
60.61,4.33,4.33,57.86,4.53,4.53
57.88,4.53,4.53,223.5,1.17,1.17
58.06,4.52,4.52,58.37,4.49,4.49
82.77,3.17,3.17,254.5,1.03,1.03
89.77,2.92,2.92,59.66,4.39,4.39
62.64,4.18,4.18,184.2,1.42,1.42
58.33,4.49,4.49,57.87,4.53,4.53
182.1,1.44,1.44,57.97,4.52,4.52
108.9,2.41,2.41,57.21,4.58,4.58
61.85,4.24,4.24,160.5,1.63,1.63
58.16,4.51,4.51,57.71,4.54,4.54
201.9,1.3,1.3,60.5,4.33,4.33
198.3,1.32,1.32,57.38,4.57,4.57
58.34,4.49,4.49,57.6,4.55,4.55
59.97,4.37,4.37,58.02,4.52,4.52
434.8,0.6,0.6,103.6,2.53,2.53
58.15,4.51,4.51,57.45,4.56,4.56
57.72,4.54,4.54,234.9,1.12,1.12
58.04,4.52,4.52,57.66,4.55,4.55
223.4,1.17,1.17,216.5,1.21,1.21
178.6,1.47,1.47,60.62,4.32,4.32
58.16,4.51,4.51,58.62,4.47,4.47
58.08,4.51,4.51,58.88,4.45,4.45
147.2,1.78,1.78,336.4,0.78,0.78
255.1,1.03,1.03,69.22,3.79,3.79
58.95,4.45,4.45,64.46,4.07,4.07
58.0,4.52,4.52,60.4,4.34,4.34
