# ststem: nanjin, experiment: inc_b, nnodes: 8, process-per-node: 128
# msg_size, extra, datafile
1B, nanjin2, ./data/nanjin/2024-08-07_09:36:46/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:36:53/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:37:00/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:37:07/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:37:15/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:37:22/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:37:29/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:37:36/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:37:45/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:37:53/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:38:05/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:39:40/data.csv
1B, nanjin2, ./data/nanjin/2024-08-07_09:36:46/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:36:53/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:37:00/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:37:07/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:37:15/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:37:22/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:37:29/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:37:36/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:37:45/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:37:53/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:38:05/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:39:40/data.csv
1B, nanjin2, ./data/nanjin/2024-08-07_09:36:46/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:36:53/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:37:00/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:37:07/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:37:15/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:37:22/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:37:29/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:37:36/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:37:45/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:37:53/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:38:05/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:39:40/data.csv
