size,"('nanjin', 'nanjin2')","('nanjin2', 'nanjin')",nanjin,nanjin2
128MiB,1.014109222978741,0.9860870775464422,0.9745164346664119,0.9609580630811806
16MiB,1.017610738988073,0.9826940318990881,0.966894232745067,0.9501611919962252
1B,2.0652418489456834,0.4842047920491758,2.8145902349731186e-05,1.3628380794287999e-05
256KiB,1.1716232236076827,0.8535167107056674,0.6156133224854962,0.525436258074408
2MiB,1.0341838355073063,0.9669460744466791,0.9119101359536249,0.881767926208495
32KiB,0.9508581466855739,1.0516815820379948,0.1527439625406078,0.16063801217145862
4B,2.03558227276729,0.4912599276277551,0.00011132181454560349,5.468794655706355e-05
4KiB,1.465421618997096,0.6823974663922177,0.05446887648586509,0.03716942331118498
512B,1.8260260745437156,0.5476373059184702,0.011295731751839103,0.006185964104954888
64B,1.9566985000287873,0.5110649392255822,0.0016464252264581686,0.0008414302082993093
8B,2.0365878760122693,0.4910173588767724,0.00022294844253500579,0.0001094715554192284
