size,"('nanjin', 'nanjin2')","('nanjin2', 'nanjin')",nanjin,nanjin2
128MiB,1.021658143047372,0.9788009881830231,0.97379432251661,0.9531508451662754
16MiB,1.0326387793025489,0.9683928398228533,0.9604066531804749,0.9300509262582023
1B,2.020026018106437,0.4950431286708849,9.133049109211449e-06,4.521253205328873e-06
1GiB,1.0206228778241737,0.9797938315196904,0.9754150605736173,0.9557056595214354
256KiB,1.4303921196918046,0.699108996919993,0.4918176979122888,0.3438341774549603
2MiB,1.0970656445753093,0.9115224826743299,0.87040253724746,0.7933914816778406
32KiB,1.3730968435472688,0.7282807506982482,0.10432070733738405,0.07597476305304231
4B,2.0185945985827276,0.4953941721146527,3.646220955759239e-05,1.8063166117254463e-05
4KiB,1.6960694912695575,0.5895984835217281,0.02377426285669212,0.014017269327152622
512B,1.8547348891218531,0.5391606131232384,0.003917517721569431,0.0021121712566825263
64B,1.978121716023603,0.5055300651621115,0.0005501029241110792,0.000278093567071742
8B,2.0260711010189603,0.4935660942486549,7.316787473575165e-05,3.611318215779977e-05
