# ststem: nanjin, experiment: inc_b, nnodes: 4, process-per-node: 128
# msg_size, extra, datafile
1B, nanjin2, ./data/nanjin/2024-08-07_09:28:59/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:29:05/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:29:12/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:29:18/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:29:24/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:29:30/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:29:37/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:29:43/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:29:50/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:29:56/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:30:05/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:31:14/data.csv
1B, nanjin2, ./data/nanjin/2024-08-07_09:28:59/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:29:05/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:29:12/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:29:18/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:29:24/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:29:30/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:29:37/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:29:43/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:29:50/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:29:56/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:30:05/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:31:14/data.csv
1B, nanjin2, ./data/nanjin/2024-08-07_09:28:59/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:29:05/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:29:12/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:29:18/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:29:24/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:29:30/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:29:37/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:29:43/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:29:50/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:29:56/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:30:05/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:31:14/data.csv
