0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
15.16,0.0,0.0,11.85,0.0,0.0
11.97,0.0,0.0,16.42,0.0,0.0
12.2,0.0,0.0,12.09,0.0,0.0
11.9,0.0,0.0,11.9,0.0,0.0
11.89,0.0,0.0,11.89,0.0,0.0
12.16,0.0,0.0,21.25,0.0,0.0
12.06,0.0,0.0,12.03,0.0,0.0
11.88,0.0,0.0,11.94,0.0,0.0
12.04,0.0,0.0,12.08,0.0,0.0
12.17,0.0,0.0,14.12,0.0,0.0
11.95,0.0,0.0,11.83,0.0,0.0
12.1,0.0,0.0,12.0,0.0,0.0
12.18,0.0,0.0,12.01,0.0,0.0
11.96,0.0,0.0,11.96,0.0,0.0
12.05,0.0,0.0,12.62,0.0,0.0
11.98,0.0,0.0,11.93,0.0,0.0
12.15,0.0,0.0,17.79,0.0,0.0
12.15,0.0,0.0,12.07,0.0,0.0
11.92,0.0,0.0,11.83,0.0,0.0
12.14,0.0,0.0,11.94,0.0,0.0
12.16,0.0,0.0,12.04,0.0,0.0
11.85,0.0,0.0,11.88,0.0,0.0
11.9,0.0,0.0,11.9,0.0,0.0
12.14,0.0,0.0,12.1,0.0,0.0
12.0,0.0,0.0,11.83,0.0,0.0
11.97,0.0,0.0,11.93,0.0,0.0
12.11,0.0,0.0,12.03,0.0,0.0
12.11,0.0,0.0,12.03,0.0,0.0
11.93,0.0,0.0,11.9,0.0,0.0
11.94,0.0,0.0,11.89,0.0,0.0
12.09,0.0,0.0,12.04,0.0,0.0
12.12,0.0,0.0,12.04,0.0,0.0
12.03,0.0,0.0,16.09,0.0,0.0
11.93,0.0,0.0,11.87,0.0,0.0
12.09,0.0,0.0,12.09,0.0,0.0
11.93,0.0,0.0,11.86,0.0,0.0
12.11,0.0,0.0,12.0,0.0,0.0
12.13,0.0,0.0,12.1,0.0,0.0
12.07,0.0,0.0,12.58,0.0,0.0
12.19,0.0,0.0,12.07,0.0,0.0
11.91,0.0,0.0,11.92,0.0,0.0
12.01,0.0,0.0,18.52,0.0,0.0
12.17,0.0,0.0,12.07,0.0,0.0
11.87,0.0,0.0,11.82,0.0,0.0
11.94,0.0,0.0,11.81,0.0,0.0
12.1,0.0,0.0,11.98,0.0,0.0
12.07,0.0,0.0,11.99,0.0,0.0
12.12,0.0,0.0,11.92,0.0,0.0
12.11,0.0,0.0,11.99,0.0,0.0
12.01,0.0,0.0,11.82,0.0,0.0
12.01,0.0,0.0,12.18,0.0,0.0
12.09,0.0,0.0,12.07,0.0,0.0
13.26,0.0,0.0,11.88,0.0,0.0
11.83,0.0,0.0,11.88,0.0,0.0
12.15,0.0,0.0,12.02,0.0,0.0
12.15,0.0,0.0,12.09,0.0,0.0
11.93,0.0,0.0,11.87,0.0,0.0
11.9,0.0,0.0,11.9,0.0,0.0
11.91,0.0,0.0,11.91,0.0,0.0
12.13,0.0,0.0,12.03,0.0,0.0
11.85,0.0,0.0,22.25,0.0,0.0
12.11,0.0,0.0,12.03,0.0,0.0
12.04,0.0,0.0,14.52,0.0,0.0
12.18,0.0,0.0,12.08,0.0,0.0
12.0,0.0,0.0,11.99,0.0,0.0
11.99,0.0,0.0,11.92,0.0,0.0
12.01,0.0,0.0,11.95,0.0,0.0
12.13,0.0,0.0,11.98,0.0,0.0
12.05,0.0,0.0,11.95,0.0,0.0
12.12,0.0,0.0,12.08,0.0,0.0
12.03,0.0,0.0,11.93,0.0,0.0
11.92,0.0,0.0,11.88,0.0,0.0
14.98,0.0,0.0,11.9,0.0,0.0
11.84,0.0,0.0,11.8,0.0,0.0
12.06,0.0,0.0,12.0,0.0,0.0
12.23,0.0,0.0,11.95,0.0,0.0
11.91,0.0,0.0,12.0,0.0,0.0
11.95,0.0,0.0,11.91,0.0,0.0
11.95,0.0,0.0,11.82,0.0,0.0
11.95,0.0,0.0,11.91,0.0,0.0
12.18,0.0,0.0,12.12,0.0,0.0
15.48,0.0,0.0,11.95,0.0,0.0
11.92,0.0,0.0,11.96,0.0,0.0
12.44,0.0,0.0,11.81,0.0,0.0
12.08,0.0,0.0,12.07,0.0,0.0
12.12,0.0,0.0,11.91,0.0,0.0
12.03,0.0,0.0,11.93,0.0,0.0
12.54,0.0,0.0,11.99,0.0,0.0
12.11,0.0,0.0,13.41,0.0,0.0
12.07,0.0,0.0,12.13,0.0,0.0
12.16,0.0,0.0,19.09,0.0,0.0
11.93,0.0,0.0,11.89,0.0,0.0
11.96,0.0,0.0,11.96,0.0,0.0
12.15,0.0,0.0,12.08,0.0,0.0
11.94,0.0,0.0,11.98,0.0,0.0
12.18,0.0,0.0,12.03,0.0,0.0
11.97,0.0,0.0,13.36,0.0,0.0
12.17,0.0,0.0,12.08,0.0,0.0
12.18,0.0,0.0,13.2,0.0,0.0
12.02,0.0,0.0,11.99,0.0,0.0
