0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
98.13,2.67,2.34,54.72,4.79,4.19
53.44,4.91,4.29,53.9,4.86,4.26
52.98,4.95,4.33,52.48,4.99,4.37
54.42,4.82,4.22,54.95,4.77,4.17
53.4,4.91,4.3,54.21,4.84,4.23
54.67,4.79,4.2,53.84,4.87,4.26
53.32,4.92,4.3,54.11,4.84,4.24
54.76,4.79,4.19,52.77,4.97,4.35
53.35,4.91,4.3,54.95,4.77,4.17
53.68,4.88,4.27,90.91,2.88,2.52
53.43,4.91,4.29,54.2,4.84,4.23
66.9,3.92,3.43,52.74,4.97,4.35
58.09,4.51,3.95,54.47,4.81,4.21
94.4,2.78,2.43,106.6,2.46,2.15
64.74,4.05,3.54,54.62,4.8,4.2
