0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
301.2,6.96,6.96,232.0,9.04,9.04
231.1,9.08,9.08,232.3,9.03,9.03
230.7,9.09,9.09,231.3,9.07,9.07
231.2,9.07,9.07,230.7,9.09,9.09
232.6,9.02,9.02,271.4,7.73,7.73
258.8,8.1,8.1,234.7,8.93,8.93
232.0,9.04,9.04,236.8,8.86,8.86
252.9,8.29,8.29,424.0,4.95,4.95
231.5,9.06,9.06,231.0,9.08,9.08
230.9,9.08,9.08,231.5,9.06,9.06
238.3,8.8,8.8,231.6,9.06,9.06
234.3,8.95,8.95,250.4,8.38,8.38
231.2,9.07,9.07,238.2,8.8,8.8
293.6,7.14,7.14,231.5,9.06,9.06
230.7,9.09,9.09,230.8,9.09,9.09
233.7,8.98,8.98,254.6,8.24,8.24
398.0,5.27,5.27,286.4,7.32,7.32
357.9,5.86,5.86,316.0,6.64,6.64
243.8,8.6,8.6,300.6,6.98,6.98
447.5,4.69,4.69,293.4,7.15,7.15
231.6,9.05,9.05,231.7,9.05,9.05
230.5,9.1,9.1,230.3,9.11,9.11
240.8,8.71,8.71,315.5,6.65,6.65
234.5,8.94,8.94,231.7,9.05,9.05
242.7,8.64,8.64,231.1,9.07,9.07
275.5,7.61,7.61,267.6,7.84,7.84
242.0,8.67,8.67,239.9,8.74,8.74
232.8,9.01,9.01,231.4,9.06,9.06
