0_init_s,0_finalize_s
999.917969,0.009033
999.89502,0.009033
999.893066,0.009033
999.893066,0.01001
999.854004,0.009033
999.861084,0.010986
999.918945,0.01001
999.893066,0.01001
999.924072,0.01001
999.921143,0.01001
999.900146,0.01001
999.856934,0.01001
999.894043,0.01001
999.86499,0.01001
999.901123,0.01001
999.918945,0.01001
999.862061,0.01001
999.859131,0.010986
999.918945,0.01001
999.919922,0.01001
999.86792,0.01001
999.918945,0.01001
999.908936,0.01001
999.893066,0.01001
999.866943,0.010986
999.859131,0.01001
999.918945,0.01001
999.907959,0.01001
999.921143,0.01001
999.922119,0.01001
999.911133,0.010986
999.854004,0.01001
999.921143,0.01001
999.907959,0.01001
999.865967,0.010986
999.907959,0.01001
999.922119,0.01001
999.858154,0.010986
999.86499,0.01001
999.861084,0.010986
999.907959,0.01001
999.919922,0.01001
999.918945,0.01001
999.893066,0.01001
999.859131,0.010986
999.85498,0.01001
999.919922,0.01001
999.894043,0.01001
999.893066,0.01001
999.85498,0.01001
999.865967,0.01001
999.863037,0.010986
999.861084,0.010986
999.919922,0.01001
999.919922,0.01001
999.908936,0.01001
999.922119,0.01001
999.908936,0.01001
999.856934,0.01001
999.861084,0.010986
999.86499,0.01001
999.859131,0.010986
999.859131,0.01001
999.907959,0.01001
999.908936,0.01001
999.911133,0.010986
999.901123,0.01001
999.858154,0.010986
999.854004,0.01001
999.852051,0.01001
999.860107,0.010986
999.86499,0.01001
999.919922,0.01001
999.921143,0.01001
999.918945,0.01001
999.919922,0.010986
999.908936,0.010986
999.908936,0.01001
999.907959,0.01001
999.921143,0.01001
999.922119,0.01001
999.918945,0.01001
999.918945,0.01001
999.911133,0.010986
999.894043,0.01001
999.893066,0.01001
999.894043,0.01001
999.893066,0.01001
999.900146,0.01001
999.86792,0.01001
999.858154,0.010986
999.919922,0.01001
999.924072,0.01001
999.921143,0.01001
999.918945,0.01001
999.918945,0.01001
999.918945,0.010986
999.919922,0.01001
999.907959,0.01001
999.921143,0.01001
999.918945,0.01001
999.908936,0.01001
999.911133,0.010986
999.894043,0.01001
999.894043,0.01001
999.894043,0.01001
999.856934,0.01001
999.86499,0.01001
999.866943,0.010986
999.863037,0.010986
999.863037,0.010986
999.861084,0.010986
999.859131,0.01001
999.921143,0.01001
999.924072,0.01001
999.922119,0.01001
999.918945,0.01001
999.918945,0.01001
999.919922,0.010986
999.919922,0.010986
999.908936,0.01001
999.907959,0.01001
999.907959,0.01001
999.922119,0.01001
999.922119,0.010986
999.908936,0.01001
999.911133,0.010986
999.894043,0.010986
999.893066,0.01001
999.894043,0.010986
999.886963,0.011963
999.893066,0.010986
999.901123,0.010986
999.86792,0.01001
999.858154,0.010986
999.856934,0.01001
999.854004,0.01001
999.861084,0.010986
999.86499,0.010986
999.866943,0.010986
999.863037,0.010986
999.860107,0.011963
999.863037,0.011963
999.861084,0.010986
999.921143,0.01001
999.924072,0.010986
999.921143,0.010986
999.918945,0.01001
999.919922,0.01001
999.919922,0.011963
999.919922,0.010986
999.908936,0.010986
999.907959,0.010986
999.907959,0.010986
999.921143,0.010986
999.922119,0.010986
999.919922,0.010986
999.918945,0.010986
999.918945,0.010986
999.912109,0.011963
999.910156,0.010986
999.911133,0.011963
999.894043,0.010986
999.894043,0.01001
999.894043,0.010986
999.886963,0.011963
999.893066,0.010986
999.901123,0.010986
999.86792,0.01001
999.859131,0.010986
999.858154,0.010986
999.85498,0.010986
999.852051,0.010986
999.861084,0.011963
999.86499,0.010986
999.866943,0.011963
999.863037,0.010986
999.863037,0.011963
999.861084,0.010986
999.859131,0.01001
999.924072,0.010986
999.921143,0.010986
999.919922,0.010986
999.918945,0.010986
999.918945,0.011963
999.919922,0.010986
999.908936,0.011963
999.908936,0.010986
999.907959,0.010986
999.922119,0.010986
999.922119,0.010986
999.918945,0.010986
999.918945,0.010986
999.918945,0.010986
999.912109,0.011963
999.908936,0.010986
999.911133,0.011963
999.894043,0.010986
