size,"('inter-switch', 'intra-switch')","('intra-switch', 'inter-switch')",inter-switch,intra-switch
128MiB,0.9691923435477047,1.0317869375025444,0.21259764640620865,0.21935547450571083
16MiB,1.0141940448054798,0.9860046064378123,0.29246439653530326,0.288371242202864
1B,0.5268554987255264,1.8980536454853736,5.02594942917023e-06,9.539521636061687e-06
256KiB,0.8214897231902323,1.2173006816403351,0.21561568251028618,0.26246911729211747
2MiB,0.9117945913206611,1.0967382451255612,0.28752330883482136,0.31533780916419674
32KiB,0.6829941641255399,1.4641413536531942,0.05675226875851027,0.0830933436029751
4B,0.48795751489022754,2.049358744326262,1.947097868247848e-05,3.990302042352752e-05
4KiB,0.6248645815182233,1.6003467464427512,0.012859270580454241,0.020579291835056933
512B,0.5468409377382268,1.828685328746731,0.002016203043537994,0.003687000925492436
64B,0.5305153554245922,1.8849595770883218,0.00027248289750862997,0.0005136192472516677
8B,0.5212055771315462,1.9186287405125206,3.9837770069738125e-05,7.643389061372905e-05
