size,"('inter-switch', 'intra-switch')","('intra-switch', 'inter-switch')",inter-switch,intra-switch
128MiB,0.9502955987042423,1.0523041476394621,0.4275311578383088,0.44989281063835385
16MiB,0.9623555290022084,1.039117010151978,0.5191077019333583,0.5394136431798555
1B,0.5324162062742276,1.878229828873649,1.8229398060416102e-05,3.4238999199484966e-05
256KiB,0.7841504374729215,1.2752655003581914,0.27972763185256616,0.35672699839847477
2MiB,0.959538880049557,1.042167254284009,0.49900335236380544,0.5200449536115029
32KiB,0.7288789362088179,1.3719699532015397,0.06567242647643287,0.09010059587950316
4B,0.5354112631659268,1.8677231294816723,7.303530169254664e-05,0.0001364097222398413
4KiB,0.7113140450039726,1.4058488047911597,0.01929796004376078,0.02713001406242865
512B,0.5424046075217928,1.8436421559339757,0.007004935901697956,0.012914595127985729
64B,0.5544713445831598,1.8035197125503022,0.0011329098552943318,0.0020432252565658377
8B,0.5257567573078847,1.9020202519516014,0.00014456936504729664,0.00027497386013174217
