0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1.229e-06,4.98e-07,1.96e-06,1.229e-06,4.98e-07
1.254e-06,5.2e-07,1.987e-06,1.254e-06,5.2e-07
1.218e-06,5.04e-07,1.931e-06,1.218e-06,5.04e-07
1.233e-06,5.12e-07,1.955e-06,1.233e-06,5.12e-07
1.233e-06,8.23e-07,1.643e-06,1.233e-06,1.643e-06
1.234e-06,9.55e-07,1.512e-06,1.234e-06,1.512e-06
1.252e-06,1.136e-06,1.368e-06,1.252e-06,1.368e-06
1.239e-06,1.232e-06,1.246e-06,1.239e-06,1.246e-06
1.214e-06,1.172e-06,1.256e-06,1.214e-06,1.172e-06
1.222e-06,1.129e-06,1.315e-06,1.222e-06,1.129e-06
1.217e-06,1.037e-06,1.397e-06,1.217e-06,1.037e-06
1.225e-06,9.63e-07,1.488e-06,1.225e-06,9.63e-07
1.231e-06,8.76e-07,1.586e-06,1.231e-06,8.76e-07
1.223e-06,8.04e-07,1.642e-06,1.223e-06,8.04e-07
1.278e-06,6.78e-07,1.878e-06,1.278e-06,6.78e-07
1.235e-06,5.4e-07,1.93e-06,1.235e-06,5.4e-07
1.217e-06,5.44e-07,1.891e-06,1.217e-06,5.44e-07
1.221e-06,5.55e-07,1.888e-06,1.221e-06,5.55e-07
1.208e-06,5.62e-07,1.854e-06,1.208e-06,5.62e-07
1.217e-06,5.53e-07,1.88e-06,1.217e-06,5.53e-07
1.238e-06,5.4e-07,1.936e-06,1.238e-06,5.4e-07
1.225e-06,5.24e-07,1.927e-06,1.225e-06,5.24e-07
1.293e-06,5.04e-07,2.082e-06,1.293e-06,5.04e-07
1.216e-06,4.65e-07,1.968e-06,1.216e-06,4.65e-07
1.211e-06,4.81e-07,1.94e-06,1.211e-06,4.81e-07
1.212e-06,4.95e-07,1.93e-06,1.212e-06,4.95e-07
1.219e-06,4.91e-07,1.947e-06,1.219e-06,4.91e-07
1.22e-06,5.01e-07,1.939e-06,1.22e-06,5.01e-07
1.206e-06,5.07e-07,1.906e-06,1.206e-06,5.07e-07
1.218e-06,4.98e-07,1.937e-06,1.218e-06,4.98e-07
1.403e-06,7.77e-07,2.029e-06,1.403e-06,7.77e-07
1.253e-06,9.91e-07,1.515e-06,1.253e-06,9.91e-07
1.237e-06,9.44e-07,1.529e-06,1.237e-06,9.44e-07
1.237e-06,8.93e-07,1.582e-06,1.237e-06,8.93e-07
1.261e-06,9.27e-07,1.594e-06,1.261e-06,9.27e-07
1.216e-06,8.81e-07,1.55e-06,1.216e-06,8.81e-07
1.209e-06,8.4e-07,1.577e-06,1.209e-06,8.4e-07
1.255e-06,7.98e-07,1.712e-06,1.255e-06,7.98e-07
1.235e-06,6.07e-07,1.863e-06,1.235e-06,6.07e-07
1.223e-06,5.35e-07,1.912e-06,1.223e-06,5.35e-07
1.23e-06,5.35e-07,1.926e-06,1.23e-06,5.35e-07
1.211e-06,5.45e-07,1.877e-06,1.211e-06,5.45e-07
1.243e-06,5.36e-07,1.95e-06,1.243e-06,5.36e-07
1.216e-06,5.08e-07,1.923e-06,1.216e-06,5.08e-07
1.222e-06,5.02e-07,1.941e-06,1.222e-06,5.02e-07
1.229e-06,5.12e-07,1.946e-06,1.229e-06,5.12e-07
1.271e-06,4.65e-07,2.076e-06,1.271e-06,4.65e-07
1.213e-06,4.76e-07,1.95e-06,1.213e-06,4.76e-07
1.217e-06,5.06e-07,1.929e-06,1.217e-06,5.06e-07
1.229e-06,4.95e-07,1.963e-06,1.229e-06,4.95e-07
1.212e-06,4.67e-07,1.957e-06,1.212e-06,4.67e-07
1.206e-06,4.83e-07,1.928e-06,1.206e-06,4.83e-07
1.223e-06,4.99e-07,1.946e-06,1.223e-06,4.99e-07
1.246e-06,5.17e-07,1.975e-06,1.246e-06,5.17e-07
1.254e-06,4.64e-07,2.044e-06,1.254e-06,4.64e-07
1.219e-06,5.05e-07,1.933e-06,1.219e-06,5.05e-07
1.212e-06,5.03e-07,1.922e-06,1.212e-06,5.03e-07
1.237e-06,5.42e-07,1.932e-06,1.237e-06,5.42e-07
1.209e-06,5.03e-07,1.914e-06,1.209e-06,5.03e-07
1.208e-06,5.08e-07,1.908e-06,1.208e-06,5.08e-07
1.221e-06,5.13e-07,1.93e-06,1.221e-06,5.13e-07
1.216e-06,5.2e-07,1.912e-06,1.216e-06,5.2e-07
1.251e-06,4.63e-07,2.04e-06,1.251e-06,4.63e-07
1.23e-06,4.85e-07,1.976e-06,1.23e-06,4.85e-07
1.243e-06,5.33e-07,1.953e-06,1.243e-06,5.33e-07
1.221e-06,4.83e-07,1.96e-06,1.221e-06,4.83e-07
1.219e-06,5.05e-07,1.934e-06,1.219e-06,5.05e-07
1.218e-06,4.83e-07,1.953e-06,1.218e-06,4.83e-07
1.216e-06,4.66e-07,1.967e-06,1.216e-06,4.66e-07
2.771e-06,5e-07,5.043e-06,2.771e-06,5e-07
1.669e-06,5.33e-07,2.806e-06,1.669e-06,5.33e-07
1.223e-06,5e-07,1.945e-06,1.223e-06,5e-07
1.233e-06,5.4e-07,1.926e-06,1.233e-06,5.4e-07
1.235e-06,5.4e-07,1.93e-06,1.235e-06,5.4e-07
1.24e-06,5.24e-07,1.955e-06,1.24e-06,5.24e-07
1.237e-06,5.47e-07,1.927e-06,1.237e-06,5.47e-07
1.203e-06,4.78e-07,1.928e-06,1.203e-06,4.78e-07
1.219e-06,5.1e-07,1.928e-06,1.219e-06,5.1e-07
1.253e-06,4.65e-07,2.04e-06,1.253e-06,4.65e-07
1.251e-06,5.04e-07,1.998e-06,1.251e-06,5.04e-07
1.246e-06,5.03e-07,1.988e-06,1.246e-06,5.03e-07
1.233e-06,4.84e-07,1.981e-06,1.233e-06,4.84e-07
1.216e-06,5.17e-07,1.915e-06,1.216e-06,5.17e-07
1.248e-06,5.24e-07,1.971e-06,1.248e-06,5.24e-07
1.22e-06,4.87e-07,1.954e-06,1.22e-06,4.87e-07
1.204e-06,5.03e-07,1.905e-06,1.204e-06,5.03e-07
1.251e-06,4.77e-07,2.025e-06,1.251e-06,4.77e-07
1.222e-06,5.03e-07,1.941e-06,1.222e-06,5.03e-07
1.209e-06,4.81e-07,1.937e-06,1.209e-06,4.81e-07
1.208e-06,5e-07,1.917e-06,1.208e-06,5e-07
1.211e-06,5.14e-07,1.907e-06,1.211e-06,5.14e-07
1.223e-06,5.12e-07,1.934e-06,1.223e-06,5.12e-07
1.212e-06,4.96e-07,1.928e-06,1.212e-06,4.96e-07
1.21e-06,4.96e-07,1.923e-06,1.21e-06,4.96e-07
1.249e-06,4.63e-07,2.034e-06,1.249e-06,4.63e-07
1.246e-06,5.16e-07,1.976e-06,1.246e-06,5.16e-07
1.214e-06,5.23e-07,1.905e-06,1.214e-06,5.23e-07
1.248e-06,5.58e-07,1.937e-06,1.248e-06,5.58e-07
1.234e-06,5.35e-07,1.933e-06,1.234e-06,5.35e-07
1.216e-06,5.09e-07,1.922e-06,1.216e-06,5.09e-07
1.221e-06,4.96e-07,1.947e-06,1.221e-06,4.96e-07
1.22e-06,4.96e-07,1.945e-06,1.22e-06,4.96e-07
1.254e-06,4.71e-07,2.038e-06,1.254e-06,4.71e-07
1.214e-06,4.7e-07,1.959e-06,1.214e-06,4.7e-07
1.222e-06,5.12e-07,1.933e-06,1.222e-06,5.12e-07
1.22e-06,4.92e-07,1.947e-06,1.22e-06,4.92e-07
1.213e-06,4.89e-07,1.937e-06,1.213e-06,4.89e-07
1.214e-06,4.82e-07,1.946e-06,1.214e-06,4.82e-07
1.207e-06,4.94e-07,1.92e-06,1.207e-06,4.94e-07
1.216e-06,5.16e-07,1.916e-06,1.216e-06,5.16e-07
1.317e-06,5.27e-07,2.107e-06,1.317e-06,5.27e-07
1.226e-06,4.92e-07,1.96e-06,1.226e-06,4.92e-07
1.231e-06,4.63e-07,1.998e-06,1.231e-06,4.63e-07
1.225e-06,4.78e-07,1.971e-06,1.225e-06,4.78e-07
1.227e-06,5.39e-07,1.916e-06,1.227e-06,5.39e-07
1.221e-06,5.02e-07,1.94e-06,1.221e-06,5.02e-07
1.221e-06,4.89e-07,1.954e-06,1.221e-06,4.89e-07
1.22e-06,4.93e-07,1.947e-06,1.22e-06,4.93e-07
1.259e-06,4.63e-07,2.054e-06,1.259e-06,4.63e-07
1.231e-06,5.21e-07,1.941e-06,1.231e-06,5.21e-07
1.24e-06,5.3e-07,1.95e-06,1.24e-06,5.3e-07
1.22e-06,5.19e-07,1.921e-06,1.22e-06,5.19e-07
1.213e-06,5.03e-07,1.922e-06,1.213e-06,5.03e-07
1.226e-06,5.11e-07,1.941e-06,1.226e-06,5.11e-07
1.22e-06,5.03e-07,1.937e-06,1.22e-06,5.03e-07
1.234e-06,5.45e-07,1.922e-06,1.234e-06,5.45e-07
1.258e-06,5.13e-07,2.004e-06,1.258e-06,5.13e-07
1.282e-06,5.98e-07,1.966e-06,1.282e-06,5.98e-07
1.269e-06,5.77e-07,1.96e-06,1.269e-06,5.77e-07
1.234e-06,5.08e-07,1.961e-06,1.234e-06,5.08e-07
1.218e-06,4.97e-07,1.939e-06,1.218e-06,4.97e-07
1.236e-06,5.28e-07,1.943e-06,1.236e-06,5.28e-07
1.217e-06,4.72e-07,1.963e-06,1.217e-06,4.72e-07
1.22e-06,4.82e-07,1.957e-06,1.22e-06,4.82e-07
1.258e-06,4.69e-07,2.047e-06,1.258e-06,4.69e-07
1.213e-06,5.23e-07,1.902e-06,1.213e-06,5.23e-07
1.235e-06,5.17e-07,1.952e-06,1.235e-06,5.17e-07
1.214e-06,4.87e-07,1.941e-06,1.214e-06,4.87e-07
