0_MainRank-Duration_s,0_MainRank-Bandwidth_Gb/s
1.74e-06,0.004599023
1.818e-06,0.00440044
1.826e-06,0.004382361
1.716e-06,0.004662005
1.757e-06,0.004553216
1.666e-06,0.004801921
1.705e-06,0.004693458
1.797e-06,0.004450626
1.884e-06,0.004246285
1.823e-06,0.004388371
1.871e-06,0.004275789
2.203e-06,0.003630588
2.631e-06,0.003040669
8.628e-06,0.000927267
1.3345e-05,0.000599475
2.3927e-05,0.00033435
8.9983e-05,8.8905e-05
5.0215e-05,0.000159317
5.1936e-05,0.000154036
3.5107e-05,0.000227872
2.683e-05,0.000298168
5.0249e-05,0.000159206
3.0602e-05,0.000261421
3.5556e-05,0.000224997
5.9108e-05,0.000135345
6.5044e-05,0.000122995
6.4529e-05,0.000123976
6.411e-05,0.000124785
5.1226e-05,0.000156171
3.1266e-05,0.000255869
1.3497e-05,0.000592702
8.466e-06,0.000945012
2.906e-06,0.002752925
1.713e-06,0.004668807
1.704e-06,0.004694836
1.867e-06,0.004284949
1.77e-06,0.004519774
1.828e-06,0.004377565
1.754e-06,0.004561003
1.778e-06,0.004498173
1.829e-06,0.004372779
1.821e-06,0.004393191
1.752e-06,0.004564907
1.703e-06,0.004697592
1.716e-06,0.004663363
5.773e-06,0.001385881
1.19e-05,0.000672241
4.1314e-05,0.000193637
1.83e-05,0.00043717
2.7279e-05,0.000293271
5.3485e-05,0.000149575
5.493e-05,0.000145641
2.6393e-05,0.000303111
1.0636e-05,0.000752127
1.852e-06,0.004318489
1.77e-06,0.004521051
1.775e-06,0.004505773
1.826e-06,0.004381161
1.724e-06,0.004640372
1.676e-06,0.004774694
1.738e-06,0.004604316
1.669e-06,0.00479329
1.703e-06,0.004697592
1.731e-06,0.004620271
1.656e-06,0.00482946
1.67e-06,0.004788985
1.742e-06,0.004593741
1.686e-06,0.004746366
1.658e-06,0.004823636
1.838e-06,0.004353742
1.794e-06,0.004460552
1.657e-06,0.004828002
1.681e-06,0.004757657
1.735e-06,0.004610951
3.314e-06,0.002414001
6.723e-06,0.001189945
8.067e-06,0.000991756
1.158e-05,0.000690816
1.2326e-05,0.000649035
1.3167e-05,0.000607556
1.3437e-05,0.000595371
1.4914e-05,0.000536391
1.9119e-05,0.000418421
2.2059e-05,0.000362672
2.4347e-05,0.000328589
2.3547e-05,0.000339746
1.3881e-05,0.000576327
1.0501e-05,0.000761868
5.903e-06,0.001355358
8.624e-06,0.000927644
6.628e-06,0.001207001
8.23e-06,0.000971994
8.284e-06,0.000965775
