1_BW_peak_gbit/s,1_BW_average_gbit/s,1_MsgRate_mpp/s
423.46000000000004,297.82,0.5680369999999999
293.68,395.23,0.753848
438.5,392.67,0.748954
397.08,302.15999999999997,0.576311
291.64,387.94,0.739931
295.79,395.84,0.755003
438.61,395.88,0.755076
431.2099999999999,372.39,0.71028
429.64,395.72,0.75478
441.13,392.72,0.749058
436.50000000000006,395.95000000000005,0.755216
440.57,334.67,0.638334
489.14,322.04999999999995,0.614254
424.0,259.57,0.495087
289.43,395.82,0.754968
427.38,395.90999999999997,0.7551519999999999
395.99,299.45,0.571156
438.59,347.0,0.661849
440.77,394.32,0.752094
440.11,395.84000000000003,0.755012
520.78,317.18,0.604954
246.13,352.43,0.672195
412.28000000000003,372.31,0.710132
291.39,395.82,0.7549509999999999
433.12,367.93,0.701774
295.76,395.52,0.754394
439.96000000000004,395.46,0.7542789999999999
546.26,393.51,0.750562
436.71000000000004,395.78999999999996,0.754911
436.64,395.91999999999996,0.7551620000000001
584.73,396.01,0.7553369999999999
432.87,395.85,0.7550239999999999
293.75,395.29,0.753943
429.29999999999995,236.44,0.45099
291.84,395.83000000000004,0.754993
437.99,376.03999999999996,0.717252
437.62,389.33000000000004,0.74257
242.43,238.62,0.455125
145.21,243.71,0.46483599999999997
292.37,395.61,0.7545519999999999
583.94,203.93,0.388954
437.53000000000003,395.93000000000006,0.755183
291.05,395.82,0.7549600000000001
283.84000000000003,365.36,0.696856
427.23,377.96,0.720922
427.57000000000005,343.17,0.65454
292.99,381.41,0.727463
290.5,395.71,0.754759
254.11,174.55,0.332912
434.69,201.74999999999994,0.38480499999999995
573.54,396.03999999999996,0.755379
236.42000000000002,286.27,0.545991
442.92999999999995,346.71999999999997,0.661308
435.34000000000003,395.90999999999997,0.755154
142.8,249.51,0.475898
256.98,295.63,0.5638850000000001
430.97,364.28,0.694796
580.12,395.9,0.7551260000000001
288.4,395.78,0.7548980000000001
442.89,395.96,0.755216
292.59000000000003,395.83000000000004,0.754999
367.59000000000003,176.32,0.336304
426.94,311.14,0.5934659999999999
439.14,395.94,0.755191
249.11,203.26,0.38768500000000006
569.9,395.66999999999996,0.754686
367.90999999999997,267.16,0.509568
432.53999999999996,395.83000000000004,0.7550079999999999
583.62,395.96999999999997,0.7552580000000001
283.85,395.06,0.753514
438.32,297.69,0.5677840000000001
437.55999999999995,395.48,0.754317
442.59000000000003,395.94,0.7551810000000001
441.29999999999995,395.52,0.754415
426.59999999999997,382.82,0.7301500000000001
295.66,395.84999999999997,0.7550129999999999
416.90000000000003,346.25,0.660402
426.88,371.03999999999996,0.7077089999999999
411.3,361.57,0.689648
266.18,230.07999999999998,0.43884500000000004
440.26,395.92,0.755169
438.91999999999996,336.05,0.6409630000000001
430.76,395.93,0.755187
562.1500000000001,288.1,0.549536
349.1,227.95000000000002,0.43476099999999995
146.82,376.29999999999995,0.7177260000000001
292.74,395.83,0.755
435.02000000000004,395.79999999999995,0.754929
436.28999999999996,395.92,0.755164
517.28,370.87,0.7073590000000001
444.65999999999997,395.86,0.7550539999999999
577.43,395.21999999999997,0.753838
