0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
3.3774e-05,3.1411e-05,3.5681e-05,3.3715e-05,3.3271e-05
3.2864e-05,3.126e-05,3.4141e-05,3.282e-05,3.297e-05
3.353e-05,3.1641e-05,3.62e-05,3.306e-05,3.62e-05
3.3926e-05,3.2661e-05,3.4621e-05,3.4056e-05,3.3671e-05
3.4821e-05,3.362e-05,3.6391e-05,3.4821e-05,3.5431e-05
3.3803e-05,3.1221e-05,3.94e-05,3.3386e-05,3.94e-05
3.2808e-05,3.0381e-05,3.4541e-05,3.343e-05,3.3231e-05
3.3448e-05,3.1401e-05,3.5471e-05,3.3565e-05,3.4981e-05
3.2357e-05,3.0981e-05,3.391e-05,3.2305e-05,3.391e-05
3.3267e-05,3.2121e-05,3.4591e-05,3.326e-05,3.3161e-05
3.2579e-05,3.1381e-05,3.3461e-05,3.2675e-05,3.258e-05
3.3383e-05,3.225e-05,3.501e-05,3.3291e-05,3.225e-05
3.3319e-05,3.1201e-05,3.497e-05,3.3291e-05,3.4411e-05
3.2826e-05,3.134e-05,3.3971e-05,3.3016e-05,3.261e-05
3.2664e-05,3.1981e-05,3.351e-05,3.258e-05,3.23e-05
3.3452e-05,3.229e-05,3.524e-05,3.3036e-05,3.4411e-05
3.3118e-05,3.1051e-05,3.4451e-05,3.324e-05,3.379e-05
3.3114e-05,3.2171e-05,3.434e-05,3.319e-05,3.237e-05
3.311e-05,3.246e-05,3.3941e-05,3.2831e-05,3.2811e-05
3.3022e-05,3.1861e-05,3.429e-05,3.294e-05,3.429e-05
3.2866e-05,3.163e-05,3.4561e-05,3.2545e-05,3.4561e-05
3.3762e-05,3.283e-05,3.5461e-05,3.3606e-05,3.5461e-05
3.2065e-05,3.071e-05,3.345e-05,3.2001e-05,3.131e-05
3.2695e-05,3.1751e-05,3.4071e-05,3.2486e-05,3.4071e-05
3.3329e-05,3.233e-05,3.4611e-05,3.3136e-05,3.3511e-05
3.2647e-05,3.166e-05,3.3531e-05,3.2736e-05,3.272e-05
3.2349e-05,3.108e-05,3.3211e-05,3.2376e-05,3.2481e-05
3.3042e-05,3.129e-05,3.4471e-05,3.2931e-05,3.4471e-05
3.2906e-05,3.1221e-05,3.3891e-05,3.283e-05,3.346e-05
3.2952e-05,3.156e-05,3.4961e-05,3.3036e-05,3.4961e-05
3.4598e-05,3.2761e-05,3.565e-05,3.4885e-05,3.3961e-05
3.2603e-05,3.101e-05,3.4011e-05,3.273e-05,3.202e-05
3.3384e-05,3.234e-05,3.4061e-05,3.3616e-05,3.3901e-05
3.2538e-05,3.1681e-05,3.35e-05,3.2316e-05,3.1811e-05
3.5015e-05,3.3141e-05,3.625e-05,3.4835e-05,3.516e-05
3.2744e-05,3.1731e-05,3.4031e-05,3.2511e-05,3.1731e-05
3.2959e-05,3.146e-05,3.4401e-05,3.2721e-05,3.2691e-05
3.2721e-05,3.1501e-05,3.3951e-05,3.248e-05,3.175e-05
3.3127e-05,3.136e-05,3.508e-05,3.328e-05,3.3941e-05
3.3452e-05,3.18e-05,3.4891e-05,3.3781e-05,3.461e-05
3.302e-05,3.1411e-05,3.504e-05,3.2956e-05,3.504e-05
3.3532e-05,3.1551e-05,3.5501e-05,3.36e-05,3.3641e-05
3.3657e-05,3.1861e-05,3.5231e-05,3.3405e-05,3.437e-05
3.3277e-05,3.069e-05,3.563e-05,3.3686e-05,3.512e-05
3.3721e-05,3.132e-05,3.537e-05,3.4131e-05,3.4571e-05
3.3114e-05,3.207e-05,3.4281e-05,3.3046e-05,3.339e-05
3.273e-05,3.203e-05,3.355e-05,3.264e-05,3.254e-05
3.2597e-05,3.1031e-05,3.3961e-05,3.2696e-05,3.2601e-05
3.2953e-05,3.146e-05,3.427e-05,3.2985e-05,3.422e-05
3.2869e-05,3.1291e-05,3.4311e-05,3.276e-05,3.3941e-05
3.2949e-05,3.0961e-05,3.466e-05,3.2986e-05,3.2401e-05
3.3777e-05,3.2271e-05,3.502e-05,3.4036e-05,3.39e-05
3.3732e-05,3.1971e-05,3.4801e-05,3.4195e-05,3.4801e-05
3.2301e-05,3.0621e-05,3.3311e-05,3.2441e-05,3.2251e-05
3.2303e-05,3.1271e-05,3.4131e-05,3.1875e-05,3.255e-05
3.4016e-05,3.3241e-05,3.5341e-05,3.3895e-05,3.3241e-05
3.3594e-05,3.2131e-05,3.5201e-05,3.315e-05,3.3041e-05
3.3598e-05,3.174e-05,3.5831e-05,3.3565e-05,3.401e-05
3.4022e-05,3.336e-05,3.4691e-05,3.4076e-05,3.4491e-05
3.3041e-05,3.1511e-05,3.4301e-05,3.3465e-05,3.2191e-05
3.2808e-05,3.164e-05,3.4e-05,3.278e-05,3.234e-05
3.2659e-05,3.194e-05,3.356e-05,3.2555e-05,3.2581e-05
3.3617e-05,3.1921e-05,3.4801e-05,3.3525e-05,3.4801e-05
3.284e-05,3.1291e-05,3.419e-05,3.3111e-05,3.181e-05
3.3965e-05,3.0831e-05,4.426e-05,3.2901e-05,3.2481e-05
3.8934e-05,3.5101e-05,4.316e-05,3.8401e-05,3.6851e-05
3.3299e-05,3.159e-05,3.481e-05,3.3171e-05,3.3201e-05
3.3439e-05,3.14e-05,3.5231e-05,3.3536e-05,3.403e-05
3.2522e-05,3.1451e-05,3.3681e-05,3.2691e-05,3.3151e-05
3.2752e-05,3.0691e-05,3.5241e-05,3.2726e-05,3.206e-05
3.2153e-05,3.099e-05,3.383e-05,3.1905e-05,3.206e-05
3.2916e-05,3.1501e-05,3.4861e-05,3.2741e-05,3.3151e-05
3.2947e-05,3.1581e-05,3.396e-05,3.3006e-05,3.235e-05
3.3675e-05,3.181e-05,3.508e-05,3.3825e-05,3.492e-05
3.2449e-05,3.127e-05,3.3671e-05,3.2516e-05,3.2761e-05
3.306e-05,3.197e-05,3.376e-05,3.308e-05,3.275e-05
3.3078e-05,3.168e-05,3.3721e-05,3.3301e-05,3.3721e-05
3.3358e-05,3.2771e-05,3.398e-05,3.3356e-05,3.3131e-05
3.2235e-05,3.1021e-05,3.4571e-05,3.227e-05,3.209e-05
3.3342e-05,3.2051e-05,3.461e-05,3.3471e-05,3.3191e-05
