0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
25.06,0.16,0.16,23.77,0.17,0.17
27.25,0.15,0.15,25.36,0.16,0.16
23.86,0.17,0.17,23.78,0.17,0.17
40.15,0.1,0.1,30.46,0.13,0.13
23.83,0.17,0.17,23.59,0.17,0.17
34.76,0.12,0.12,24.78,0.17,0.17
23.47,0.17,0.17,23.43,0.17,0.17
23.35,0.18,0.18,23.81,0.17,0.17
24.27,0.17,0.17,26.79,0.15,0.15
55.91,0.07,0.07,55.45,0.07,0.07
23.32,0.18,0.18,23.3,0.18,0.18
26.19,0.16,0.16,24.65,0.17,0.17
57.46,0.07,0.07,47.23,0.09,0.09
60.82,0.07,0.07,51.02,0.08,0.08
23.5,0.17,0.17,23.69,0.17,0.17
57.62,0.07,0.07,74.59,0.05,0.05
37.66,0.11,0.11,23.2,0.18,0.18
23.71,0.17,0.17,23.69,0.17,0.17
23.65,0.17,0.17,23.71,0.17,0.17
23.57,0.17,0.17,23.63,0.17,0.17
58.36,0.07,0.07,39.14,0.1,0.1
23.54,0.17,0.17,23.58,0.17,0.17
45.64,0.09,0.09,59.11,0.07,0.07
64.92,0.06,0.06,93.75,0.04,0.04
23.54,0.17,0.17,23.57,0.17,0.17
30.81,0.13,0.13,64.49,0.06,0.06
23.44,0.17,0.17,23.66,0.17,0.17
51.74,0.08,0.08,53.48,0.08,0.08
