0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
88.47,0.01,0.01,37.4,0.01,0.01
22.7,0.02,0.02,22.64,0.02,0.02
38.81,0.01,0.01,26.17,0.02,0.02
31.3,0.02,0.02,27.58,0.02,0.02
25.58,0.02,0.02,29.92,0.02,0.02
22.46,0.02,0.02,22.39,0.02,0.02
22.76,0.02,0.02,22.61,0.02,0.02
23.5,0.02,0.02,24.62,0.02,0.02
64.37,0.01,0.01,37.8,0.01,0.01
86.52,0.01,0.01,28.43,0.02,0.02
22.55,0.02,0.02,22.48,0.02,0.02
22.75,0.02,0.02,24.9,0.02,0.02
28.62,0.02,0.02,28.12,0.02,0.02
23.52,0.02,0.02,23.46,0.02,0.02
22.93,0.02,0.02,34.85,0.01,0.01
22.74,0.02,0.02,22.66,0.02,0.02
33.31,0.02,0.02,24.76,0.02,0.02
26.72,0.02,0.02,26.21,0.02,0.02
22.79,0.02,0.02,22.59,0.02,0.02
22.86,0.02,0.02,22.74,0.02,0.02
24.14,0.02,0.02,22.88,0.02,0.02
22.67,0.02,0.02,22.51,0.02,0.02
48.2,0.01,0.01,81.56,0.01,0.01
43.12,0.01,0.01,29.08,0.02,0.02
23.01,0.02,0.02,22.62,0.02,0.02
22.78,0.02,0.02,22.74,0.02,0.02
26.07,0.02,0.02,27.5,0.02,0.02
