0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
11.42,0.36,0.27,11.28,0.36,0.27
11.88,0.34,0.26,11.22,0.37,0.27
11.29,0.36,0.27,11.42,0.36,0.27
16.41,0.25,0.19,11.18,0.37,0.27
11.34,0.36,0.27,11.29,0.36,0.27
11.35,0.36,0.27,11.22,0.36,0.27
13.43,0.3,0.23,11.24,0.36,0.27
11.33,0.36,0.27,11.31,0.36,0.27
11.21,0.37,0.27,13.84,0.3,0.22
11.38,0.36,0.27,11.32,0.36,0.27
11.37,0.36,0.27,11.22,0.37,0.27
11.43,0.36,0.27,14.44,0.28,0.21
11.19,0.37,0.27,11.08,0.37,0.28
11.38,0.36,0.27,16.99,0.24,0.18
11.33,0.36,0.27,11.22,0.37,0.27
13.99,0.29,0.22,11.19,0.37,0.27
11.33,0.36,0.27,11.24,0.36,0.27
14.68,0.28,0.21,11.19,0.37,0.27
11.42,0.36,0.27,18.52,0.22,0.17
11.3,0.36,0.27,11.23,0.36,0.27
11.36,0.36,0.27,11.32,0.36,0.27
11.33,0.36,0.27,11.2,0.37,0.27
11.38,0.36,0.27,11.6,0.35,0.26
11.38,0.36,0.27,11.27,0.36,0.27
11.33,0.36,0.27,11.26,0.36,0.27
13.48,0.3,0.23,11.09,0.37,0.28
11.27,0.36,0.27,11.15,0.37,0.28
11.31,0.36,0.27,13.76,0.3,0.22
15.14,0.27,0.2,11.27,0.36,0.27
11.46,0.36,0.27,16.55,0.25,0.19
11.21,0.37,0.27,11.1,0.37,0.28
11.28,0.36,0.27,13.98,0.29,0.22
11.41,0.36,0.27,11.31,0.36,0.27
11.25,0.36,0.27,11.16,0.37,0.28
11.2,0.37,0.27,11.09,0.37,0.28
11.32,0.36,0.27,11.25,0.36,0.27
11.37,0.36,0.27,11.23,0.36,0.27
11.28,0.36,0.27,11.12,0.37,0.28
11.42,0.36,0.27,14.96,0.27,0.21
11.43,0.36,0.27,11.29,0.36,0.27
11.34,0.36,0.27,11.26,0.36,0.27
11.29,0.36,0.27,11.17,0.37,0.28
11.39,0.36,0.27,11.23,0.36,0.27
11.31,0.36,0.27,11.2,0.37,0.27
11.42,0.36,0.27,11.26,0.36,0.27
11.3,0.36,0.27,11.18,0.37,0.27
11.2,0.37,0.27,11.13,0.37,0.28
11.29,0.36,0.27,17.91,0.23,0.17
11.34,0.36,0.27,11.26,0.36,0.27
11.29,0.36,0.27,11.21,0.37,0.27
11.45,0.36,0.27,11.19,0.37,0.27
11.24,0.36,0.27,11.17,0.37,0.28
11.43,0.36,0.27,11.15,0.37,0.28
17.2,0.24,0.18,11.21,0.37,0.27
11.35,0.36,0.27,11.29,0.36,0.27
13.24,0.31,0.23,11.23,0.36,0.27
11.42,0.36,0.27,11.32,0.36,0.27
11.4,0.36,0.27,11.32,0.36,0.27
11.32,0.36,0.27,11.13,0.37,0.28
11.21,0.37,0.27,12.09,0.34,0.25
16.78,0.24,0.18,11.23,0.36,0.27
11.36,0.36,0.27,11.31,0.36,0.27
14.77,0.28,0.21,11.08,0.37,0.28
11.34,0.36,0.27,11.21,0.37,0.27
11.66,0.35,0.26,11.14,0.37,0.28
11.37,0.36,0.27,18.59,0.22,0.17
11.31,0.36,0.27,11.22,0.37,0.27
11.42,0.36,0.27,11.33,0.36,0.27
11.44,0.36,0.27,11.32,0.36,0.27
11.37,0.36,0.27,11.31,0.36,0.27
11.34,0.36,0.27,11.25,0.36,0.27
11.32,0.36,0.27,11.19,0.37,0.27
11.37,0.36,0.27,11.22,0.37,0.27
11.37,0.36,0.27,11.27,0.36,0.27
11.3,0.36,0.27,11.19,0.37,0.27
11.18,0.37,0.27,11.08,0.37,0.28
11.44,0.36,0.27,11.32,0.36,0.27
11.37,0.36,0.27,11.27,0.36,0.27
