0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
55.52,4.72,8.26,56.33,4.65,8.14
63.55,4.13,7.22,55.07,4.76,8.33
56.38,4.65,8.14,56.78,4.62,8.08
56.0,4.68,8.19,55.57,4.72,8.26
65.22,4.02,7.03,55.53,4.72,8.26
56.06,4.68,8.18,59.37,4.42,7.73
56.13,4.67,8.17,56.22,4.66,8.16
56.45,4.64,8.13,55.82,4.7,8.22
58.19,4.5,7.88,55.03,4.76,8.34
55.61,4.71,8.25,64.23,4.08,7.14
99.74,2.63,4.6,115.0,2.28,3.99
57.31,4.57,8.0,58.24,4.5,7.88
56.44,4.64,8.13,55.56,4.72,8.26
60.57,4.33,7.57,100.6,2.61,4.56
56.51,4.64,8.12,63.43,4.13,7.23
61.25,4.28,7.49,58.16,4.51,7.89
55.82,4.7,8.22,55.88,4.69,8.21
68.3,3.84,6.72,59.88,4.38,7.66
56.11,4.67,8.18,55.04,4.76,8.33
56.29,4.66,8.15,57.17,4.59,8.02
70.21,3.73,6.53,83.77,3.13,5.48
