0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
11.46,0.04,0.03,19.62,0.03,0.02
11.34,0.05,0.03,11.28,0.05,0.03
11.51,0.04,0.03,11.36,0.05,0.03
12.98,0.04,0.03,11.23,0.05,0.03
11.5,0.04,0.03,11.3,0.05,0.03
11.46,0.04,0.03,11.44,0.04,0.03
11.37,0.05,0.03,11.29,0.05,0.03
11.47,0.04,0.03,11.36,0.05,0.03
11.52,0.04,0.03,12.21,0.04,0.03
13.17,0.04,0.03,11.36,0.05,0.03
11.4,0.04,0.03,13.05,0.04,0.03
11.48,0.04,0.03,11.38,0.05,0.03
11.31,0.05,0.03,11.3,0.05,0.03
11.47,0.04,0.03,11.31,0.05,0.03
11.21,0.05,0.03,16.85,0.03,0.02
11.47,0.04,0.03,11.29,0.05,0.03
11.56,0.04,0.03,11.41,0.04,0.03
11.51,0.04,0.03,11.35,0.05,0.03
11.36,0.05,0.03,11.24,0.05,0.03
11.38,0.04,0.03,11.26,0.05,0.03
11.29,0.05,0.03,11.24,0.05,0.03
17.13,0.03,0.02,11.25,0.05,0.03
15.2,0.03,0.03,11.3,0.05,0.03
15.85,0.03,0.02,11.26,0.05,0.03
11.42,0.04,0.03,11.27,0.05,0.03
11.28,0.05,0.03,11.22,0.05,0.03
12.59,0.04,0.03,11.35,0.05,0.03
11.59,0.04,0.03,11.36,0.05,0.03
11.53,0.04,0.03,12.02,0.04,0.03
11.49,0.04,0.03,15.96,0.03,0.02
15.97,0.03,0.02,11.26,0.05,0.03
11.42,0.04,0.03,14.81,0.03,0.03
11.24,0.05,0.03,11.16,0.05,0.03
11.47,0.04,0.03,11.34,0.05,0.03
11.43,0.04,0.03,11.27,0.05,0.03
11.52,0.04,0.03,11.35,0.05,0.03
11.33,0.05,0.03,11.24,0.05,0.03
11.51,0.04,0.03,11.39,0.04,0.03
11.34,0.05,0.03,11.94,0.04,0.03
11.48,0.04,0.03,11.47,0.04,0.03
11.28,0.05,0.03,17.63,0.03,0.02
12.23,0.04,0.03,11.25,0.05,0.03
11.4,0.04,0.03,11.36,0.05,0.03
11.41,0.04,0.03,11.4,0.04,0.03
11.42,0.04,0.03,11.3,0.05,0.03
11.4,0.04,0.03,11.31,0.05,0.03
11.5,0.04,0.03,14.37,0.04,0.03
11.61,0.04,0.03,11.4,0.04,0.03
11.47,0.04,0.03,13.45,0.04,0.03
11.41,0.04,0.03,11.37,0.05,0.03
11.79,0.04,0.03,11.38,0.04,0.03
11.46,0.04,0.03,15.34,0.03,0.03
11.27,0.05,0.03,11.21,0.05,0.03
11.51,0.04,0.03,11.35,0.05,0.03
11.42,0.04,0.03,11.28,0.05,0.03
11.48,0.04,0.03,15.01,0.03,0.03
11.48,0.04,0.03,11.41,0.04,0.03
11.6,0.04,0.03,11.39,0.04,0.03
11.37,0.05,0.03,11.3,0.05,0.03
11.45,0.04,0.03,11.31,0.05,0.03
11.36,0.05,0.03,14.74,0.03,0.03
11.43,0.04,0.03,11.32,0.05,0.03
11.38,0.04,0.03,11.3,0.05,0.03
11.4,0.04,0.03,11.39,0.04,0.03
11.31,0.05,0.03,11.24,0.05,0.03
11.64,0.04,0.03,11.42,0.04,0.03
11.32,0.05,0.03,11.33,0.05,0.03
11.6,0.04,0.03,17.76,0.03,0.02
13.91,0.04,0.03,11.24,0.05,0.03
11.35,0.05,0.03,13.14,0.04,0.03
11.29,0.05,0.03,18.67,0.03,0.02
13.09,0.04,0.03,11.32,0.05,0.03
19.93,0.03,0.02,11.24,0.05,0.03
11.45,0.04,0.03,11.27,0.05,0.03
11.19,0.05,0.03,11.16,0.05,0.03
11.39,0.04,0.03,11.26,0.05,0.03
14.94,0.03,0.03,11.4,0.04,0.03
11.51,0.04,0.03,11.33,0.05,0.03
11.43,0.04,0.03,11.36,0.05,0.03
11.29,0.05,0.03,11.31,0.05,0.03
11.45,0.04,0.03,14.42,0.04,0.03
11.43,0.04,0.03,20.48,0.02,0.02
11.29,0.05,0.03,17.53,0.03,0.02
11.41,0.04,0.03,11.3,0.05,0.03
11.54,0.04,0.03,11.32,0.05,0.03
11.35,0.05,0.03,18.74,0.03,0.02
11.54,0.04,0.03,11.36,0.05,0.03
12.13,0.04,0.03,11.23,0.05,0.03
11.48,0.04,0.03,11.35,0.05,0.03
11.49,0.04,0.03,11.4,0.04,0.03
11.48,0.04,0.03,11.29,0.05,0.03
11.41,0.04,0.03,11.3,0.05,0.03
11.54,0.04,0.03,11.33,0.05,0.03
11.43,0.04,0.03,11.28,0.05,0.03
11.41,0.04,0.03,11.28,0.05,0.03
11.3,0.05,0.03,11.18,0.05,0.03
11.5,0.04,0.03,11.29,0.05,0.03
11.38,0.05,0.03,16.26,0.03,0.02
11.41,0.04,0.03,17.81,0.03,0.02
11.36,0.05,0.03,12.62,0.04,0.03
