0_Transfer Time_s,0_Bandwidth_GB/s
3.0831e-05,31.674694297
3.0127e-05,32.414860238
3.0672e-05,31.839411077
3.1535e-05,30.967575649
3.2671e-05,29.890805211
3.0639e-05,31.873184516
3.1823e-05,30.687317157
2.9535e-05,33.064584316
2.7903e-05,34.998476809
3.3455e-05,29.1903303
2.8623e-05,34.1181044
3.0559e-05,31.956624969
2.9919e-05,32.640212046
3.0079e-05,32.466587987
3.0271e-05,32.260662005
2.7247e-05,35.840444171
2.6687e-05,36.592505937
2.7423e-05,35.61107449
2.7263e-05,35.8200675
2.9391e-05,33.22658297
3.1647e-05,30.857980205
3.0239e-05,32.294801524
2.7535e-05,35.466224712
2.8703e-05,34.023011534
2.8272e-05,34.542295227
2.8111e-05,34.739514914
2.7647e-05,35.322548527
2.9119e-05,33.536951912
2.5327e-05,38.557398089
2.7327e-05,35.73617638
2.7007e-05,36.159606807
3.0175e-05,32.363297547
3.0863e-05,31.641852814
2.7055e-05,36.095453814
2.6975e-05,36.202502511
3.0015e-05,32.535273455
2.6159e-05,37.331798074
2.9743e-05,32.833355843
2.5663e-05,38.05332567
2.7631e-05,35.343002468
2.6912e-05,36.287925139
2.9664e-05,32.921351075
2.6383e-05,37.014839134
2.6671e-05,36.615143632
2.9359e-05,33.262798594
2.4943e-05,39.151766072
2.4144e-05,40.448257272
2.8528e-05,34.232319649
2.5871e-05,37.746651825
2.6143e-05,37.354645583
2.5007e-05,39.051565243
2.4639e-05,39.634826896
2.6623e-05,36.681159231
2.7503e-05,35.507490149
2.5583e-05,38.172321427
2.5695e-05,38.005935041
3.0703e-05,31.806745276
3.1423e-05,31.077952572
2.6447e-05,36.925265651
2.5791e-05,37.864468415
2.4943e-05,39.151766072
2.6592e-05,36.724611185
2.6671e-05,36.614457542
2.7119e-05,36.010269654
2.6783e-05,36.462028061
2.9279e-05,33.353683475
2.6543e-05,36.791022463
2.6879e-05,36.331126011
2.4544e-05,39.789047849
2.5695e-05,38.005195505
2.6543e-05,36.791715501
2.4527e-05,39.815815142
2.5823e-05,37.817546392
2.5727e-05,37.958661969
2.4431e-05,39.971450916
2.7296e-05,35.777417387
2.4032e-05,40.636768305
2.6271e-05,37.172642804
2.5647e-05,38.0770655
2.7231e-05,35.862160936
2.6223e-05,37.240685548
2.4944e-05,39.150980914
2.488e-05,39.251692864
2.4224e-05,40.314673639
2.4255e-05,40.261487142
2.6655e-05,36.6364355
2.6495e-05,36.858369602
2.4559e-05,39.763935926
2.4224e-05,40.314673639
2.6335e-05,37.082304876
2.4527e-05,39.815815142
2.7871e-05,35.038660345
2.3983e-05,40.718946552
2.4463e-05,39.919981122
2.4527e-05,39.815815142
2.4575e-05,39.738046799
2.4415e-05,39.997645159
2.448e-05,39.893073637
2.4687e-05,39.556962114
2.4416e-05,39.997644787
