0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
53.87,0.08,0.07,37.55,0.11,0.1
37.25,0.11,0.1,33.82,0.12,0.11
29.71,0.14,0.12,31.65,0.13,0.11
31.22,0.13,0.11,29.41,0.14,0.12
29.74,0.14,0.12,29.67,0.14,0.12
29.61,0.14,0.12,29.54,0.14,0.12
30.02,0.14,0.12,29.64,0.14,0.12
32.48,0.13,0.11,29.59,0.14,0.12
38.71,0.11,0.09,30.43,0.13,0.12
29.95,0.14,0.12,29.53,0.14,0.12
30.49,0.13,0.12,29.39,0.14,0.12
90.76,0.05,0.04,105.3,0.04,0.03
29.86,0.14,0.12,31.13,0.13,0.12
29.85,0.14,0.12,29.53,0.14,0.12
34.53,0.12,0.1,29.41,0.14,0.12
29.7,0.14,0.12,29.28,0.14,0.12
