0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
27.66,1.18,1.18,27.35,1.2,1.2
31.4,1.04,1.04,31.86,1.03,1.03
33.26,0.99,0.99,43.92,0.75,0.75
27.97,1.17,1.17,27.54,1.19,1.19
27.59,1.19,1.19,27.46,1.19,1.19
27.36,1.2,1.2,27.32,1.2,1.2
27.34,1.2,1.2,27.27,1.2,1.2
27.67,1.18,1.18,27.44,1.19,1.19
40.17,0.82,0.82,37.61,0.87,0.87
27.44,1.19,1.19,27.51,1.19,1.19
28.12,1.17,1.17,27.52,1.19,1.19
27.23,1.2,1.2,27.36,1.2,1.2
27.22,1.2,1.2,27.14,1.21,1.21
27.46,1.19,1.19,27.4,1.2,1.2
27.24,1.2,1.2,27.19,1.21,1.21
27.35,1.2,1.2,27.33,1.2,1.2
27.21,1.2,1.2,27.06,1.21,1.21
27.66,1.18,1.18,27.6,1.19,1.19
27.17,1.21,1.21,27.13,1.21,1.21
27.35,1.2,1.2,27.28,1.2,1.2
27.48,1.19,1.19,27.42,1.19,1.19
27.2,1.2,1.2,27.28,1.2,1.2
27.4,1.2,1.2,27.1,1.21,1.21
26.99,1.21,1.21,27.06,1.21,1.21
28.59,1.15,1.15,27.71,1.18,1.18
27.15,1.21,1.21,27.15,1.21,1.21
27.43,1.19,1.19,27.43,1.19,1.19
27.17,1.21,1.21,27.12,1.21,1.21
27.18,1.21,1.21,27.18,1.21,1.21
