size,"('nanjin', 'nanjin2')","('nanjin2', 'nanjin')",nanjin,nanjin2
128MiB,1.0111900914583605,0.9889337409920405,0.9739544829178725,0.96317645034794
16MiB,1.0192639850380747,0.9811001023082797,0.9631966489790825,0.94499233085637
1B,1.9551507080461865,0.5114695229808223,1.7075878729e-05,8.733791548e-06
256KiB,1.3610119782652546,0.7347473908896818,0.5476689476919923,0.40239833038798895
2MiB,1.074986657966346,0.9302441035796616,0.8907421699903599,0.828607651443285
32KiB,1.3584634815611878,0.7361257873864738,0.12382861970309225,0.09115344017991901
4KiB,1.5420098833246192,0.6485042740737629,0.0346387387675805,0.0224633701393005
512B,1.7851775162497416,0.560168381518033,0.006928240155027498,0.0038809810744100002
64B,1.9010628148043283,0.5260215455336901,0.0010243023365000001,0.0005388050981395
8B,1.9523301793970098,0.5122084422773491,0.00013586642869274998,6.95919317985e-05
