size,"('nanjin', 'nanjin2')","('nanjin2', 'nanjin')",nanjin,nanjin2
128MiB,1.0317869375025444,0.9691923435477047,0.21935547450571083,0.21259764640620865
16MiB,0.9860046064378123,1.0141940448054798,0.288371242202864,0.29246439653530326
1B,1.8980536454853736,0.5268554987255264,9.539521636061687e-06,5.02594942917023e-06
256KiB,1.2173006816403351,0.8214897231902323,0.26246911729211747,0.21561568251028618
2MiB,1.0967382451255612,0.9117945913206611,0.31533780916419674,0.28752330883482136
32KiB,1.4641413536531942,0.6829941641255399,0.0830933436029751,0.05675226875851027
4B,2.049358744326262,0.48795751489022754,3.990302042352752e-05,1.947097868247848e-05
4KiB,1.6003467464427512,0.6248645815182233,0.020579291835056933,0.012859270580454241
512B,1.828685328746731,0.5468409377382268,0.003687000925492436,0.002016203043537994
64B,1.8849595770883218,0.5305153554245922,0.0005136192472516677,0.00027248289750862997
8B,1.9186287405125206,0.5212055771315462,7.643389061372905e-05,3.9837770069738125e-05
