# ststem: nanjin, experiment: a2a_b, nnodes: 4, process-per-node: 128
# msg_size, extra, datafile
1B, nanjin2, ./data/nanjin/2024-08-07_09:52:22/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:52:28/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:52:34/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:52:41/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:52:47/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:52:53/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:53:00/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:53:07/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:53:14/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:53:21/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:53:31/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:54:23/data.csv
1B, nanjin2, ./data/nanjin/2024-08-07_09:52:22/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:52:28/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:52:34/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:52:41/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:52:47/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:52:53/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:53:00/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:53:07/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:53:14/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:53:21/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:53:31/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:54:23/data.csv
1B, nanjin2, ./data/nanjin/2024-08-07_09:52:22/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:52:28/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:52:34/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:52:41/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:52:47/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:52:53/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:53:00/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:53:07/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:53:14/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:53:21/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:53:31/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:54:23/data.csv
