# ststem: nanjin, experiment: a2a_b, nnodes: 2, process-per-node: 64
# msg_size, extra, datafile
1B, nanjin, ./data/nanjin/2024-07-30_14:36:04/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_14:36:10/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_14:36:16/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_14:36:22/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_14:36:28/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_14:36:34/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_14:36:40/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_14:36:46/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_14:36:52/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_14:36:59/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_14:37:07/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_14:38:24/data.csv
1B, nanjin, ./data/nanjin/2024-07-30_14:36:04/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_14:36:10/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_14:36:16/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_14:36:22/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_14:36:28/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_14:36:34/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_14:36:40/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_14:36:46/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_14:36:52/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_14:36:59/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_14:37:07/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_14:38:24/data.csv
1B, nanjin, ./data/nanjin/2024-07-30_14:36:04/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_14:36:10/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_14:36:16/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_14:36:22/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_14:36:28/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_14:36:34/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_14:36:40/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_14:36:46/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_14:36:52/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_14:36:59/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_14:37:07/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_14:38:24/data.csv
1B, nanjin, ./data/nanjin/2024-07-30_14:36:04/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_14:36:10/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_14:36:16/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_14:36:22/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_14:36:28/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_14:36:34/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_14:36:40/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_14:36:46/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_14:36:52/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_14:36:59/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_14:37:07/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_14:38:24/data.csv
1B, nanjin, ./data/nanjin/2024-07-30_14:36:04/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_14:36:10/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_14:36:16/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_14:36:22/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_14:36:28/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_14:36:34/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_14:36:40/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_14:36:46/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_14:36:52/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_14:36:59/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_14:37:07/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_14:38:24/data.csv
1B, nanjin, ./data/nanjin/2024-07-30_14:36:04/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_14:36:10/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_14:36:16/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_14:36:22/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_14:36:28/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_14:36:34/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_14:36:40/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_14:36:46/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_14:36:52/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_14:36:59/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_14:37:07/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_14:38:24/data.csv
